sample_id,early_acceleration_label,current_true_rate_mm_y,max_true_rate_next_180d_mm_y,max_true_acceleration_next_180d_mm_y2,days_to_hidden_event,process_family,use_class
P-D01-W001::C005::C007,0,20.66884152,22.51452337,8.203680778,749,accelerating,evaluation_only
P-D01-W001::C007::C008,0,19.0142446,25.17719067,21.93148325,574,accelerating,evaluation_only
P-D01-W001::C008::C009,0,24.56941178,37.37739453,36.85919656,406,accelerating,evaluation_only
P-D01-W001::C009::C010,0,27.02702854,39.41002545,37.95496485,364,accelerating,evaluation_only
P-D01-W001::C010::C012,1,38.62320058,70.62133452,99.13654849,224,accelerating,evaluation_only
P-D01-W001::C012::C014,1,83.69850538,119.1543962,96.38347683,14,accelerating,evaluation_only
P-D01-W001::C014::C015,0,119.2923141,141.376932,56.29778736,,accelerating,evaluation_only
P-D01-W001::C015::C017,0,135.2791779,146.2583002,36.58652471,,accelerating,evaluation_only
P-D01-W001::C017::C018,0,145.7056585,147.6555788,8.38367148,,accelerating,evaluation_only
P-D01-W001::C018::C020,0,146.7740023,149.093154,16.78140417,,accelerating,evaluation_only
P-D01-W001::C020::C022,0,150.3843668,151.5439357,9.643976933,,accelerating,evaluation_only
P-D01-W001::C022::C023,0,149.9397536,151.0682055,15.58258201,,accelerating,evaluation_only
P-D01-W001::C023::C024,0,149.0476351,152.9486158,15.58258201,,accelerating,evaluation_only
P-D01-W001::C024::C026,0,151.8206894,153.5263279,11.28246193,,accelerating,evaluation_only
P-D01-W001::C026::C027,0,153.3728245,151.2237776,13.35035328,,accelerating,evaluation_only
P-D01-W001::C027::C029,0,150.5603243,150.5912809,2.903808971,,accelerating,evaluation_only
P-D01-W002::C005::C007,0,73.48032836,74.32578772,12.70653782,,decaying,evaluation_only
P-D01-W002::C007::C008,0,71.45972019,72.88583009,17.16674454,,decaying,evaluation_only
P-D01-W002::C008::C009,0,67.59676178,67.95068578,2.477626397,,decaying,evaluation_only
P-D01-W002::C009::C010,0,67.75453543,62.06617535,-10.5363368,,decaying,evaluation_only
P-D01-W002::C010::C012,0,53.29525648,53.8384782,7.558388445,,decaying,evaluation_only
P-D01-W002::C012::C014,0,44.85655714,45.58797594,14.99476564,,decaying,evaluation_only
P-D01-W002::C014::C015,0,43.95497895,49.20218784,32.21822442,,decaying,evaluation_only
P-D01-W002::C015::C016,0,44.10105682,48.29608945,18.59157063,,decaying,evaluation_only
P-D01-W002::C016::C017,0,46.9660102,47.35907454,49.40551349,,decaying,evaluation_only
P-D01-W002::C017::C018,0,46.65310859,48.88870909,49.40551349,,decaying,evaluation_only
P-D01-W002::C018::C020,0,40.58312171,48.88870909,49.40551349,,decaying,evaluation_only
P-D01-W002::C020::C022,0,41.94314201,42.33735365,1.808097793,,decaying,evaluation_only
P-D01-W002::C022::C023,0,38.30613453,37.80344453,12.70234848,,decaying,evaluation_only
P-D01-W002::C023::C024,0,33.08090371,35.49543804,12.70234848,,decaying,evaluation_only
P-D01-W002::C024::C026,0,32.95943608,35.87363346,17.33297465,,decaying,evaluation_only
P-D01-W002::C026::C027,0,34.93364844,37.29404478,23.75898387,,decaying,evaluation_only
P-D01-W002::C027::C029,0,31.44369053,34.43078961,29.88555482,,decaying,evaluation_only
P-D01-W003::C005::C007,0,0.3275429191,7.31399008,23.58676483,,stable,evaluation_only
P-D01-W003::C007::C008,0,6.234145341,5.527598276,0,,stable,evaluation_only
P-D01-W003::C008::C010,0,0,6.846563194,25.60814273,,stable,evaluation_only
P-D01-W003::C010::C012,0,6.202207938,5.795246724,0,,stable,evaluation_only
P-D01-W003::C012::C014,0,0,7.901883176,26.90885224,,stable,evaluation_only
P-D01-W003::C014::C015,0,6.839609003,5.22981999,-1.89690939,,stable,evaluation_only
P-D01-W003::C015::C016,0,0.3242005493,4.016662374,28.05576701,,stable,evaluation_only
P-D01-W003::C016::C018,0,0.006617491572,7.166535389,28.05576701,,stable,evaluation_only
P-D01-W003::C018::C020,0,7.031125428,7.166535389,-6.793090493,,stable,evaluation_only
P-D01-W003::C020::C022,0,0.006498098678,6.817304905,23.80506025,,stable,evaluation_only
P-D01-W003::C022::C023,0,6.449869257,5.577314125,3.465851844,,stable,evaluation_only
P-D01-W003::C023::C024,0,3.112454898,3.0515992,20.48073639,,stable,evaluation_only
P-D01-W003::C024::C026,0,0.6672288008,7.598648658,26.79524711,,stable,evaluation_only
P-D01-W003::C026::C027,0,6.212992281,7.598648658,7.66470055,,stable,evaluation_only
P-D01-W003::C027::C029,0,4.26949758,7.778268002,25.56220796,,stable,evaluation_only
P-D01-W004::C005::C007,0,3.004843932,2.618202704,14.24612234,,stable,evaluation_only
P-D01-W004::C007::C008,0,2.190268314,3.44765277,8.325945454,,stable,evaluation_only
P-D01-W004::C008::C010,0,2.632679543,3.0719222,3.320728666,,stable,evaluation_only
P-D01-W004::C010::C012,0,1.859204346,4.399239571,10.90003638,,stable,evaluation_only
P-D01-W004::C012::C014,0,2.84620724,2.43732154,9.51950653,,stable,evaluation_only
P-D01-W004::C014::C015,0,1.825889746,3.812711232,10.47029478,,stable,evaluation_only
P-D01-W004::C015::C016,0,3.165569964,3.632499336,2.80157623,,stable,evaluation_only
