campaign_id,date,point_id,true_settlement_mm,observed_settlement_mm,residual_mm,standard_uncertainty_mm,use_class
C001,2018-05-15,P-D01-REF-A,0,-3.446758174,-3.446758174,6.049154365,evaluation_only
C001,2018-05-15,P-D01-W001,109.6767481,114.6626908,4.985942732,5.27316104,evaluation_only
C001,2018-05-15,P-D01-W006,185.3304204,182.4998001,-2.830620299,3.736189939,evaluation_only
C001,2018-05-15,P-D01-W003,419.4241374,415.0885425,-4.335594894,3.991226171,evaluation_only
C001,2018-05-15,P-H01-REF-A,0,3.759365414,3.759365414,3.680501184,evaluation_only
C001,2018-05-15,P-H01-W002,19.60063642,18.36041401,-1.240222413,6.160287643,evaluation_only
C001,2018-05-15,P-H01-W007,101.2926322,100.5299991,-0.7626331154,4.1120909,evaluation_only
C001,2018-05-15,P-H01-W003,243.1261355,246.0762064,2.950070932,4.310608918,evaluation_only
C001,2018-05-15,P-H02-REF-A,0,-2.708594954,-2.708594954,4.254301953,evaluation_only
C001,2018-05-15,P-H02-W004,64.75663218,63.98165171,-0.7749804779,4.722640195,evaluation_only
C001,2018-05-15,P-H02-W006,194.8587744,199.0498202,4.191045817,4.383331116,evaluation_only
C001,2018-05-15,P-H02-W001,113.2914773,115.7951325,2.503655227,3.473557287,evaluation_only
C001,2018-05-15,P-H03-REF-A,0,2.228376599,2.228376599,6.202387068,evaluation_only
C001,2018-05-15,P-H03-W003,162.9814368,161.7291121,-1.252324741,3.833257822,evaluation_only
C001,2018-05-15,P-H03-W005,191.4309439,189.8482058,-1.582738101,5.426886979,evaluation_only
C001,2018-05-15,P-H03-W007,477.4046783,474.719249,-2.685429312,3.826506344,evaluation_only
C001,2018-05-15,P-H04-REF-A,0,-1.585316444,-1.585316444,5.176027656,evaluation_only
C001,2018-05-15,P-H04-W005,48.18108396,43.20966898,-4.971414974,4.428305419,evaluation_only
C001,2018-05-15,P-H04-W006,91.42202705,94.23828601,2.816258958,5.943984096,evaluation_only
C001,2018-05-15,P-H04-W002,372.9489245,377.171757,4.222832437,3.783979516,evaluation_only
C001,2018-05-15,P-H05-REF-A,0,0.02749132312,0.02749132312,4.19514299,evaluation_only
C001,2018-05-15,P-H05-W005,1161.577389,1158.928281,-2.649107873,3.565888923,evaluation_only
C001,2018-05-15,P-H05-W001,1198.19432,1197.855485,-0.3388347455,4.267973642,evaluation_only
C001,2018-05-15,P-H05-W003,1187.443035,1185.681301,-1.76173442,4.073084026,evaluation_only
C001,2018-05-15,P-H06-REF-A,0,-1.229506322,-1.229506322,4.59782457,evaluation_only
C001,2018-05-15,P-H06-W005,146.958058,147.4866193,0.5285612393,3.219555116,evaluation_only
C001,2018-05-15,P-H06-W001,323.1780956,324.0168817,0.8387861546,4.400070021,evaluation_only
C001,2018-05-15,P-H06-W003,322.2008874,327.6348613,5.433973971,4.274829846,evaluation_only
C001,2018-05-15,P-H07-REF-A,0,1.811627907,1.811627907,3.562496677,evaluation_only
C001,2018-05-15,P-H07-W007,12.43011395,13.63609093,1.205976976,4.183015346,evaluation_only
C001,2018-05-15,P-H07-W001,74.6931791,77.96361871,3.270439615,3.836652267,evaluation_only
C001,2018-05-15,P-H07-W002,87.31218865,91.26528128,3.953092634,3.546974808,evaluation_only
C001,2018-05-15,P-V01-REF-A,0,-0.2502643716,-0.2502643716,4.979419412,evaluation_only
C001,2018-05-15,P-V01-W002,36.00669507,34.53195018,-1.474744897,3.651402363,evaluation_only
C001,2018-05-15,P-V01-W004,58.19361764,57.62290768,-0.5707099648,3.968364588,evaluation_only
C001,2018-05-15,P-V01-W007,191.1064984,191.2936863,0.187187883,3.958858216,evaluation_only
C001,2018-05-15,P-V02-REF-A,0,3.716484073,3.716484073,5.664867093,evaluation_only
C001,2018-05-15,P-V02-W004,16.07931363,16.06487023,-0.01444340124,3.974243081,evaluation_only
C001,2018-05-15,P-V02-W002,73.4773602,75.22221017,1.744849976,4.242709307,evaluation_only
C001,2018-05-15,P-V02-W001,106.4129074,104.3888864,-2.024020989,4.16434125,evaluation_only
C001,2018-05-15,P-V03-REF-A,0,-2.927775046,-2.927775046,5.004593325,evaluation_only
C001,2018-05-15,P-V03-W006,294.1455385,299.6502902,5.504751724,4.451570559,evaluation_only
C001,2018-05-15,P-V03-W001,365.4759402,367.3142083,1.838268108,3.559785751,evaluation_only
C001,2018-05-15,P-V03-W003,1219.706016,1221.720468,2.014452126,3.626110748,evaluation_only
C001,2018-05-15,P-V04-REF-A,0,-1.080436583,-1.080436583,4.815097542,evaluation_only
C001,2018-05-15,P-V04-W002,187.8370245,192.036541,4.199516585,3.517746966,evaluation_only
C001,2018-05-15,P-V04-W006,228.3267029,230.1310554,1.80435252,5.426413209,evaluation_only
C001,2018-05-15,P-V04-W005,327.9856754,329.1023636,1.116688158,3.841967477,evaluation_only
C001,2018-05-15,P-V05-REF-A,0,0.9666566126,0.9666566126,4.149278492,evaluation_only
C001,2018-05-15,P-V05-W004,1249.787612,1248.705835,-1.081776748,5.378948619,evaluation_only
C001,2018-05-15,P-V05-W005,1331.479825,1333.218749,1.738924757,4.973863495,evaluation_only
C001,2018-05-15,P-V05-W002,1304.900921,1312.170453,7.269531701,4.733892769,evaluation_only
C001,2018-05-15,P-V06-REF-A,0,-2.916426974,-2.916426974,4.638196903,evaluation_only
C001,2018-05-15,P-V06-W006,40.49804229,40.2231898,-0.2748524848,3.758137242,evaluation_only
C001,2018-05-15,P-V06-W003,43.68281001,48.32096936,4.638159351,4.582039338,evaluation_only
C001,2018-05-15,P-V06-W002,106.1100298,106.6506561,0.5406263033,3.884575028,evaluation_only
C002,2018-07-10,P-H03-REF-A,0,0,0,5.403007419,evaluation_only
C002,2018-07-10,P-H03-W003,176.7822502,176.882379,0.1001288373,5.645656441,evaluation_only
C002,2018-07-10,P-H03-W005,205.4471568,207.3375931,1.89043638,5.579936499,evaluation_only
C002,2018-07-10,P-H03-W007,480.2315464,474.3343429,-5.89720351,5.089928473,evaluation_only
C003,2018-10-16,P-D01-REF-A,0,-1.686943866,-1.686943866,4.56122627,evaluation_only
