acquisition_id,date,insar_point_id,true_vertical_settlement_relative_mm,true_east_displacement_relative_mm,true_LOS_relative_mm,use_class
TSX-2020-01,2020-04-28,PS-00001,0,0,0,evaluation_only
TSX-2020-02,2020-05-09,PS-00001,0.3117225249,0.01849886733,-0.2413154587,evaluation_only
TSX-2020-03,2020-05-20,PS-00001,0.6233303828,0.03699092986,-0.4825421498,evaluation_only
TSX-2020-04,2020-05-31,PS-00001,0.9348251338,0.05547628017,-0.7236812807,evaluation_only
TSX-2020-05,2020-06-11,PS-00001,1.246208316,0.07395500956,-0.9647340425,evaluation_only
TSX-2020-06,2020-06-22,PS-00001,1.557481449,0.09242720813,-1.20570161,evaluation_only
TSX-2020-07,2020-07-03,PS-00001,1.868646029,0.1108929648,-1.446585144,evaluation_only
TSX-2020-08,2020-07-14,PS-00001,2.179703534,0.1293523671,-1.687385788,evaluation_only
TSX-2020-09,2020-07-25,PS-00001,2.490655421,0.1478055018,-1.928104669,evaluation_only
TSX-2020-10,2020-08-05,PS-00001,2.801503129,0.1662524539,-2.1687429,evaluation_only
TSX-2020-11,2020-08-16,PS-00001,3.112248074,0.1846933077,-2.40930158,evaluation_only
TSX-2020-12,2020-08-27,PS-00001,3.422891658,0.2031281464,-2.649781792,evaluation_only
TSX-2020-13,2020-09-07,PS-00001,3.733435259,0.2215570516,-2.890184605,evaluation_only
TSX-2020-14,2020-09-18,PS-00001,4.043880241,0.2399801044,-3.130511072,evaluation_only
TSX-2020-15,2020-09-29,PS-00001,4.354227947,0.2583973845,-3.370762234,evaluation_only
TSX-2020-16,2020-10-10,PS-00001,4.664479703,0.2768089705,-3.610939119,evaluation_only
TSX-2020-17,2020-10-21,PS-00001,4.974636819,0.2952149401,-3.851042739,evaluation_only
TSX-2020-18,2020-11-01,PS-00001,5.284700582,0.3136153699,-4.091074092,evaluation_only
TSX-2021-01,2021-04-26,PS-00001,10.23439971,0.607350407,-7.922811678,evaluation_only
TSX-2021-02,2021-05-07,PS-00001,10.543058,0.6256674303,-8.161755003,evaluation_only
TSX-2021-03,2021-05-18,PS-00001,10.85164339,0.6439801279,-8.400641901,evaluation_only
TSX-2021-04,2021-05-29,PS-00001,11.16015689,0.6622885586,-8.639473137,evaluation_only
TSX-2021-05,2021-06-09,PS-00001,11.46859957,0.6805927868,-8.878249553,evaluation_only
TSX-2021-06,2021-06-20,PS-00001,11.7769724,0.6988928697,-9.116971893,evaluation_only
TSX-2021-07,2021-07-01,PS-00001,12.08527622,0.7171888575,-9.355640812,evaluation_only
TSX-2021-08,2021-07-12,PS-00001,12.39351197,0.7354808056,-9.594257035,evaluation_only
TSX-2021-09,2021-07-23,PS-00001,12.70168058,0.7537687689,-9.832821276,evaluation_only
TSX-2021-10,2021-08-03,PS-00001,13.00978294,0.7720528011,-10.07133424,evaluation_only
TSX-2021-11,2021-08-14,PS-00001,13.31781995,0.7903329557,-10.30979662,evaluation_only
TSX-2021-12,2021-08-25,PS-00001,13.62579252,0.8086092852,-10.5482091,evaluation_only
TSX-2021-13,2021-09-05,PS-00001,13.93370149,0.8268818413,-10.78657235,evaluation_only
TSX-2021-14,2021-09-16,PS-00001,14.24154775,0.8451506751,-11.02488705,evaluation_only
TSX-2021-15,2021-09-27,PS-00001,14.54933213,0.8634158372,-11.26315385,evaluation_only
TSX-2021-16,2021-10-08,PS-00001,14.85705548,0.8816773772,-11.50137341,evaluation_only
TSX-2020-01,2020-04-28,PS-00002,0,0,0,evaluation_only
TSX-2020-02,2020-05-09,PS-00002,0.3108370696,-0.001830828509,-0.2525486058,evaluation_only
TSX-2020-03,2020-05-20,PS-00002,0.6222639395,-0.003665130938,-0.505576412,evaluation_only
TSX-2020-04,2020-05-31,PS-00002,0.9345143087,-0.005504283773,-0.7592732941,evaluation_only
TSX-2020-05,2020-06-11,PS-00002,1.247813468,-0.007349613974,-1.013822296,evaluation_only
TSX-2020-06,2020-06-22,PS-00002,1.562482763,-0.009203014267,-1.269484504,evaluation_only
TSX-2020-07,2020-07-03,PS-00002,1.879021846,-0.01106742761,-1.526665877,evaluation_only
TSX-2020-08,2020-07-14,PS-00002,2.197840661,-0.01294526855,-1.785699484,evaluation_only
TSX-2020-09,2020-07-25,PS-00002,2.519320583,-0.0148387834,-2.046895184,evaluation_only
TSX-2020-10,2020-08-05,PS-00002,2.843824482,-0.01675010945,-2.310547802,evaluation_only
TSX-2020-11,2020-08-16,PS-00002,3.171877555,-0.01868234012,-2.57708405,evaluation_only
TSX-2020-12,2020-08-27,PS-00002,3.504184233,-0.02063962449,-2.847076263,evaluation_only
TSX-2020-13,2020-09-07,PS-00002,3.841215837,-0.02262473865,-3.120907379,evaluation_only
TSX-2020-14,2020-09-18,PS-00002,4.183659444,-0.02464172948,-3.399135634,evaluation_only
TSX-2020-15,2020-09-29,PS-00002,4.53243838,-0.02669603536,-3.682511211,evaluation_only
