campaign_id,date,profile_id,point_id,true_settlement_mm,observed_settlement_mm,residual_mm,standard_uncertainty_mm,use_class
C001,2018-05-15,P-D01,P-D01-REF-A,0,-0.1021550746,-0.1021550746,0.6,evaluation_only
C001,2018-05-15,P-D01,P-D01-W001,109.6767481,109.2782578,-0.3984902613,0.6993479845,evaluation_only
C001,2018-05-15,P-D01,P-D01-W002,169.2955814,169.0766724,-0.2189090186,0.7191656209,evaluation_only
C001,2018-05-15,P-D01,P-D01-W003,419.4241374,418.7705151,-0.6536222929,0.7318820798,evaluation_only
C001,2018-05-15,P-D01,P-D01-W004,421.0603536,420.1173149,-0.9430387428,0.7439102182,evaluation_only
C001,2018-05-15,P-D01,P-D01-W005,186.0811314,184.86102,-1.220111388,0.7449522743,evaluation_only
C001,2018-05-15,P-D01,P-D01-W006,185.3304204,184.2245707,-1.105849657,0.7369117504,evaluation_only
C001,2018-05-15,P-D01,P-D01-W007,51.03457805,49.74490201,-1.289676037,0.7180493288,evaluation_only
C001,2018-05-15,P-D01,P-D01-REF-B,0,0.5787993059,0.5787993059,0.6,evaluation_only
C001,2018-05-15,P-H01,P-H01-REF-A,0,0.7216250038,0.7216250038,0.6,evaluation_only
C001,2018-05-15,P-H01,P-H01-W001,41.07553302,42.06981466,0.9942816348,0.7414032896,evaluation_only
C001,2018-05-15,P-H01,P-H01-W002,19.60063642,20.54638069,0.9457442675,0.7889483627,evaluation_only
C001,2018-05-15,P-H01,P-H01-W003,243.1261355,244.2341197,1.107984194,0.826809978,evaluation_only
C001,2018-05-15,P-H01,P-H01-W004,54.10033467,55.03415091,0.9338162385,0.8372965567,evaluation_only
C001,2018-05-15,P-H01,P-H01-W005,182.7264024,183.8084848,1.08208239,0.8327796335,evaluation_only
C001,2018-05-15,P-H01,P-H01-W006,141.5511269,142.0840811,0.5329541608,0.8117262379,evaluation_only
C001,2018-05-15,P-H01,P-H01-W007,101.2926322,101.3260855,0.03345333814,0.7624380414,evaluation_only
C001,2018-05-15,P-H01,P-H01-REF-B,0,-0.6103615679,-0.6103615679,0.6,evaluation_only
C001,2018-05-15,P-H02,P-H02-REF-A,0,-0.4419715781,-0.4419715781,0.8062251277,evaluation_only
C001,2018-05-15,P-H02,P-H02-W001,113.2914773,113.6442745,0.352797202,1.061704152,evaluation_only
