sample_id,observed_next_increment_mm,hidden_true_next_increment_mm,hidden_true_next_rate_mm_y,next_observation_uncertainty_mm,use_class
P-D01-W001::C005::C007,9.963895854,10.10478925,21.0901387,0.8360339459,evaluation_only
P-D01-W001::C007::C008,7.771222139,9.624438001,20.9245594,1.160798797,evaluation_only
P-D01-W001::C008::C009,5.436488091,2.953399652,25.68402912,0.7128764186,evaluation_only
P-D01-W001::C009::C010,11.72155979,12.67490363,33.06791821,0.7271776956,evaluation_only
P-D01-W001::C010::C012,32.80914291,33.44290824,58.16677255,0.7078458609,evaluation_only
P-D01-W001::C012::C014,48.8292616,47.42056686,103.0973931,0.7121569081,evaluation_only
P-D01-W001::C014::C015,41.21827747,41.66606983,127.8868236,0.7023039686,evaluation_only
P-D01-W001::C015::C017,53.89157609,54.17043217,141.3267882,0.6967133617,evaluation_only
P-D01-W001::C017::C018,37.74460909,36.49825008,146.4943499,0.7160666342,evaluation_only
P-D01-W001::C018::C020,85.61938646,84.78004372,147.4567189,0.692627443,evaluation_only
P-D01-W001::C020::C022,69.71393936,72.15288531,150.5933792,0.7255124858,evaluation_only
P-D01-W001::C022::C023,35.06737376,34.329472,149.2719006,0.7058709036,evaluation_only
P-D01-W001::C023::C024,43.79987016,43.11578214,149.9813279,0.6964994676,evaluation_only
P-D01-W001::C024::C026,46.72888262,46.80959458,152.6536109,1.303485377,evaluation_only
P-D01-W001::C026::C027,132.3192103,132.240093,150.0021551,0.7225229321,evaluation_only
P-D01-W001::C027::C029,41.42474882,43.12358799,150.0084811,0.887419002,evaluation_only
P-D01-W002::C005::C007,34.70882599,35.00787071,73.06642731,0.853318325,evaluation_only
P-D01-W002::C007::C008,30.57035635,32.25622054,70.12847947,1.190305509,evaluation_only
P-D01-W002::C008::C009,10.24170672,7.781714737,67.67312637,0.7259817878,evaluation_only
P-D01-W002::C009::C010,21.57899677,22.69341686,59.20550364,0.7405381885,evaluation_only
P-D01-W002::C010::C012,29.02630439,29.06657248,50.55507428,0.7260975829,evaluation_only
P-D01-W002::C012::C014,21.49319241,20.34830801,44.2394018,0.7272446037,evaluation_only
P-D01-W002::C014::C015,14.95465211,15.29954044,46.95930374,0.7183573579,evaluation_only
P-D01-W002::C015::C016,9.519046653,9.900519841,46.96318015,0.7523242762,evaluation_only
P-D01-W002::C016::C017,7.76525231,8.097772009,46.94779724,0.7162685057,evaluation_only
P-D01-W002::C017::C018,11.46044156,10.34543687,41.52385514,0.7332011732,evaluation_only
P-D01-W002::C018::C020,28.11929669,26.35236004,45.83428336,0.7118145782,evaluation_only
P-D01-W002::C020::C022,16.18253972,19.31520826,40.31359896,0.7417612111,evaluation_only
P-D01-W002::C022::C023,8.601645775,8.162911528,35.49408852,0.7244221394,evaluation_only
P-D01-W002::C023::C024,11.2031011,9.721507088,33.8169568,0.7162787064,evaluation_only
P-D01-W002::C024::C026,9.428406871,10.08973803,32.90425727,1.325977004,evaluation_only
P-D01-W002::C026::C027,30.13547995,29.54812545,33.51693422,0.7352899536,evaluation_only
P-D01-W002::C027::C029,7.308154554,9.033331252,31.423088,0.9068379234,evaluation_only
P-D01-W003::C005::C007,2.027782818,2.191957607,4.574928662,0.8630926646,evaluation_only
P-D01-W003::C007::C008,-0.1724449442,1.169759295,2.543182038,1.208959984,evaluation_only
P-D01-W003::C008::C010,2.747600644,1.644308066,3.299909457,0.7479469121,evaluation_only
P-D01-W003::C010::C012,0.8194340937,1.06570472,1.853564996,0.7375658013,evaluation_only
P-D01-W003::C012::C014,2.527263532,2.057851449,4.473989535,0.7359342763,evaluation_only
P-D01-W003::C014::C015,1.326984546,1.169453484,3.589436009,0.7277254979,evaluation_only
P-D01-W003::C015::C016,-0.7203655165,0.04150952706,0.1969007112,0.7627195049,evaluation_only
P-D01-W003::C016::C018,2.969603064,1.614412181,3.828987332,0.7438162597,evaluation_only
P-D01-W003::C018::C020,3.391270003,1.773770719,3.085094072,0.7237034749,evaluation_only
P-D01-W003::C020::C022,-1.075747513,1.934646164,4.037882922,0.7517488648,evaluation_only
P-D01-W003::C022::C023,1.955306441,1.088258177,4.731979752,0.7361226582,evaluation_only
P-D01-W003::C023::C024,1.546933647,0.2421845182,0.8424561456,0.7289021762,evaluation_only
P-D01-W003::C024::C026,-0.2462144608,0.8293582117,2.704670418,1.337895055,evaluation_only
P-D01-W003::C026::C027,3.049025515,2.732664389,3.099707044,0.7420774844,evaluation_only
P-D01-W003::C027::C029,1.18514837,1.901955559,6.616088264,0.9188133812,evaluation_only
P-D01-W004::C005::C007,1.791453001,0.9193533533,1.918821785,0.868148123,evaluation_only
P-D01-W004::C007::C008,-0.2776859012,1.279234513,2.781192891,1.225655853,evaluation_only
P-D01-W004::C008::C010,2.185089196,1.189202481,2.386572562,0.751221368,evaluation_only
P-D01-W004::C010::C012,1.355415591,1.609163774,2.798795564,0.7476194567,evaluation_only
P-D01-W004::C012::C014,0.8813170478,0.8464304548,1.840230498,0.7409914016,evaluation_only
P-D01-W004::C014::C015,1.189598552,1.048065958,3.216857909,0.7336334223,evaluation_only
P-D01-W004::C015::C016,0.07635892993,0.7177346894,3.40457916,0.7696272298,evaluation_only
P-D01-W004::C016::C018,2.196304362,0.8990463906,2.132316196,0.7526121944,evaluation_only
P-D01-W004::C018::C020,2.853556574,1.130737785,1.966676075,0.7336514969,evaluation_only
P-D01-W004::C020::C022,-1.241426734,1.065207608,2.22324045,0.7597443227,evaluation_only
P-D01-W004::C022::C023,0.8115811836,0.8479326319,3.686992783,0.7465281805,evaluation_only
P-D01-W004::C023::C024,2.855851546,1.3035728,4.534571098,0.7406368838,evaluation_only
