campaign_id,date,point_id,true_dx_mm,true_dy_mm,observed_dx_mm,observed_dy_mm,residual_dx_mm,residual_dy_mm,use_class
C001,2018-05-15,P-D01-REF-A,0,0,2.588568295,-0.5727427708,2.588568295,-0.5727427708,evaluation_only
C001,2018-05-15,P-D01-W001,1.830226489,1.209076766,5.905603023,2.794533402,4.075376534,1.585456636,evaluation_only
C001,2018-05-15,P-D01-W002,2.761756764,1.962220442,3.425839399,2.558977684,0.6640826343,0.5967572423,evaluation_only
C001,2018-05-15,P-D01-W003,6.71644941,5.051628427,8.305847557,4.571413468,1.589398148,-0.4802149583,evaluation_only
C001,2018-05-15,P-D01-W004,-7.496686236,-3.929922843,-2.50856834,-8.602923721,4.988117896,-4.673000878,evaluation_only
C001,2018-05-15,P-D01-W005,-3.366460944,-1.655910863,-6.204862285,-3.841074526,-2.838401341,-2.185163663,evaluation_only
C001,2018-05-15,P-D01-W006,-3.411377715,-1.56067946,-2.856282154,-2.973283349,0.5550955607,-1.412603889,evaluation_only
C001,2018-05-15,P-D01-W007,-0.9505557516,-0.4128689938,-1.156104718,-3.361034833,-0.2055489665,-2.948165839,evaluation_only
C001,2018-05-15,P-D01-REF-B,-0,0,0.2260970548,-2.087125095,0.2260970548,-2.087125095,evaluation_only
C001,2018-05-15,P-H01-REF-A,0,0,0.4649831917,-1.078303144,0.4649831917,-1.078303144,evaluation_only
C001,2018-05-15,P-H01-W001,0.8215106605,0,2.328815347,-0.1361197001,1.507304687,-0.1361197001,evaluation_only
C001,2018-05-15,P-H01-W002,0.3920127285,0.02529999162,-1.871757544,-0.08637645271,-2.263770273,-0.1116764443,evaluation_only
C001,2018-05-15,P-H01-W003,4.862522709,0.6556055884,3.495529555,3.04860426,-1.366993154,2.392998671,evaluation_only
C001,2018-05-15,P-H01-W004,1.082006693,0.1841321118,-1.84209664,-0.2304163829,-2.924103333,-0.4145484947,evaluation_only
C001,2018-05-15,P-H01-W005,-3.654528048,0.7184862489,-6.844169163,-8.867860953,-3.189641115,-9.586347202,evaluation_only
C001,2018-05-15,P-H01-W006,-2.831022538,0.5580414742,-2.273078567,-5.705029021,0.5579439712,-6.263070496,evaluation_only
C001,2018-05-15,P-H01-W007,-2.025852644,0.3452629363,-2.073696544,-0.4767929538,-0.04784389934,-0.8220558901,evaluation_only
C001,2018-05-15,P-H01-REF-B,-0,0,-0.06781871552,-3.008583635,-0.06781871552,-3.008583635,evaluation_only
C001,2018-05-15,P-H02-REF-A,0,0,0.1061878735,-1.140648839,0.1061878735,-1.140648839,evaluation_only
C001,2018-05-15,P-H02-W001,2.265829546,0,-0.2428559031,0.2529780521,-2.508685449,0.2529780521,evaluation_only
C001,2018-05-15,P-H02-W002,5.6433892,0.2384613503,6.948367048,3.129135428,1.304977848,2.890674077,evaluation_only
C001,2018-05-15,P-H02-W003,2.161040708,0.1650677569,2.964141265,0.3661129762,0.8031005563,0.2010452193,evaluation_only
C001,2018-05-15,P-H02-W004,-1.295132644,0.1370177603,-0.4943412176,-3.453472928,0.8007914261,-3.590490688,evaluation_only
C001,2018-05-15,P-H02-W005,-0.1649361052,0.02406193276,-1.865854048,-1.686381035,-1.700917943,-1.710442968,evaluation_only
C001,2018-05-15,P-H02-W006,-3.897175488,0.6360847949,-3.894561732,-4.191299907,0.002613756162,-4.827384702,evaluation_only
C001,2018-05-15,P-H02-W007,-3.26846583,0.6061980469,-1.895223149,-2.217446369,1.373242681,-2.823644416,evaluation_only
C001,2018-05-15,P-H02-REF-B,-0,0,0.2297932836,-1.567900815,0.2297932836,-1.567900815,evaluation_only
C001,2018-05-15,P-H03-REF-A,0,0,-0.3457927202,-1.674478615,-0.3457927202,-1.674478615,evaluation_only
C001,2018-05-15,P-H03-W001,1.606640772,0,2.049464394,-2.106127709,0.442823622,-2.106127709,evaluation_only
C001,2018-05-15,P-H03-W002,3.781724106,0.1460675758,3.790014362,1.294915332,0.008290255894,1.148847757,evaluation_only
C001,2018-05-15,P-H03-W003,3.259628736,0.1778554727,4.320038217,3.434156036,1.060409481,3.256300563,evaluation_only
C001,2018-05-15,P-H03-W004,8.582193493,0.7380887024,11.71391504,6.443121213,3.131721542,5.705032511,evaluation_only
C001,2018-05-15,P-H03-W005,-3.828618879,0.4846585595,-4.36634246,-2.534417162,-0.5377235814,-3.019075721,evaluation_only
C001,2018-05-15,P-H03-W006,-3.356520524,0.4395921671,-3.219072142,-3.619945929,0.1374483816,-4.059538096,evaluation_only
C001,2018-05-15,P-H03-W007,-9.548093566,1.566653979,-8.147144436,-10.46879823,1.40094913,-12.03545221,evaluation_only
C001,2018-05-15,P-H03-REF-B,-0,0,-0.9811524991,-1.077843173,-0.9811524991,-1.077843173,evaluation_only
C001,2018-05-15,P-H04-REF-A,0,0,1.169162705,-0.6989684104,1.169162705,-0.6989684104,evaluation_only
C001,2018-05-15,P-H04-W001,0.9411788883,0,1.158466137,-2.167741293,0.2172872488,-2.167741293,evaluation_only
C001,2018-05-15,P-H04-W002,7.45897849,0.260329673,8.328368764,7.593918895,0.8693902741,7.333589222,evaluation_only
C001,2018-05-15,P-H04-W003,12.18538922,1.043662795,14.83164568,10.74437435,2.646256457,9.700711558,evaluation_only
C001,2018-05-15,P-H04-W004,-0.8704830921,0.1136477527,-3.623090859,-0.4505939639,-2.752607767,-0.5642417166,evaluation_only
C001,2018-05-15,P-H04-W005,-0.9636216791,0.1492747843,-0.62223726,-1.253367255,0.3413844191,-1.40264204,evaluation_only
C001,2018-05-15,P-H04-W006,-1.828440541,0.3301742583,-0.6459428681,-6.02661782,1.182497673,-6.356792078,evaluation_only
C001,2018-05-15,P-H04-W007,-1.147394519,0.2229755431,0.07530844334,-3.814589507,1.222702962,-4.03756505,evaluation_only
C001,2018-05-15,P-H04-REF-B,-0,0,0.1673258365,-1.523340483,0.1673258365,-1.523340483,evaluation_only
C001,2018-05-15,P-H05-REF-A,0,0,1.086239048,-0.5167612794,1.086239048,-0.5167612794,evaluation_only
C001,2018-05-15,P-H05-W001,23.9638864,0,24.40363083,25.20695524,0.439744436,25.20695524,evaluation_only
C001,2018-05-15,P-H05-W002,20.97590904,1.260677096,23.02801853,19.11391729,2.052109489,17.85324019,evaluation_only
C001,2018-05-15,P-H05-W003,23.7488607,2.486547923,27.03567896,21.88153821,3.286818256,19.39499028,evaluation_only
C001,2018-05-15,P-H05-W004,-30.27689651,4.83667134,-29.33398054,-27.87828428,0.9429159744,-32.71495562,evaluation_only
C001,2018-05-15,P-H05-W005,-23.23154778,4.338323152,-22.78858482,-25.86752308,0.4429629572,-30.20584623,evaluation_only
C001,2018-05-15,P-H05-W006,-25.86559568,5.164667108,-24.1332308,-27.92497282,1.732364883,-33.08963993,evaluation_only
C001,2018-05-15,P-H05-W007,-13.68349465,2.67167671,-15.21844668,-13.12058059,-1.534952039,-15.7922573,evaluation_only
C001,2018-05-15,P-H05-REF-B,-0,0,-0.1580507722,-0.1779539096,-0.1580507722,-0.1779539096,evaluation_only
C001,2018-05-15,P-H06-REF-A,0,0,-0.4007904484,-2.767137258,-0.4007904484,-2.767137258,evaluation_only
C001,2018-05-15,P-H06-W001,6.463561912,0,7.121179557,6.297674255,0.6576176456,6.297674255,evaluation_only
C001,2018-05-15,P-H06-W002,3.356500336,0.2097071301,4.332796962,1.976525785,0.9762966256,1.766818655,evaluation_only
C001,2018-05-15,P-H06-W003,6.444017747,0.7249666029,7.193025596,3.523590259,0.7490078489,2.798623656,evaluation_only
C001,2018-05-15,P-H06-W004,-6.483781587,0.9446514822,-3.153710169,-8.657355025,3.330071418,-9.602006507,evaluation_only
C001,2018-05-15,P-H06-W005,-2.939161161,0.5144892128,-0.6107732914,-6.013694684,2.328387869,-6.528183897,evaluation_only
C001,2018-05-15,P-H06-W006,-6.513666144,1.296573301,-7.336569431,-9.116897423,-0.8229032874,-10.41347072,evaluation_only
C001,2018-05-15,P-H06-W007,-1.011559322,0.2016697549,-1.689801397,-2.261945506,-0.6782420754,-2.463615261,evaluation_only
C001,2018-05-15,P-H06-REF-B,-0,0,-0.1487100734,-2.903228419,-0.1487100734,-2.903228419,evaluation_only
C001,2018-05-15,P-H07-REF-A,0,0,0.340959723,-1.743391441,0.340959723,-1.743391441,evaluation_only
C001,2018-05-15,P-H07-W001,1.493863582,0,1.537110184,0.2338622545,0.04324660259,0.2338622545,evaluation_only
C001,2018-05-15,P-H07-W002,1.746243773,0.05768231094,2.457116548,0.7009150254,0.7108727749,0.6432327144,evaluation_only
C001,2018-05-15,P-H07-W003,-5.157296304,0.4134916845,-6.941286394,-7.778456889,-1.78399009,-8.191948574,evaluation_only
C001,2018-05-15,P-H07-W004,-3.753881509,0.3725323873,-4.08417934,-5.727250814,-0.3302978307,-6.099783202,evaluation_only
C001,2018-05-15,P-H07-W005,-0.594792376,0.07827335145,0.4390841664,1.017995258,1.033876542,0.9397219061,evaluation_only
C001,2018-05-15,P-H07-W007,-0.2486022791,0.04348219009,1.748236618,-0.4570105329,1.996838897,-0.500492723,evaluation_only
C001,2018-05-15,P-H07-REF-B,-0,0,-0.7850585798,-1.023412633,-0.7850585798,-1.023412633,evaluation_only
C001,2018-05-15,P-V01-REF-A,0,0,0.3130366605,-0.250227806,0.3130366605,-0.250227806,evaluation_only
C001,2018-05-15,P-V01-W001,0,0.8465745963,1.602202005,-0.6144777321,1.602202005,-1.461052328,evaluation_only
C001,2018-05-15,P-V01-W002,-0.0331313615,0.7201339015,0.7927605325,-1.737671539,0.825891894,-2.457805441,evaluation_only
C001,2018-05-15,P-V01-W003,-0.08749705835,0.9247898816,-2.572477333,0.02027754028,-2.484980274,-0.9045123413,evaluation_only
C001,2018-05-15,P-V01-W004,-0.136127475,1.163872353,-0.61337002,-1.120194678,-0.477242545,-2.284067031,evaluation_only
C001,2018-05-15,P-V01-W005,-2.175021988,-13.63922376,-3.091280199,-2.511463272,-0.9162582111,11.12776049,evaluation_only
C001,2018-05-15,P-V01-W006,-1.007657995,-5.579318319,-2.087815742,-0.1366377647,-1.080157747,5.442680554,evaluation_only
C001,2018-05-15,P-V01-W007,-0.7447434829,-3.822129968,-1.017213041,-1.393906252,-0.2724695583,2.428223716,evaluation_only
C001,2018-05-15,P-V01-REF-B,-0,0,-0.4825740153,-1.954459781,-0.4825740153,-1.954459781,evaluation_only
C001,2018-05-15,P-V02-REF-A,0,0,-0.7907663647,-0.1296687075,-0.7907663647,-0.1296687075,evaluation_only
C001,2018-05-15,P-V02-W001,0,2.128258148,-0.9376123681,-3.372621974,-0.9376123681,-5.500880122,evaluation_only
C001,2018-05-15,P-V02-W002,-0.0457345069,1.469547204,-0.4842896303,-1.250140216,-0.4385551234,-2.71968742,evaluation_only
C001,2018-05-15,P-V02-W003,-0.0108940747,0.1645293224,0.5666411307,-1.607269668,0.5775352054,-1.771798991,evaluation_only
C001,2018-05-15,P-V02-W004,-0.02798288333,-0.3215862726,-0.2915767085,-2.509377122,-0.2635938251,-2.18779085,evaluation_only
C001,2018-05-15,P-V02-W005,-0.1606710308,-1.51026959,-3.695251191,1.582510473,-3.53458016,3.092780063,evaluation_only
C001,2018-05-15,P-V02-W006,-0.6118255975,-4.511470828,-0.07371812336,-0.3968449406,0.5381074741,4.114625887,evaluation_only
C001,2018-05-15,P-V02-W007,-0.08103467807,-0.510267135,0.7214292089,-2.468465953,0.802463887,-1.958198818,evaluation_only
C001,2018-05-15,P-V02-REF-B,-0,0,1.498606796,-1.216582967,1.498606796,-1.216582967,evaluation_only
C001,2018-05-15,P-V03-REF-A,0,0,0.5820021062,0.03406850315,0.5820021062,0.03406850315,evaluation_only
C001,2018-05-15,P-V03-W001,0,7.309518803,-1.372006997,1.13515031,-1.372006997,-6.174368493,evaluation_only
C001,2018-05-15,P-V03-W002,-0.2013373515,7.207165226,0.128353445,-0.2022240671,0.3296907965,-7.409389293,evaluation_only
C001,2018-05-15,P-V03-W003,-1.30568709,24.39412032,1.272455102,-2.692552222,2.578142192,-27.08667254,evaluation_only
C001,2018-05-15,P-V03-W004,-2.27652505,-31.68536203,-0.459959714,-4.736735104,1.816565336,26.94862693,evaluation_only
C001,2018-05-15,P-V03-W005,-0.6970349292,-6.628737532,-0.8903444829,-0.4246865564,-0.1933095537,6.204050975,evaluation_only
C001,2018-05-15,P-V03-W006,-0.703763846,-5.88291077,0.139224913,-0.8285848588,0.842988759,5.054325911,evaluation_only
C001,2018-05-15,P-V03-W007,-0.5406046016,-4.09540233,1.204023287,-2.611258885,1.744627888,1.484143445,evaluation_only
C001,2018-05-15,P-V03-REF-B,-0,0,-0.2122165277,-0.7557225359,-0.2122165277,-0.7557225359,evaluation_only
C001,2018-05-15,P-V04-REF-A,0,0,1.322188818,-1.016335883,1.322188818,-1.016335883,evaluation_only
C001,2018-05-15,P-V04-W001,0,3.705824639,1.50222268,-2.716631789,1.50222268,-6.422456428,evaluation_only
C001,2018-05-15,P-V04-W002,-0.06934968133,3.756740489,1.69212693,-1.745853379,1.761476612,-5.502593868,evaluation_only
C001,2018-05-15,P-V04-W003,-0.1887350717,3.753638079,0.3333609789,-0.3967459776,0.5220960506,-4.150384057,evaluation_only
C001,2018-05-15,P-V04-W004,-0.5724484122,-6.455483518,1.392828589,-2.014859032,1.965277001,4.440624486,evaluation_only
C001,2018-05-15,P-V04-W005,-0.6449843156,-6.559713509,-0.4990077231,-0.5868608085,0.1459765924,5.9728527,evaluation_only
C001,2018-05-15,P-V04-W006,-0.5291020366,-4.566534058,-0.0506032804,-1.671835766,0.4784987562,2.894698292,evaluation_only
C001,2018-05-15,P-V04-W007,-0.5825824807,-4.145566389,2.794584198,-1.662849423,3.377166679,2.482716966,evaluation_only
C001,2018-05-15,P-V04-REF-B,-0,0,1.334081704,-1.186852192,1.334081704,-1.186852192,evaluation_only
C001,2018-05-15,P-V05-REF-A,0,0,-1.193062229,-0.7192243943,-1.193062229,-0.7192243943,evaluation_only
C001,2018-05-15,P-V05-W002,-1.113654016,26.09801843,-2.39829332,-1.483789986,-1.284639304,-27.58180841,evaluation_only
C001,2018-05-15,P-V05-W003,-1.367592636,27.13918603,-0.5452829884,-3.4674153,0.8223096475,-30.60660133,evaluation_only
C001,2018-05-15,P-V05-W004,-1.941532236,24.99575224,1.250227956,-3.379340749,3.191760193,-28.37509299,evaluation_only
C001,2018-05-15,P-V05-W006,-3.254182726,-27.63053647,-4.656900437,-7.315049134,-1.402717711,20.31548734,evaluation_only
C001,2018-05-15,P-V05-W007,-4.558623351,-32.20311449,-3.267914412,-7.044002867,1.290708939,25.15911162,evaluation_only
C001,2018-05-15,P-V05-REF-B,-0,0,-0.9684433393,-3.022168146,-0.9684433393,-3.022168146,evaluation_only
C001,2018-05-15,P-V06-REF-A,0,0,-0.1987259101,-2.250124521,-0.1987259101,-2.250124521,evaluation_only
C001,2018-05-15,P-V06-W001,0,0,0.2683882738,-1.661702325,0.2683882738,-1.661702325,evaluation_only
C001,2018-05-15,P-V06-W003,-0.0535493527,0.8736562001,1.26512752,-2.194171146,1.318676873,-3.067827346,evaluation_only
C001,2018-05-15,P-V06-W004,-0.1528127148,1.298196603,-1.817755223,-0.2119358822,-1.664942508,-1.510132485,evaluation_only
C001,2018-05-15,P-V06-W005,-0.2053356249,-1.448406463,-3.311720356,-2.536955157,-3.106384731,-1.088548693,evaluation_only
C001,2018-05-15,P-V06-W006,-0.1374565943,-0.8099608457,-0.4739821407,-0.5862798206,-0.3365255465,0.2236810251,evaluation_only
C001,2018-05-15,P-V06-W007,-0.1521456125,-0.8346380188,-1.043018679,-4.498170699,-0.8908730663,-3.66353268,evaluation_only
C001,2018-05-15,P-V06-REF-B,-0,0,0.7771837326,-2.385001452,0.7771837326,-2.385001452,evaluation_only
C002,2018-07-10,P-H03-REF-A,0,0,0.3951767483,-1.781433678,0.3951767483,-1.781433678,evaluation_only
C002,2018-07-10,P-H03-W001,1.872549292,0,1.592379345,1.913794184,-0.2801699467,1.913794184,evaluation_only
C002,2018-07-10,P-H03-W002,4.050171956,0.1564362663,3.794656603,3.495828965,-0.2555153534,3.339392698,evaluation_only
C002,2018-07-10,P-H03-W003,3.535645003,0.192915778,-0.3275612448,1.839199595,-3.863206248,1.646283817,evaluation_only
C002,2018-07-10,P-H03-W004,8.860956826,0.7620630007,4.769885846,5.376636065,-4.09107098,4.614573064,evaluation_only
C002,2018-07-10,P-H03-W005,-4.108943135,0.5201443455,-4.889065565,-7.381095839,-0.7801224293,-7.901240185,evaluation_only
C002,2018-07-10,P-H03-W006,-3.662350044,0.4796456275,-4.707452657,-4.155374903,-1.045102612,-4.63502053,evaluation_only
C002,2018-07-10,P-H03-W007,-9.604630927,1.575930646,-8.515310242,-12.8178156,1.089320685,-14.39374625,evaluation_only
C002,2018-07-10,P-H03-REF-B,-0,0,1.489059863,-1.872452627,1.489059863,-1.872452627,evaluation_only
C002,2018-07-10,P-V01-REF-A,0,0,0.5530627166,-2.094406253,0.5530627166,-2.094406253,evaluation_only
C002,2018-07-10,P-V01-W001,0,0.9387430853,0.4476457906,-0.693541063,0.4476457906,-1.632284148,evaluation_only
C002,2018-07-10,P-V01-W002,-0.0381198068,0.8285613374,-0.7640128638,-0.3555995393,-0.725893057,-1.184160877,evaluation_only
C002,2018-07-10,P-V01-W003,-0.1023462716,1.081736897,-4.067915749,-1.597754944,-3.965569477,-2.679491841,evaluation_only
C002,2018-07-10,P-V01-W004,-0.1598189802,1.366431667,0.1283986017,-2.391041302,0.2882175819,-3.757472969,evaluation_only
C002,2018-07-10,P-V01-W005,-2.21692402,-13.90198487,-2.406026957,-4.202157964,-0.1891029372,9.699826909,evaluation_only
C002,2018-07-10,P-V01-W006,-1.028956701,-5.697247482,-0.1891558663,-1.414115096,0.8398008351,4.283132386,evaluation_only
C002,2018-07-10,P-V01-W007,-0.8000335741,-4.105886616,-4.138990414,-0.1491579742,-3.33895684,3.956728642,evaluation_only
C002,2018-07-10,P-V01-REF-B,-0,0,-1.305860867,0.02425136062,-1.305860867,0.02425136062,evaluation_only
C003,2018-10-16,P-D01-W001,1.969327191,1.300968904,1.459783036,2.283124892,-0.5095441548,0.9821559874,evaluation_only
C003,2018-10-16,P-D01-W002,3.365542048,2.391208194,2.5302356,2.38276639,-0.8353064481,-0.008441803857,evaluation_only
C003,2018-10-16,P-D01-W003,6.738312926,5.068072585,7.881127041,8.407344996,1.142814116,3.33927241,evaluation_only
C003,2018-10-16,P-D01-W004,-7.522708203,-3.943564113,-8.866209868,-7.867768494,-1.343501664,-3.924204381,evaluation_only
C003,2018-10-16,P-D01-W005,-3.619853555,-1.780550829,-2.017342759,-3.919876569,1.602510796,-2.13932574,evaluation_only
C003,2018-10-16,P-D01-W006,-3.781354708,-1.729941131,-4.179506968,-3.718336366,-0.3981522605,-1.988395235,evaluation_only
C003,2018-10-16,P-D01-W007,-1.389956973,-0.6037206507,-2.647705539,-2.161821601,-1.257748566,-1.55810095,evaluation_only
C003,2018-10-16,P-D01-REF-B,-0,0,-0.5276906285,-0.0978675308,-0.5276906285,-0.0978675308,evaluation_only
C003,2018-10-16,P-H01-REF-A,0,0,0.06717509441,-0.7548664696,0.06717509441,-0.7548664696,evaluation_only
C003,2018-10-16,P-H01-W001,1.19245738,0,0.6102616308,0.994835402,-0.5821957496,0.994835402,evaluation_only
C003,2018-10-16,P-H01-W002,0.4996970146,0.03224979538,-2.760315732,2.221889775,-3.260012746,2.18963998,evaluation_only
C003,2018-10-16,P-H01-W003,5.120780844,0.6904260892,7.707369587,8.085144891,2.586588743,7.394718802,evaluation_only
C003,2018-10-16,P-H01-W004,1.607800414,0.2736098468,2.25821428,0.9918481311,0.6504138656,0.7182382843,evaluation_only
C003,2018-10-16,P-H01-W005,-4.355889879,0.8563751429,-6.336815968,-5.747910201,-1.980926089,-6.604285344,evaluation_only
C003,2018-10-16,P-H01-W006,-3.546225258,0.6990197867,-2.209089016,-4.970957537,1.337136243,-5.669977324,evaluation_only
C003,2018-10-16,P-H01-REF-B,-0,0,0.05314366226,-0.06134674749,0.05314366226,-0.06134674749,evaluation_only
C003,2018-10-16,P-H02-REF-A,0,0,0.9673652218,0.2893658435,0.9673652218,0.2893658435,evaluation_only
C003,2018-10-16,P-H02-W001,2.981754618,0,4.307211359,1.638253717,1.325456741,1.638253717,evaluation_only
C003,2018-10-16,P-H02-W002,6.078979822,0.2568672274,8.059379229,4.600143663,1.980399408,4.343276436,evaluation_only
C003,2018-10-16,P-H02-W003,2.350242404,0.1795196362,3.689483249,2.665221576,1.339240845,2.48570194,evaluation_only
C003,2018-10-16,P-H02-W004,-1.72171828,0.182148125,-2.435212319,-1.17361569,-0.7134940392,-1.355763815,evaluation_only
C003,2018-10-16,P-H02-W005,-0.2201318804,0.03211424508,-0.9815807867,-1.054113106,-0.7614489063,-1.086227351,evaluation_only
C003,2018-10-16,P-H02-W007,-3.618342247,0.6710891645,-4.137487735,-5.137429576,-0.5191454882,-5.80851874,evaluation_only
C003,2018-10-16,P-H02-REF-B,-0,0,-1.295828205,1.282699452,-1.295828205,1.282699452,evaluation_only
C003,2018-10-16,P-H03-REF-A,0,0,-0.9367256872,-2.210952576,-0.9367256872,-2.210952576,evaluation_only
C003,2018-10-16,P-H03-W001,2.316361978,0,2.985584333,3.499200928,0.6692223552,3.499200928,evaluation_only
C003,2018-10-16,P-H03-W002,4.46084571,0.1722983751,2.17276382,6.205774161,-2.28808189,6.033475786,evaluation_only
C003,2018-10-16,P-H03-W003,3.980592441,0.2171934928,4.24623211,4.758785969,0.2656396686,4.541592476,evaluation_only
C003,2018-10-16,P-H03-W004,9.346993113,0.8038632575,11.58025463,9.183668914,2.233261514,8.379805657,evaluation_only
C003,2018-10-16,P-H03-W005,-4.574190683,0.5790392665,-3.280399546,-4.533096805,1.293791136,-5.112136072,evaluation_only
