point_id,transition_date,process_family,from_stage,to_stage,provenance
P-D01-REF-A,2018-01-01,stable_reference,,stable_reference,S
P-D01-REF-B,2018-01-01,stable_reference,,stable_reference,S
P-D01-W001,2018-01-01,accelerating,,background,S
P-D01-W001,2021-02-01,accelerating,background,accelerating,S
P-D01-W001,2022-02-01,accelerating,accelerating,elevated,S
P-D01-W002,2018-01-01,decaying,,active,S
P-D01-W002,2019-01-01,decaying,active,decaying,S
P-D01-W002,2024-01-01,decaying,decaying,residual,S
P-D01-W003,2018-01-01,stable,,stable,S
P-D01-W004,2018-01-01,stable,,stable,S
P-D01-W005,2018-01-01,uniform_creep,,startup,S
P-D01-W005,2019-01-01,uniform_creep,startup,uniform,S
P-D01-W006,2018-01-01,reactivated,,active_initial,S
P-D01-W006,2019-01-01,reactivated,active_initial,decaying,S
P-D01-W006,2021-01-01,reactivated,decaying,quiescent,S
P-D01-W006,2022-04-01,reactivated,quiescent,reactivated,S
P-D01-W006,2023-02-01,reactivated,reactivated,active_secondary,S
P-D01-W007,2018-01-01,decaying,,active,S
P-D01-W007,2019-01-01,decaying,active,decaying,S
P-D01-W007,2024-01-01,decaying,decaying,residual,S
P-H01-REF-A,2018-01-01,stable_reference,,stable_reference,S
P-H01-REF-B,2018-01-01,stable_reference,,stable_reference,S
P-H01-W001,2018-01-01,decaying,,active,S
P-H01-W001,2019-01-01,decaying,active,decaying,S
P-H01-W001,2024-01-01,decaying,decaying,residual,S
P-H01-W002,2018-01-01,accelerating,,background,S
P-H01-W002,2021-07-01,accelerating,background,accelerating,S
P-H01-W002,2022-07-01,accelerating,accelerating,elevated,S
P-H01-W003,2018-01-01,step_change,,background,S
P-H01-W003,2021-09-01,step_change,background,step_transition,S
P-H01-W003,2022-01-01,step_change,step_transition,post_step,S
P-H01-W004,2018-01-01,decaying,,active,S
P-H01-W004,2019-01-01,decaying,active,decaying,S
P-H01-W004,2024-01-01,decaying,decaying,residual,S
P-H01-W005,2018-01-01,decaying,,active,S
P-H01-W005,2019-01-01,decaying,active,decaying,S
P-H01-W005,2024-01-01,decaying,decaying,residual,S
P-H01-W006,2018-01-01,decaying,,active,S
P-H01-W006,2019-01-01,decaying,active,decaying,S
P-H01-W006,2024-01-01,decaying,decaying,residual,S
P-H01-W007,2018-01-01,uniform_creep,,startup,S
P-H01-W007,2019-01-01,uniform_creep,startup,uniform,S
P-H02-REF-A,2018-01-01,stable_reference,,stable_reference,S
P-H02-REF-B,2018-01-01,stable_reference,,stable_reference,S
P-H02-W001,2018-01-01,decaying,,active,S
P-H02-W001,2019-01-01,decaying,active,decaying,S
P-H02-W001,2024-01-01,decaying,decaying,residual,S
P-H02-W002,2018-01-01,reactivated,,active_initial,S
P-H02-W002,2019-01-01,reactivated,active_initial,decaying,S
P-H02-W002,2021-01-01,reactivated,decaying,quiescent,S
P-H02-W002,2022-11-01,reactivated,quiescent,reactivated,S
P-H02-W002,2023-09-01,reactivated,reactivated,active_secondary,S
P-H02-W003,2018-01-01,accelerating,,background,S
P-H02-W003,2022-01-01,accelerating,background,accelerating,S
P-H02-W003,2023-01-01,accelerating,accelerating,elevated,S
P-H02-W004,2018-01-01,reactivated,,active_initial,S
P-H02-W004,2019-01-01,reactivated,active_initial,decaying,S
P-H02-W004,2021-01-01,reactivated,decaying,quiescent,S
P-H02-W004,2023-04-01,reactivated,quiescent,reactivated,S
P-H02-W004,2024-02-01,reactivated,reactivated,active_secondary,S
P-H02-W005,2018-01-01,uniform_creep,,startup,S
P-H02-W005,2019-01-01,uniform_creep,startup,uniform,S
P-H02-W006,2018-01-01,reactivated,,active_initial,S
P-H02-W006,2019-01-01,reactivated,active_initial,decaying,S
