sample_id,early_acceleration_label,days_to_event,true_velocity_mm_y,event_onset_date
ST-001::2022-06-01,0,-61,72.16316939,2022-04-01
ST-001::2022-08-01,0,-122,84.22780432,2022-04-01
ST-001::2022-10-01,0,-183,95.00321177,2022-04-01
ST-001::2022-11-01,0,-214,94.81566172,2022-04-01
ST-001::2023-01-01,0,-275,97.17146548,2022-04-01
ST-001::2023-02-01,0,-306,102.3962387,2022-04-01
ST-001::2023-05-01,0,-395,106.314836,2022-04-01
ST-001::2023-08-01,0,-487,100.6829723,2022-04-01
ST-001::2023-11-01,0,-579,99.34569698,2022-04-01
ST-001::2024-02-01,0,-671,100.0819739,2022-04-01
ST-001::2024-05-01,0,-761,99.79426846,2022-04-01
ST-001::2024-08-01,0,-853,101.3665316,2022-04-01
ST-001::2024-11-01,0,-945,102.7520146,2022-04-01
ST-001::2025-02-01,0,-1037,100.978379,2022-04-01
ST-001::2025-05-01,0,-1126,100.3438864,2022-04-01
ST-001::2025-08-01,0,-1218,99.53474604,2022-04-01
ST-001::2025-11-01,0,-1310,105.0652287,2022-04-01
ST-002::2022-05-01,1,153,7.862875342,2022-10-01
ST-002::2022-06-01,1,122,12.63565521,2022-10-01
ST-002::2022-08-01,1,61,22.14744095,2022-10-01
ST-002::2022-09-01,1,30,37.87296131,2022-10-01
ST-002::2022-11-01,0,-31,63.08444365,2022-10-01
ST-002::2022-12-01,0,-61,82.04706307,2022-10-01
ST-002::2023-02-01,0,-123,87.17989873,2022-10-01
ST-002::2023-04-01,0,-182,91.63961162,2022-10-01
ST-002::2023-05-01,0,-212,89.59845063,2022-10-01
ST-002::2023-07-01,0,-273,94.33381604,2022-10-01
ST-002::2023-08-01,0,-304,91.88897364,2022-10-01
ST-002::2023-11-01,0,-396,91.61400951,2022-10-01
ST-002::2024-02-01,0,-488,89.36754665,2022-10-01
ST-002::2024-05-01,0,-578,91.26069379,2022-10-01
ST-002::2024-08-01,0,-670,91.32590776,2022-10-01
ST-002::2024-11-01,0,-762,95.98543987,2022-10-01
ST-002::2025-02-01,0,-854,89.97398542,2022-10-01
ST-002::2025-05-01,0,-943,93.74417653,2022-10-01
ST-002::2025-08-01,0,-1035,95.20322668,2022-10-01
ST-002::2025-11-01,0,-1127,91.76095009,2022-10-01
ST-003::2022-08-01,0,243,10.05854682,2023-04-01
ST-003::2022-10-01,0,182,14.78410407,2023-04-01
ST-003::2022-12-01,1,121,37.85858075,2023-04-01
ST-003::2023-02-01,1,59,80.80623801,2023-04-01
ST-003::2023-03-01,1,31,99.78660434,2023-04-01
ST-003::2023-05-01,0,-30,106.3844664,2023-04-01
ST-003::2023-06-01,0,-61,96.74728303,2023-04-01
ST-003::2023-08-01,0,-122,60.48475727,2023-04-01
ST-003::2023-10-01,0,-183,37.0944524,2023-04-01
ST-003::2023-11-01,0,-214,29.34528016,2023-04-01
ST-003::2024-01-01,0,-275,28.71537063,2023-04-01
ST-003::2024-02-01,0,-306,24.65823679,2023-04-01
ST-003::2024-08-01,0,-488,31.87565165,2023-04-01
ST-003::2025-02-01,0,-672,33.12307982,2023-04-01
ST-003::2025-08-01,0,-853,32.90204222,2023-04-01
ST-003::2025-11-01,0,-945,35.82333872,2023-04-01
ST-004::2023-01-01,0,273,12.83423532,2023-10-01
ST-004::2023-02-01,0,242,16.14428183,2023-10-01
