realization_id,point_id,date,true_settlement_mm,provenance
R01,P-D01-REF-A,2018-01-01,0,S
R01,P-D01-REF-A,2018-04-01,0,S
R01,P-D01-REF-A,2018-07-01,0,S
R01,P-D01-REF-A,2018-10-01,0,S
R01,P-D01-REF-A,2019-01-01,0,S
R01,P-D01-REF-A,2019-04-01,0,S
R01,P-D01-REF-A,2019-07-01,0,S
R01,P-D01-REF-A,2019-10-01,0,S
R01,P-D01-REF-A,2020-01-01,0,S
R01,P-D01-REF-A,2020-04-01,0,S
R01,P-D01-REF-A,2020-07-01,0,S
R01,P-D01-REF-A,2020-10-01,0,S
R01,P-D01-REF-A,2021-01-01,0,S
R01,P-D01-REF-A,2021-04-01,0,S
R01,P-D01-REF-A,2021-07-01,0,S
R01,P-D01-REF-A,2021-10-01,0,S
R01,P-D01-REF-A,2022-01-01,0,S
R01,P-D01-REF-A,2022-04-01,0,S
R01,P-D01-REF-A,2022-07-01,0,S
R01,P-D01-REF-A,2022-10-01,0,S
R01,P-D01-REF-A,2023-01-01,0,S
R01,P-D01-REF-A,2023-04-01,0,S
R01,P-D01-REF-A,2023-07-01,0,S
R01,P-D01-REF-A,2023-10-01,0,S
R01,P-D01-REF-A,2024-01-01,0,S
R01,P-D01-REF-A,2024-04-01,0,S
R01,P-D01-REF-A,2024-07-01,0,S
R01,P-D01-REF-A,2024-10-01,0,S
R01,P-D01-REF-A,2025-01-01,0,S
R01,P-D01-REF-A,2025-04-01,0,S
R01,P-D01-REF-A,2025-07-01,0,S
R01,P-D01-REF-A,2025-10-01,0,S
R01,P-D01-REF-B,2018-01-01,0,S
R01,P-D01-REF-B,2018-04-01,0,S
R01,P-D01-REF-B,2018-07-01,0,S
R01,P-D01-REF-B,2018-10-01,0,S
R01,P-D01-REF-B,2019-01-01,0,S
R01,P-D01-REF-B,2019-04-01,0,S
R01,P-D01-REF-B,2019-07-01,0,S
R01,P-D01-REF-B,2019-10-01,0,S
R01,P-D01-REF-B,2020-01-01,0,S
R01,P-D01-REF-B,2020-04-01,0,S
R01,P-D01-REF-B,2020-07-01,0,S
R01,P-D01-REF-B,2020-10-01,0,S
R01,P-D01-REF-B,2021-01-01,0,S
R01,P-D01-REF-B,2021-04-01,0,S
R01,P-D01-REF-B,2021-07-01,0,S
R01,P-D01-REF-B,2021-10-01,0,S
R01,P-D01-REF-B,2022-01-01,0,S
R01,P-D01-REF-B,2022-04-01,0,S
R01,P-D01-REF-B,2022-07-01,0,S
R01,P-D01-REF-B,2022-10-01,0,S
R01,P-D01-REF-B,2023-01-01,0,S
R01,P-D01-REF-B,2023-04-01,0,S
R01,P-D01-REF-B,2023-07-01,0,S
R01,P-D01-REF-B,2023-10-01,0,S
R01,P-D01-REF-B,2024-01-01,0,S
R01,P-D01-REF-B,2024-04-01,0,S
R01,P-D01-REF-B,2024-07-01,0,S
R01,P-D01-REF-B,2024-10-01,0,S
R01,P-D01-REF-B,2025-01-01,0,S
R01,P-D01-REF-B,2025-04-01,0,S
R01,P-D01-REF-B,2025-07-01,0,S
R01,P-D01-REF-B,2025-10-01,0,S
R01,P-D01-W001,2018-01-01,107.6477219,S
R01,P-D01-W001,2018-04-01,111.6104975,S
R01,P-D01-W001,2018-07-01,115.7482819,S
R01,P-D01-W001,2018-10-01,120.2026604,S
R01,P-D01-W001,2019-01-01,126.4492004,S
R01,P-D01-W001,2019-04-01,131.2602878,S
R01,P-D01-W001,2019-07-01,136.4087079,S
R01,P-D01-W001,2019-10-01,141.0181013,S
R01,P-D01-W001,2020-01-01,144.5474057,S
R01,P-D01-W001,2020-04-01,148.9867291,S
R01,P-D01-W001,2020-07-01,156.7560433,S
R01,P-D01-W001,2020-10-01,166.1654645,S
R01,P-D01-W001,2021-01-01,176.8981026,S
R01,P-D01-W001,2021-04-01,193.0993798,S
R01,P-D01-W001,2021-07-01,215.6448565,S
R01,P-D01-W001,2021-10-01,243.4702959,S
R01,P-D01-W001,2022-01-01,275.6299691,S
R01,P-D01-W001,2022-04-01,308.7781489,S
R01,P-D01-W001,2022-07-01,344.5772573,S
R01,P-D01-W001,2022-10-01,383.4556665,S
R01,P-D01-W001,2023-01-01,423.1703405,S
R01,P-D01-W001,2023-04-01,460.894657,S
R01,P-D01-W001,2023-07-01,499.9872258,S
R01,P-D01-W001,2023-10-01,539.3387667,S
R01,P-D01-W001,2024-01-01,579.2159987,S
R01,P-D01-W001,2024-04-01,619.1124619,S
R01,P-D01-W001,2024-07-01,657.7098606,S
R01,P-D01-W001,2024-10-01,698.0297184,S
R01,P-D01-W001,2025-01-01,736.8399405,S
R01,P-D01-W001,2025-04-01,776.1848608,S
R01,P-D01-W001,2025-07-01,816.5190761,S
R01,P-D01-W001,2025-10-01,857.547886,S
R01,P-D01-W002,2018-01-01,139.4396613,S
R01,P-D01-W002,2018-04-01,162.8380556,S
R01,P-D01-W002,2018-07-01,186.3582294,S
R01,P-D01-W002,2018-10-01,210.105336,S
R01,P-D01-W002,2019-01-01,233.3983128,S
R01,P-D01-W002,2019-04-01,255.0355251,S
R01,P-D01-W002,2019-07-01,275.2101645,S
R01,P-D01-W002,2019-10-01,293.1011824,S
R01,P-D01-W002,2020-01-01,312.6270188,S
R01,P-D01-W002,2020-04-01,330.2134652,S
R01,P-D01-W002,2020-07-01,347.2777819,S
R01,P-D01-W002,2020-10-01,362.3852266,S
R01,P-D01-W002,2021-01-01,376.9432893,S
R01,P-D01-W002,2021-04-01,389.4733368,S
R01,P-D01-W002,2021-07-01,399.7834787,S
R01,P-D01-W002,2021-10-01,410.4270498,S
R01,P-D01-W002,2022-01-01,422.1453441,S
R01,P-D01-W002,2022-04-01,432.4635287,S
R01,P-D01-W002,2022-07-01,445.2312097,S
R01,P-D01-W002,2022-10-01,456.0480817,S
R01,P-D01-W002,2023-01-01,468.8689383,S
R01,P-D01-W002,2023-04-01,479.0209855,S
R01,P-D01-W002,2023-07-01,489.7931051,S
R01,P-D01-W002,2023-10-01,500.0869115,S
R01,P-D01-W002,2024-01-01,510.3443338,S
R01,P-D01-W002,2024-04-01,518.18981,S
R01,P-D01-W002,2024-07-01,526.7007644,S
R01,P-D01-W002,2024-10-01,535.5590362,S
R01,P-D01-W002,2025-01-01,546.2283535,S
R01,P-D01-W002,2025-04-01,556.1254751,S
R01,P-D01-W002,2025-07-01,562.6596763,S
R01,P-D01-W002,2025-10-01,569.2482265,S
R01,P-D01-W003,2018-01-01,411.8795904,S
R01,P-D01-W003,2018-04-01,411.8795904,S
R01,P-D01-W003,2018-07-01,412.3103759,S
R01,P-D01-W003,2018-10-01,412.8001216,S
R01,P-D01-W003,2019-01-01,413.4032887,S
R01,P-D01-W003,2019-04-01,413.4032887,S
R01,P-D01-W003,2019-07-01,413.5245274,S
R01,P-D01-W003,2019-10-01,415.5399609,S
R01,P-D01-W003,2020-01-01,416.6658893,S
R01,P-D01-W003,2020-04-01,417.0953475,S
R01,P-D01-W003,2020-07-01,417.1935052,S
R01,P-D01-W003,2020-10-01,418.6320462,S
R01,P-D01-W003,2021-01-01,419.3573606,S
R01,P-D01-W003,2021-04-01,419.3573606,S
R01,P-D01-W003,2021-07-01,419.8039861,S
R01,P-D01-W003,2021-10-01,421.30496,S
R01,P-D01-W003,2022-01-01,423.9857732,S
R01,P-D01-W003,2022-04-01,424.4610541,S
R01,P-D01-W003,2022-07-01,424.9437381,S
R01,P-D01-W003,2022-10-01,424.9511305,S
R01,P-D01-W003,2023-01-01,425.7569036,S
R01,P-D01-W003,2023-04-01,425.7569036,S
R01,P-D01-W003,2023-07-01,425.7569036,S
R01,P-D01-W003,2023-10-01,425.8763506,S
R01,P-D01-W003,2024-01-01,428.0115327,S
R01,P-D01-W003,2024-04-01,428.3931309,S
R01,P-D01-W003,2024-07-01,428.6397144,S
R01,P-D01-W003,2024-10-01,429.6047343,S
R01,P-D01-W003,2025-01-01,432.3315978,S
R01,P-D01-W003,2025-04-01,433.84153,S
R01,P-D01-W003,2025-07-01,435.3859727,S
R01,P-D01-W003,2025-10-01,436.0581073,S
R01,P-D01-W004,2018-01-01,428.5900596,S
R01,P-D01-W004,2018-04-01,428.9835004,S
R01,P-D01-W004,2018-07-01,429.4792896,S
R01,P-D01-W004,2018-10-01,429.4792896,S
R01,P-D01-W004,2019-01-01,429.4792896,S
R01,P-D01-W004,2019-04-01,429.5421935,S
R01,P-D01-W004,2019-07-01,430.5651034,S
R01,P-D01-W004,2019-10-01,431.6514988,S
R01,P-D01-W004,2020-01-01,431.8841965,S
R01,P-D01-W004,2020-04-01,433.4249138,S
R01,P-D01-W004,2020-07-01,434.127277,S
R01,P-D01-W004,2020-10-01,434.127277,S
R01,P-D01-W004,2021-01-01,434.127277,S
R01,P-D01-W004,2021-04-01,434.127277,S
R01,P-D01-W004,2021-07-01,434.127277,S
R01,P-D01-W004,2021-10-01,434.127277,S
R01,P-D01-W004,2022-01-01,434.127277,S
R01,P-D01-W004,2022-04-01,434.2867445,S
R01,P-D01-W004,2022-07-01,434.2867445,S
R01,P-D01-W004,2022-10-01,434.967864,S
R01,P-D01-W004,2023-01-01,436.0283832,S
R01,P-D01-W004,2023-04-01,437.161722,S
R01,P-D01-W004,2023-07-01,437.161722,S
R01,P-D01-W004,2023-10-01,437.5758489,S
R01,P-D01-W004,2024-01-01,438.7473614,S
R01,P-D01-W004,2024-04-01,441.3697146,S
R01,P-D01-W004,2024-07-01,442.1684779,S
R01,P-D01-W004,2024-10-01,442.3805323,S
R01,P-D01-W004,2025-01-01,442.6840744,S
R01,P-D01-W004,2025-04-01,443.218037,S
R01,P-D01-W004,2025-07-01,443.218037,S
R01,P-D01-W004,2025-10-01,444.8213081,S
R01,P-D01-W005,2018-01-01,173.4120516,S
R01,P-D01-W005,2018-04-01,182.304461,S
R01,P-D01-W005,2018-07-01,190.3566466,S
R01,P-D01-W005,2018-10-01,197.1433507,S
R01,P-D01-W005,2019-01-01,206.3182002,S
R01,P-D01-W005,2019-04-01,215.7801573,S
R01,P-D01-W005,2019-07-01,223.1286016,S
R01,P-D01-W005,2019-10-01,231.9327835,S
R01,P-D01-W005,2020-01-01,241.2634558,S
R01,P-D01-W005,2020-04-01,247.8840436,S
R01,P-D01-W005,2020-07-01,255.0011548,S
R01,P-D01-W005,2020-10-01,264.6164526,S
R01,P-D01-W005,2021-01-01,274.7234856,S
R01,P-D01-W005,2021-04-01,284.7577703,S
R01,P-D01-W005,2021-07-01,292.4347887,S
R01,P-D01-W005,2021-10-01,300.6560918,S
R01,P-D01-W005,2022-01-01,311.1557107,S
R01,P-D01-W005,2022-04-01,320.6995668,S
R01,P-D01-W005,2022-07-01,331.2425567,S
R01,P-D01-W005,2022-10-01,341.0588389,S
