point_id,date,q05_mm,q25_mm,q50_mm,q75_mm,q95_mm,provenance
P-D01-REF-A,2018-01-01,0,0,0,0,0,S
P-D01-REF-A,2018-04-01,0,0,0,0,0,S
P-D01-REF-A,2018-07-01,0,0,0,0,0,S
P-D01-REF-A,2018-10-01,0,0,0,0,0,S
P-D01-REF-A,2019-01-01,0,0,0,0,0,S
P-D01-REF-A,2019-04-01,0,0,0,0,0,S
P-D01-REF-A,2019-07-01,0,0,0,0,0,S
P-D01-REF-A,2019-10-01,0,0,0,0,0,S
P-D01-REF-A,2020-01-01,0,0,0,0,0,S
P-D01-REF-A,2020-04-01,0,0,0,0,0,S
P-D01-REF-A,2020-07-01,0,0,0,0,0,S
P-D01-REF-A,2020-10-01,0,0,0,0,0,S
P-D01-REF-A,2021-01-01,0,0,0,0,0,S
P-D01-REF-A,2021-04-01,0,0,0,0,0,S
P-D01-REF-A,2021-07-01,0,0,0,0,0,S
P-D01-REF-A,2021-10-01,0,0,0,0,0,S
P-D01-REF-A,2022-01-01,0,0,0,0,0,S
P-D01-REF-A,2022-04-01,0,0,0,0,0,S
P-D01-REF-A,2022-07-01,0,0,0,0,0,S
P-D01-REF-A,2022-10-01,0,0,0,0,0,S
P-D01-REF-A,2023-01-01,0,0,0,0,0,S
P-D01-REF-A,2023-04-01,0,0,0,0,0,S
P-D01-REF-A,2023-07-01,0,0,0,0,0,S
P-D01-REF-A,2023-10-01,0,0,0,0,0,S
P-D01-REF-A,2024-01-01,0,0,0,0,0,S
P-D01-REF-A,2024-04-01,0,0,0,0,0,S
P-D01-REF-A,2024-07-01,0,0,0,0,0,S
P-D01-REF-A,2024-10-01,0,0,0,0,0,S
P-D01-REF-A,2025-01-01,0,0,0,0,0,S
P-D01-REF-A,2025-04-01,0,0,0,0,0,S
P-D01-REF-A,2025-07-01,0,0,0,0,0,S
P-D01-REF-A,2025-10-01,0,0,0,0,0,S
P-D01-REF-B,2018-01-01,0,0,0,0,0,S
P-D01-REF-B,2018-04-01,0,0,0,0,0,S
P-D01-REF-B,2018-07-01,0,0,0,0,0,S
P-D01-REF-B,2018-10-01,0,0,0,0,0,S
P-D01-REF-B,2019-01-01,0,0,0,0,0,S
P-D01-REF-B,2019-04-01,0,0,0,0,0,S
P-D01-REF-B,2019-07-01,0,0,0,0,0,S
P-D01-REF-B,2019-10-01,0,0,0,0,0,S
P-D01-REF-B,2020-01-01,0,0,0,0,0,S
P-D01-REF-B,2020-04-01,0,0,0,0,0,S
P-D01-REF-B,2020-07-01,0,0,0,0,0,S
P-D01-REF-B,2020-10-01,0,0,0,0,0,S
P-D01-REF-B,2021-01-01,0,0,0,0,0,S
P-D01-REF-B,2021-04-01,0,0,0,0,0,S
P-D01-REF-B,2021-07-01,0,0,0,0,0,S
P-D01-REF-B,2021-10-01,0,0,0,0,0,S
P-D01-REF-B,2022-01-01,0,0,0,0,0,S
P-D01-REF-B,2022-04-01,0,0,0,0,0,S
P-D01-REF-B,2022-07-01,0,0,0,0,0,S
P-D01-REF-B,2022-10-01,0,0,0,0,0,S
P-D01-REF-B,2023-01-01,0,0,0,0,0,S
P-D01-REF-B,2023-04-01,0,0,0,0,0,S
P-D01-REF-B,2023-07-01,0,0,0,0,0,S
P-D01-REF-B,2023-10-01,0,0,0,0,0,S
P-D01-REF-B,2024-01-01,0,0,0,0,0,S
P-D01-REF-B,2024-04-01,0,0,0,0,0,S
P-D01-REF-B,2024-07-01,0,0,0,0,0,S
P-D01-REF-B,2024-10-01,0,0,0,0,0,S
P-D01-REF-B,2025-01-01,0,0,0,0,0,S
P-D01-REF-B,2025-04-01,0,0,0,0,0,S
P-D01-REF-B,2025-07-01,0,0,0,0,0,S
P-D01-REF-B,2025-10-01,0,0,0,0,0,S
P-D01-W001,2018-01-01,92.34864768,97.78191301,101.7877549,108.2724524,117.5015485,S
P-D01-W001,2018-04-01,96.26602263,102.7728634,106.2433903,112.4579008,122.1852444,S
P-D01-W001,2018-07-01,99.95878788,107.3339887,112.0655372,116.9235397,127.1079153,S
P-D01-W001,2018-10-01,104.305449,112.4549024,116.7904517,122.027065,133.4771946,S
P-D01-W001,2019-01-01,108.063227,117.090844,121.3258594,127.8207044,138.6281896,S
P-D01-W001,2019-04-01,111.3217347,120.9632557,125.8740578,132.6891891,145.0246489,S
P-D01-W001,2019-07-01,116.3927766,126.0933647,131.2185249,138.3674102,150.4777992,S
P-D01-W001,2019-10-01,121.0450687,132.0002621,136.1885543,144.3516414,157.4790754,S
P-D01-W001,2020-01-01,125.5104238,136.0204204,140.7205879,150.1263826,162.6150364,S
P-D01-W001,2020-04-01,130.3696414,141.495686,146.0362052,155.947659,168.6431927,S
P-D01-W001,2020-07-01,135.8052751,147.5468257,151.9234003,162.7439471,176.3973728,S
P-D01-W001,2020-10-01,143.6454143,156.113209,160.2523082,171.2191792,187.3962318,S
P-D01-W001,2021-01-01,152.9581764,165.4869412,170.6219988,181.6063761,200.5196676,S
P-D01-W001,2021-04-01,165.8378647,179.4042494,184.9862205,197.8999433,217.8901535,S
P-D01-W001,2021-07-01,184.7776667,199.7829803,205.2677158,220.219044,242.4451138,S
P-D01-W001,2021-10-01,208.7694446,225.2324091,232.0410663,247.0999003,273.77815,S
P-D01-W001,2022-01-01,236.5350422,253.0417615,262.6556489,280.7319594,309.2506375,S
P-D01-W001,2022-04-01,266.443095,282.8271364,296.0935343,316.3323398,347.1000067,S
P-D01-W001,2022-07-01,297.7379532,316.0436812,332.321728,354.5682973,387.8157042,S
P-D01-W001,2022-10-01,330.9123326,351.42262,370.1228195,393.6693871,429.857186,S
