sample_id,split,sampling_class,sample_weight
P-H02-W006::C026::C027,test,positive,1
P-H04-W001::C025::C028,test,positive,1
P-H04-W004::C024::C027,test,positive,1
P-H04-W005::C025::C027,test,positive,1
P-H05-W005::C024::C027,test,positive,1
P-H05-W006::C024::C027,test,positive,1
P-V05-W001::C027::C029,test,positive,1
P-V05-W006::C027::C029,test,positive,1
P-V06-W003::C027::C029,test,positive,1
P-V06-W004::C027::C029,test,positive,1
P-H04-W006::C027::C028,test,sampled_negative,1
P-V04-W006::C024::C027,test,sampled_negative,1
P-V05-W007::C024::C027,test,sampled_negative,1
P-V06-W005::C024::C027,test,sampled_negative,1
P-V04-W005::C027::C029,test,sampled_negative,1
P-V04-W005::C024::C027,test,sampled_negative,1
P-V03-W006::C027::C029,test,sampled_negative,1
P-H04-W001::C028::C029,test,sampled_negative,1
P-H06-W006::C027::C029,test,sampled_negative,1
P-H06-W001::C024::C027,test,sampled_negative,1
P-V02-W001::C024::C027,test,sampled_negative,1
P-V01-W006::C024::C027,test,sampled_negative,1
P-V01-W001::C024::C027,test,sampled_negative,1
P-H06-W004::C027::C029,test,sampled_negative,1
P-V06-W005::C027::C029,test,sampled_negative,1
P-V06-W002::C024::C027,test,sampled_negative,1
P-H03-W005::C027::C029,test,sampled_negative,1
P-H02-W001::C027::C028,test,sampled_negative,1
P-H06-W007::C027::C029,test,sampled_negative,1
P-V05-W003::C027::C029,test,sampled_negative,1
P-H01-W007::C025::C027,test,sampled_negative,1
P-H07-W006::C027::C029,test,sampled_negative,1
P-V06-W002::C027::C029,test,sampled_negative,1
P-H02-W006::C028::C029,test,sampled_negative,1
P-V04-W003::C027::C029,test,sampled_negative,1
P-V03-W002::C024::C027,test,sampled_negative,1
P-V03-W003::C027::C029,test,sampled_negative,1
P-H07-W002::C024::C027,test,sampled_negative,1
P-H01-W004::C027::C029,test,sampled_negative,1
P-D01-W006::C027::C029,test,sampled_negative,1
P-D01-W003::C026::C027,test,sampled_negative,1
P-V06-W004::C024::C027,test,sampled_negative,1
P-V01-W007::C024::C027,test,sampled_negative,1
P-V05-W002::C024::C027,test,sampled_negative,1
P-V04-W004::C024::C027,test,sampled_negative,1
P-V02-W001::C027::C029,test,sampled_negative,1
P-V04-W007::C024::C029,test,sampled_negative,1
P-V05-W001::C024::C027,test,sampled_negative,1
P-V03-W004::C024::C027,test,sampled_negative,1
P-H05-W006::C027::C029,test,sampled_negative,1
P-D01-W001::C010::C012,train,positive,1
P-D01-W001::C012::C014,train,positive,1
P-D01-W006::C015::C016,train,positive,1
P-D01-W006::C016::C017,train,positive,1
P-D01-W006::C017::C018,train,positive,1
P-D01-W006::C018::C020,train,positive,1
P-H01-W002::C014::C016,train,positive,1
P-H01-W003::C012::C014,train,positive,1
P-H02-W002::C016::C018,train,positive,1
P-H02-W002::C018::C019,train,positive,1
P-H02-W002::C019::C020,train,positive,1
P-H02-W002::C020::C021,train,positive,1
P-H02-W002::C021::C022,train,positive,1
P-H02-W003::C014::C016,train,positive,1
P-H02-W003::C016::C018,train,positive,1
P-H02-W004::C019::C020,train,positive,1
P-H02-W004::C020::C021,train,positive,1
P-H02-W004::C021::C022,train,positive,1
P-H02-W006::C020::C021,train,positive,1
P-H02-W006::C021::C022,train,positive,1
