sample_id,point_id,profile_id,current_campaign_id,current_date,target_campaign_id,target_date,split,n_history,last_settlement_mm,last_rate_mm_y,mean_last_3_rates_mm_y,std_last_3_rates_mm_y,recent_acceleration_mm_y2,current_standard_uncertainty_mm,days_since_previous_observation,forecast_horizon_days,current_campaign_type,missing_campaigns_since_previous,profile_mean_settlement_mm,profile_mean_rate_mm_y,profile_rate_std_mm_y,profile_n_observed,chainage_m,chainage_normalized_profile,kzt,kzt__standard_uncertainty,kzt__donor_distance_m,kzt__provenance,ko,ko__standard_uncertainty,ko__donor_distance_m,ko__provenance,seismic_energy_J_m2,seismic_energy_J_m2__standard_uncertainty,seismic_energy_J_m2__donor_distance_m,seismic_energy_J_m2__provenance,fill_density,fill_density__standard_uncertainty,fill_density__donor_distance_m,fill_density__provenance,fault_distance_m,fault_distance_m__standard_uncertainty,fault_distance_m__donor_distance_m,fault_distance_m__provenance,lithology,lithology__standard_uncertainty,lithology__donor_distance_m,lithology__provenance,terrain_TRI_relative,terrain_TRI_relative__standard_uncertainty,terrain_TRI_relative__donor_distance_m,terrain_TRI_relative__provenance,terrain_roughness_relative,terrain_roughness_relative__standard_uncertainty,terrain_roughness_relative__donor_distance_m,terrain_roughness_relative__provenance
P-D01-W001::C005::C007,P-D01-W001,P-D01,C005,2019-05-14,C007,2019-11-05,train,3,129.043539,18.34723303,20.10332439,1.756091355,-6.108689214,0.7051966072,210,175,full,1,197.5729237,25.88020012,28.09608984,9,0,0.2957843134,0.6699096513,0.072,50,R,0.6355879693,0.03215525733,59.36081894,R,27.5,1.2,0,D,0.9586777091,0.08,21.37858899,C/R,248.2049685,25,21.37858899,C/R,carnallite,,0,D,0,0.1,21.37858899,C/R,0.2470588235,0.1,21.37858899,C/R
P-D01-W001::C007::C008,P-D01-W001,P-D01,C007,2019-11-05,C008,2020-04-21,train,4,139.0074349,20.79607406,20.33424095,1.47056094,5.111081058,0.8360339459,175,168,full,1,209.4609615,24.81203334,25.24961795,9,0,0.2957843134,0.6699096513,0.072,50,R,0.6355879693,0.03215525733,59.36081894,R,27.5,1.2,0,D,0.9586777091,0.08,21.37858899,C/R,248.2049685,25,21.37858899,C/R,carnallite,,0,D,0,0.1,21.37858899,C/R,0.2470588235,0.1,21.37858899,C/R
P-D01-W001::C008::C009,P-D01-W001,P-D01,C008,2020-04-21,C009,2020-06-02,train,5,146.778657,16.89546956,18.67959222,1.609663699,-8.480332106,1.160798797,168,42,full,0,217.9357833,18.42517056,23.25541714,9,0,0.2957843134,0.6699096513,0.072,50,R,0.6355879693,0.03215525733,59.36081894,R,27.5,1.2,0,D,0.9586777091,0.08,21.37858899,C/R,248.2049685,25,21.37858899,C/R,carnallite,,0,D,0,0.1,21.37858899,C/R,0.2470588235,0.1,21.37858899,C/R
P-D01-W001::C009::C010,P-D01-W001,P-D01,C009,2020-06-02,C010,2020-10-20,train,6,152.2151451,47.27803036,28.32319133,13.49736076,264.2197699,0.7128764186,42,140,focused,0,163.4178756,39.5693366,26.64179207,7,0,0.2957843134,0.6699096513,0.072,50,R,0.6355879693,0.03215525733,59.36081894,R,27.5,1.2,0,D,0.9586777091,0.08,21.37858899,C/R,248.2049685,25,21.37858899,C/R,carnallite,,0,D,0,0.1,21.37858899,C/R,0.2470588235,0.1,21.37858899,C/R
P-D01-W001::C010::C012,P-D01-W001,P-D01,C010,2020-10-20,C012,2021-05-18,train,7,163.9367049,30.58071223,31.58473739,12.42392987,-43.56211034,0.7271776956,140,210,full,0,228.8436278,18.89496675,19.33223252,9,0,0.2957843134,0.6699096513,0.072,50,R,0.6355879693,0.03215525733,59.36081894,R,27.5,1.2,0,D,0.9586777091,0.08,21.37858899,C/R,248.2049685,25,21.37858899,C/R,carnallite,,0,D,0,0.1,21.37858899,C/R,0.2470588235,0.1,21.37858899,C/R
P-D01-W001::C012::C014,P-D01-W001,P-D01,C012,2021-05-18,C014,2021-11-02,train,8,196.7458478,57.06447356,44.97440539,10.93396603,46.06282775,0.7078458609,210,168,full,1,242.2212559,23.26751732,22.76261252,9,0,0.2957843134,0.6699096513,0.072,50,R,0.6355879693,0.03215525733,59.36081894,R,27.5,1.2,0,D,0.9586777091,0.08,21.37858899,C/R,248.2049685,25,21.37858899,C/R,carnallite,,0,D,0,0.1,21.37858899,C/R,0.2470588235,0.1,21.37858899,C/R
P-D01-W001::C014::C015,P-D01-W001,P-D01,C014,2021-11-02,C015,2022-03-01,train,9,245.5751094,106.1600464,64.60174408,31.31205066,106.7390356,0.7121569081,168,119,full,1,254.8739913,27.50840249,34.24384016,9,0,0.2957843134,0.6699096513,0.072,50,R,0.6355879693,0.03215525733,59.36081894,R,27.5,1.2,0,D,0.9586777091,0.08,21.37858899,C/R,248.2049685,25,21.37858899,C/R,carnallite,,0,D,0,0.1,21.37858899,C/R,0.2470588235,0.1,21.37858899,C/R
P-D01-W001::C015::C017,P-D01-W001,P-D01,C015,2022-03-01,C017,2022-07-19,train,10,286.7933869,126.5124021,96.57897402,29.15020188,62.46804952,0.7023039686,119,140,focused,0,264.9856156,31.03588882,40.72579304,9,0,0.2957843134,0.6699096513,0.072,50,R,0.6355879693,0.03215525733,59.36081894,R,27.5,1.2,0,D,0.9586777091,0.08,21.37858899,C/R,248.2049685,25,21.37858899,C/R,carnallite,,0,D,0,0.1,21.37858899,C/R,0.2470588235,0.1,21.37858899,C/R
P-D01-W001::C017::C018,P-D01-W001,P-D01,C017,2022-07-19,C018,2022-10-18,train,11,340.684963,140.5992726,124.423907,14.13710092,36.7516391,0.6967133617,140,91,focused,1,235.0386653,47.38228032,48.93605282,7,0,0.2957843134,0.6699096513,0.072,50,R,0.6355879693,0.03215525733,59.36081894,R,27.5,1.2,0,D,0.9586777091,0.08,21.37858899,C/R,248.2049685,25,21.37858899,C/R,carnallite,,0,D,0,0.1,21.37858899,C/R,0.2470588235,0.1,21.37858899,C/R
P-D01-W001::C018::C020,P-D01-W001,P-D01,C018,2022-10-18,C020,2023-05-16,train,12,378.429572,151.4969063,139.5361937,10.22754339,43.74022743,0.7160666342,91,210,full,0,289.0188356,41.0513561,51.65970877,9,0,0.2957843134,0.6699096513,0.072,50,R,0.6355879693,0.03215525733,59.36081894,R,27.5,1.2,0,D,0.9586777091,0.08,21.37858899,C/R,248.2049685,25,21.37858899,C/R,carnallite,,0,D,0,0.1,21.37858899,C/R,0.2470588235,0.1,21.37858899,C/R
