point_id,profile_id,point_type,chainage_m,chainage_normalized_profile,kzt,kzt__standard_uncertainty,kzt__donor_distance_m,kzt__provenance,ko,ko__standard_uncertainty,ko__donor_distance_m,ko__provenance,seismic_energy_J_m2,seismic_energy_J_m2__standard_uncertainty,seismic_energy_J_m2__donor_distance_m,seismic_energy_J_m2__provenance,fill_density,fill_density__standard_uncertainty,fill_density__donor_distance_m,fill_density__provenance,fault_distance_m,fault_distance_m__standard_uncertainty,fault_distance_m__donor_distance_m,fault_distance_m__provenance,lithology,lithology__standard_uncertainty,lithology__donor_distance_m,lithology__provenance,terrain_TRI_relative,terrain_TRI_relative__standard_uncertainty,terrain_TRI_relative__donor_distance_m,terrain_TRI_relative__provenance,terrain_roughness_relative,terrain_roughness_relative__standard_uncertainty,terrain_roughness_relative__donor_distance_m,terrain_roughness_relative__provenance
P-D01-REF-A,P-D01,REF,-350,0,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-D01-W001,P-D01,WORK,0,0.2957843134,0.669909651344213,0.072,50,R,0.635587969297845,0.03215525733,59.36081894,R,27.5,1.2,0,D,0.958677709102631,0.08,21.37858899,C/R,248.204968502742,25,21.37858899,C/R,carnallite,,0,D,0.0,0.1,21.37858899,C/R,0.247058823529412,0.1,21.37858899,C/R
P-D01-W002,P-D01,WORK,76.75345009,0.3606485035,0.694413407821229,0.032,0,D,0.409694418712861,0.035,100,R,27.5,1.2,0,D,0.950413227081299,0.08,16.10236723,C/R,282.532701698636,25,16.10236723,C/R,carnallite,,0,D,0.0,0.1,16.10236723,C/R,0.823529411764706,0.1,16.10236723,C/R
P-D01-W003,P-D01,WORK,139.7926804,0.4139228333,0.600558659217877,0.032,0,D,0.329358418971301,0.0315,50,R,27.5,2.7,50,R,0.851239681243896,0.08,17.76668779,C/R,340.15069130568,25,17.76668779,C/R,carnallite,,0,D,0.0055555555555555,0.1,17.76668779,C/R,0.475816993464052,0.1,17.76668779,C/R
P-D01-W004,P-D01,WORK,239.0304887,0.4977885105,0.609920388587905,0.072,50,R,0.315642458100559,0.014,0,D,27.5,2.7,50,R,0.768595039844513,0.08,20.9331457,C/R,299.954691288257,25,20.9331457,C/R,carnallite,,50,R,,0.1,20.9331457,C/R,,0.1,20.9331457,C/R
P-D01-W005,P-D01,WORK,310.6223535,0.558290655,0.613966480446927,0.032,0,D,0.384078212290503,0.014,0,D,27.5,1.2,0,D,0.495867758989334,0.08,27.22685347,C/R,292.10458851111,25,27.22685347,C/R,carnallite,,46.74834236,R,0.0,0.1,27.22685347,C/R,0.266666666666667,0.1,27.22685347,C/R
P-D01-W006,P-D01,WORK,402.5336996,0.6359647532,0.613966480446927,0.032,0,D,0.65,0.014,0,D,27.5,1.2,0,D,0.421487599611282,0.08,12.29955337,C/R,231.592602818588,25,12.29955337,C/R,carnallite,,0,D,0.0,0.1,12.29955337,C/R,0.0352941176470588,0.1,12.29955337,C/R
P-D01-W007,P-D01,WORK,483.294665,0.7042156866,0.605027932960894,0.032,0,D,0.493575418994413,0.014,0,D,27.5,1.2,0,D,0.801652908325195,0.08,30.36152878,C/R,155.653481984478,25,30.36152878,C/R,carnallite,,0,D,0.0,0.1,30.36152878,C/R,0.266666666666667,0.1,30.36152878,C/R
P-D01-REF-B,P-D01,REF,833.294665,1,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-H01-REF-A,P-H01,REF,-350,0,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
