point_id,process_family,event_name,event_date,event_amplitude_mm_y,use_class
P-D01-W001,accelerating,primary,2021-06-01,132.1085387,private_generation_only
P-D01-W006,reactivated,primary,2018-01-01,140.2409926,private_generation_only
P-D01-W006,reactivated,secondary,2022-08-01,140.2409926,private_generation_only
P-H01-W002,accelerating,primary,2021-11-01,114.266778,private_generation_only
P-H01-W003,step_change,primary,2021-09-01,146.5932302,private_generation_only
P-H02-W002,reactivated,primary,2018-01-01,138.9069879,private_generation_only
P-H02-W002,reactivated,secondary,2023-03-01,138.9069879,private_generation_only
P-H02-W003,accelerating,primary,2022-05-01,117.7850095,private_generation_only
P-H02-W004,reactivated,primary,2018-01-01,140.076088,private_generation_only
P-H02-W004,reactivated,secondary,2023-08-01,140.076088,private_generation_only
P-H02-W006,reactivated,primary,2018-01-01,140.231317,private_generation_only
P-H02-W006,reactivated,secondary,2024-02-01,140.231317,private_generation_only
P-H03-W007,accelerating,primary,2022-11-01,122.1134915,private_generation_only
P-H04-W001,reactivated,primary,2018-01-01,144.7490263,private_generation_only
P-H04-W001,reactivated,secondary,2024-07-01,144.7490263,private_generation_only
P-H04-W002,step_change,primary,2022-09-01,159.2136306,private_generation_only
P-H04-W003,step_change,primary,2023-09-01,155.8804809,private_generation_only
P-H04-W004,reactivated,primary,2018-01-01,146.3788196,private_generation_only
P-H04-W004,reactivated,secondary,2025-02-01,146.3788196,private_generation_only
P-H04-W005,step_change,primary,2024-08-01,141.9149073,private_generation_only
P-H04-W006,accelerating,primary,2023-04-01,126.6098103,private_generation_only
P-H05-W004,accelerating,primary,2023-10-01,121.7933486,private_generation_only
P-H05-W005,accelerating,primary,2024-03-01,127.3403003,private_generation_only
P-H05-W006,accelerating,primary,2024-09-01,123.2874239,private_generation_only
P-H05-W007,reactivated,primary,2018-01-01,131.0954315,private_generation_only
P-H05-W007,reactivated,secondary,2025-05-01,131.0954315,private_generation_only
P-V02-W006,step_change,primary,2025-04-01,150.109297,private_generation_only
P-V03-W004,accelerating,primary,2025-03-01,116.0571424,private_generation_only
P-V05-W001,accelerating,primary,2025-05-01,125.1192481,private_generation_only
P-V05-W006,accelerating,primary,2025-07-01,113.923741,private_generation_only
P-V06-W002,accelerating,primary,2025-09-01,124.8872868,private_generation_only
P-V06-W003,step_change,primary,2025-08-01,164.0009747,private_generation_only
P-V06-W004,reactivated,primary,2018-01-01,145.1306097,private_generation_only
P-V06-W004,reactivated,secondary,2025-08-01,145.1306097,private_generation_only
