point_id,profile_id,point_order,risk_score,process_family
P-H04-W003,P-H04,3,0.8354399929,step_change
P-V06-W003,P-V06,3,0.7792960835,step_change
P-H01-W003,P-H01,3,0.7568522879,step_change
P-H04-W002,P-H04,2,0.7482786091,step_change
P-H04-W005,P-H04,5,0.7265741054,step_change
P-V02-W006,P-V02,6,0.7230488102,step_change
P-H02-W006,P-H02,6,0.7191385499,reactivated
P-D01-W006,P-D01,6,0.7094493041,reactivated
P-H02-W004,P-H02,4,0.7064342953,reactivated
P-H05-W007,P-H05,7,0.7036523661,reactivated
P-V06-W004,P-V06,4,0.7005977632,reactivated
P-H04-W004,P-H04,4,0.6926304019,reactivated
P-H02-W002,P-H02,2,0.6819154654,reactivated
P-H04-W001,P-H04,1,0.6788830784,reactivated
P-H03-W007,P-H03,7,0.6765765353,accelerating
P-D01-W001,P-D01,1,0.6712676803,accelerating
P-H05-W005,P-H05,5,0.655060172,accelerating
P-V05-W001,P-V05,1,0.6541066805,accelerating
P-V06-W002,P-V06,2,0.6477029956,accelerating
P-V03-W004,P-V03,4,0.6450754722,accelerating
P-H01-W002,P-H01,2,0.6435132491,accelerating
P-H02-W003,P-H02,3,0.6400903891,accelerating
P-H05-W006,P-H05,6,0.6296573174,accelerating
P-H05-W004,P-H05,4,0.6284354339,accelerating
P-V05-W006,P-V05,6,0.6281563842,accelerating
P-H04-W006,P-H04,6,0.6274001514,accelerating
P-V02-W005,P-V02,5,0.6270595243,decaying
P-V01-W005,P-V01,5,0.6218652083,decaying
P-V06-W005,P-V06,5,0.6215675656,decaying
P-V02-W001,P-V02,1,0.6196131066,decaying
P-H02-W001,P-H02,1,0.6194587317,decaying
P-H01-W006,P-H01,6,0.6187839318,decaying
P-H03-W004,P-H03,4,0.6099650403,decaying
P-V06-W007,P-V06,7,0.6087362298,decaying
P-H03-W002,P-H03,2,0.6063308469,decaying
P-H03-W005,P-H03,5,0.6053830889,decaying
P-H01-W005,P-H01,5,0.6031175898,decaying
P-H03-W001,P-H03,1,0.602929841,decaying
P-V02-W002,P-V02,2,0.6024073024,decaying
P-D01-W002,P-D01,2,0.6019444489,decaying
P-H05-W003,P-H05,3,0.5998341973,decaying
P-H01-W001,P-H01,1,0.5963557877,decaying
P-V01-W007,P-V01,7,0.5935760025,decaying
P-V01-W003,P-V01,3,0.5931500334,decaying
P-H03-W006,P-H03,6,0.5904146261,decaying
P-H01-W004,P-H01,4,0.5843609313,decaying
P-H07-W002,P-H07,2,0.5842367895,decaying
P-H03-W003,P-H03,3,0.5817113847,decaying
P-V05-W002,P-V05,2,0.5806659697,decaying
P-V01-W004,P-V01,4,0.5805654086,decaying
P-H04-W007,P-H04,7,0.5760539116,decaying
P-H05-W002,P-H05,2,0.5717094699,decaying
P-V06-W006,P-V06,6,0.5697127393,decaying
P-D01-W007,P-D01,7,0.5682954238,decaying
P-H02-W007,P-H02,7,0.5656027635,uniform_creep
P-D01-W005,P-D01,5,0.5653481383,uniform_creep
P-H05-W001,P-H05,1,0.564590229,uniform_creep
P-V03-W005,P-V03,5,0.5638703901,uniform_creep
P-H07-W001,P-H07,1,0.5635802533,uniform_creep
P-V05-W005,P-V05,5,0.5564020726,uniform_creep
P-V05-W003,P-V05,3,0.554464252,uniform_creep
P-V03-W002,P-V03,2,0.5531174838,uniform_creep
P-V01-W006,P-V01,6,0.5507723915,uniform_creep
P-H02-W005,P-H02,5,0.5488619977,uniform_creep
P-H07-W004,P-H07,4,0.5481156483,uniform_creep
P-V03-W001,P-V03,1,0.5478593664,uniform_creep
P-V02-W007,P-V02,7,0.5402236177,uniform_creep
P-V02-W003,P-V02,3,0.5371347315,uniform_creep
P-V03-W003,P-V03,3,0.5342897907,uniform_creep
P-V05-W007,P-V05,7,0.5335135083,uniform_creep
P-H07-W007,P-H07,7,0.5311744263,uniform_creep
P-H01-W007,P-H01,7,0.5039814441,uniform_creep
P-V05-W004,P-V05,4,0.5009699032,uniform_creep
P-V03-W006,P-V03,6,0.4895881073,uniform_creep
P-V04-W007,P-V04,7,0.4861975046,uniform_creep
P-V01-W002,P-V01,2,0.4856692402,uniform_creep
P-V06-W001,P-V06,1,0.4822581637,uniform_creep
P-V01-W001,P-V01,1,0.4799527147,uniform_creep
P-V02-W004,P-V02,4,0.4679968163,uniform_creep
P-H07-W006,P-H07,6,0.4654634797,uniform_creep
P-H07-W003,P-H07,3,0.456413691,stable
P-D01-W004,P-D01,4,0.4545946063,stable
P-V03-W007,P-V03,7,0.4536244668,stable
P-D01-W003,P-D01,3,0.4473136399,stable
P-H07-W005,P-H07,5,0.4039487393,stable
P-H06-W001,P-H06,1,0.3888168414,stable
P-H06-W006,P-H06,6,0.3406820485,stable
P-V04-W004,P-V04,4,0.3363964313,stable
P-V04-W002,P-V04,2,0.3229068737,stable
P-V04-W006,P-V04,6,0.3223923554,stable
P-H06-W002,P-H06,2,0.3212446517,stable
P-V04-W005,P-V04,5,0.3125955151,stable
P-H06-W004,P-H06,4,0.3065966741,stable
P-V04-W003,P-V04,3,0.3053393102,stable
P-V04-W001,P-V04,1,0.2995027795,stable
P-H06-W003,P-H06,3,0.2906664547,stable
P-H06-W007,P-H06,7,0.2672767204,stable
P-H06-W005,P-H06,5,0.2582736671,stable
