anchor_id,anchor_type,provenance,source_file,class_id,panel_or_block,name,caption,x_local_m,y_local_m,source_location,source_quality,block,zone,lithology,depth_roof_m,depth_alt_m,bed_thickness_m,chamber_width_m,pillar_width_m,load_coeff,axial_distance_m,mining_interval,fill_interval,fill_type,mining_method,disp_mean_mm,disp_min_mm,disp_max_mm,natural_factor
COORD-01,coordinate,P,ВКР_Филатова_М_С.docx,92280000.0,60,138.0,КрII 0.36,24700.24467,41936.96624,Рисунок 14,exact_transcription,,,,,,,,,,,,,,,,,,
COORD-02,coordinate,P,ВКР_Филатова_М_С.docx,92280000.0,28,209.0,КрII,23312.60481,41892.59055,Рисунок 14,exact_transcription,,,,,,,,,,,,,,,,,,
COORD-03,coordinate,P,ВКР_Филатова_М_С.docx,92280000.0,68,146.0,КрII 0.34,24643.84888,42252.19899,Рисунок 14,exact_transcription,,,,,,,,,,,,,,,,,,
COORD-04,coordinate,P,ВКР_Филатова_М_С.docx,92292000.0,1 ВП,4.0,"Вк: 0.3, Кр-2: 0.22",27226.78022,40430.63224,Рисунок 14,exact_transcription,,,,,,,,,,,,,,,,,,
COORD-05,coordinate,P,ВКР_Филатова_М_С.docx,92292000.0,1 ВП,3.0,"Вк: 0.27, Кр-2: 0.23",26977.16358,40429.96277,Рисунок 14,exact_transcription,,,,,,,,,,,,,,,,,,
COORD-06,coordinate,P,ВКР_Филатова_М_С.docx,92292000.0,1 ВП,2.0,"Вк: 0.26, Кр-2: 0.24",26666.67746,40429.58647,Рисунок 14,exact_transcription,,,,,,,,,,,,,,,,,,
COORD-07,coordinate,P,ВКР_Филатова_М_С.docx,92292000.0,1 ВП,1.0,"Вк: 0.27, Кр-2: 0.22",26336.50615,40428.85001,Рисунок 14,exact_transcription,,,,,,,,,,,,,,,,,,
COORD-08,coordinate,P,ВКР_Филатова_М_С.docx,92292000.0,1 ВП,5.0,"Вк: 0.3, Кр-2: 0.23",27398.72564,40429.90029,Рисунок 14,exact_transcription,,,,,,,,,,,,,,,,,,
GEOM-01,mining_geometry,P,ВКР_Филатова_М_С.docx,,1 СЗП,,,,,Рисунок 15,exact_transcription,6.0,2,АБ,301.9,,3.19,5.5,6.4,,,,,,,,,,
GEOM-02,mining_geometry,P,ВКР_Филатова_М_С.docx,,1 СЗП,,,,,Рисунок 15,exact_transcription,6.0,2,КпII,310.8,312.3,5.49,5.5,6.4,,,,,,,,,,
GEOM-03,mining_geometry,P,ВКР_Филатова_М_С.docx,,1 СЗП,,,,,Рисунок 15,exact_transcription,6.0,2',КпII,307.0,,5.3,5.5,6.4,,,,,,,,,,
TECH-01,mining_technical,P,ВКР_Филатова_М_С.docx,,18П блок,,,,,Рисунок 17,exact_transcription,208.0,,,260.0,,,15.0,12.0,0.33,27.0,1955–1957,1978–1980,сухая,БВР,,,,
TECH-02,mining_technical,P,ВКР_Филатова_М_С.docx,,18П блок,,,,,Рисунок 17,exact_transcription,207.0,,,246.0,,,15.0,12.0,0.27,27.0,1956–1957,1978–1981,сухая,БВР,,,,
TECH-03,mining_technical,P,ВКР_Филатова_М_С.docx,,18П блок,,,,,Рисунок 17,exact_transcription,207.0,,,260.0,,,15.0,12.0,0.33,27.0,1955–1957,1978–1980,сухая,БВР,,,,
TECH-04,mining_technical,P,ВКР_Филатова_М_С.docx,,3П блок,,,,,Рисунок 17,exact_or_source_truncated,88.0,,,300.0,,,15.0,12.0,0.2,27.0,1935–1939,"1989–1999, 20…",сухая/гидро,БВР,,,,
TECH-05,mining_technical,P,ВКР_Филатова_М_С.docx,,19П блок,,,,,Рисунок 17,exact_transcription,88.0,,,265.0,,,15.0,12.0,0.2,27.0,1934–1935,2016–2017,сухая,БВР,,,,
TECH-06,mining_technical,P,ВКР_Филатова_М_С.docx,,55П блок,,,,,Рисунок 17,exact_transcription,98.0,,,205.0,,,16.0,11.0,0.25,27.0,1969–1971,"1994, 2002",сухая,комбайн+БВР,,,,
TECH-07,mining_technical,P,ВКР_Филатова_М_С.docx,,76П блок,,,,,Рисунок 17,exact_or_source_truncated,110.0,,,195.0,,,16.0,11.0,0.212,27.0,1965–1970,"1997–2002, 20…",сухая/гидро,комбайн+БВР,,,,
TECH-08,mining_technical,P,ВКР_Филатова_М_С.docx,,46П блок,,,,,Рисунок 17,exact_transcription,106.0,,,190.0,,,15.0,12.0,0.14,27.0,1961,2011–2012,гидро,БВР,,,,
TECH-09,mining_technical,P,ВКР_Филатова_М_С.docx,,46П блок,,,,,Рисунок 17,exact_transcription,106.0,,,200.0,,,15.0,12.0,0.15,27.0,1962,2012,гидро,БВР,,,,
TECH-10,mining_technical,P,ВКР_Филатова_М_С.docx,,54П блок,,,,,Рисунок 17,exact_or_source_truncated,118.0,,,229.0,,,15.0,12.0,0.26,27.0,1962–1965,"1996–1998, 20…",сухая/гидро,БВР,,,,
TECH-11,mining_technical,P,ВКР_Филатова_М_С.docx,,46П блок,,,,,Рисунок 17,exact_transcription,107.0,,,200.0,,,15.0,12.0,0.15,27.0,1961–1962,2012,гидро,БВР,,,,
TECH-12,mining_technical,P,ВКР_Филатова_М_С.docx,,52П блок,,,,,Рисунок 17,exact_transcription,127.0,,,250.0,,,15.0,12.0,0.3,27.0,1957–1959,"1996, 2011",сухая/гидро,БВР,,,,
