published_row_id,cell_id,distance_to_anchor_m,conditioned_settlement_mm
PUBROW-01,G050-003238,240.705097743164,339.269343121023
PUBROW-01,G050-003239,15.8560746020917,131.258116638685
PUBROW-01,G050-003240,61.910645883538,100.927645457991
PUBROW-01,G050-003241,111.771767784699,106.38515520676
PUBROW-01,G050-003242,153.187827026359,104.487822841035
PUBROW-01,G050-003316,245.205152698776,372.795178098436
PUBROW-01,G050-003317,219.841635965306,390.493047649005
PUBROW-01,G050-003318,37.2217410177823,111.352891280775
PUBROW-01,G050-003319,77.1803731527635,100.089309112745
PUBROW-01,G050-003320,116.775804242463,162.970344494959
PUBROW-01,G050-003321,156.400997823919,126.373155726936
PUBROW-01,G050-003322,232.470314540162,148.791238044758
PUBROW-01,G050-003389,257.190221431532,355.72233033538
PUBROW-01,G050-003390,229.100437205693,308.201774233586
PUBROW-01,G050-003391,164.641404162486,323.430950053529
PUBROW-01,G050-003392,134.960156555759,293.576322487424
PUBROW-01,G050-003393,110.881432451692,240.99745587796
PUBROW-01,G050-003394,113.262992146279,207.613411756772
PUBROW-01,G050-003395,116.643418617158,108.668344746924
PUBROW-01,G050-003396,143.30663727588,142.457666909703
PUBROW-01,G050-003397,185.253221445974,170.832563090762
PUBROW-01,G050-003398,248.844764852303,136.61638216409
PUBROW-01,G050-003474,251.712698948327,229.303685219378
PUBROW-01,G050-003475,181.812275198532,279.54897909546
PUBROW-01,G050-003476,167.29048204987,408.821
PUBROW-01,G050-003477,151.449034331686,253.265500189488
PUBROW-01,G050-003478,168.031707336396,121.951281250309
PUBROW-01,G050-003479,162.170664191388,179.220497205015
PUBROW-01,G050-003480,184.165170431327,197.603683560265
PUBROW-01,G050-003481,233.370079650506,101.779905027078
PUBROW-01,G050-003561,212.024323762843,218.177843611317
PUBROW-01,G050-003562,200.216907377974,155.62596210897
PUBROW-01,G050-003563,209.234305631812,100.375597431166
PUBROW-01,G050-003564,209.822207669182,188.141752636638
PUBROW-01,G050-003565,225.979667226943,266.113998966693
PUBROW-01,G050-003566,254.414641874243,114.452975789786
PUBROW-01,G050-003641,251.333542591497,117.981703244327
PUBROW-01,G050-003642,239.439708854596,100.016
PUBROW-01,G050-003643,251.322008241384,102.959185334873
PUBROW-02,G050-002709,257.667347302473,158.161918525628
PUBROW-02,G050-002710,241.837486755054,180.125626778158
PUBROW-02,G050-002711,233.013669126944,204.616442362013
PUBROW-02,G050-002712,234.745330091997,213.311927951277
PUBROW-02,G050-002713,246.810392811973,188.017440757782
PUBROW-02,G050-002714,259.213907281498,133.190769310183
PUBROW-02,G050-002744,247.235454577213,141.942398960027
PUBROW-02,G050-002745,216.645724628945,161.63869126662
PUBROW-02,G050-002746,194.281676953852,184.03690821184
PUBROW-02,G050-002747,183.181249040399,192.066419298609
PUBROW-02,G050-002748,185.378990179579,172.514209979156
PUBROW-02,G050-002749,200.437945509328,145.026826292752
PUBROW-02,G050-002750,223.481233830323,127.791473304768
PUBROW-02,G050-002751,235.53560252467,100.309425141082
PUBROW-02,G050-002814,254.116843204068,196.183070377233
PUBROW-02,G050-002815,213.038423764355,138.940519436072
PUBROW-02,G050-002816,176.622110733625,154.761146504729
PUBROW-02,G050-002817,148.342070903707,168.815864968984
PUBROW-02,G050-002818,133.474229722447,176.28443552098
PUBROW-02,G050-002819,136.474796207946,151.437541346269
PUBROW-02,G050-002820,156.318169129504,130.446365670704
PUBROW-02,G050-002821,187.737502912977,100.008
PUBROW-02,G050-002822,223.734731942166,100.919636397468
PUBROW-02,G050-002893,232.024503016386,226.835258869973
PUBROW-02,G050-002894,186.132667739977,231.468638084782
PUBROW-02,G050-002895,143.022270993019,222.264289913108
PUBROW-02,G050-002896,106.138447322356,217.756312684431
PUBROW-02,G050-002897,84.115218599254,200.366650122465
PUBROW-02,G050-002898,88.7996058549819,136.022752024378
PUBROW-02,G050-002899,117.027219056081,101.749723894012
PUBROW-02,G050-002900,156.541911320898,103.945277835773
PUBROW-02,G050-002901,197.921978480192,108.346847335815
PUBROW-02,G050-002902,248.32482024957,115.939757105847
PUBROW-02,G050-002983,219.306566249168,245.737690769227
PUBROW-02,G050-002984,170.015793384028,255.552562832647
PUBROW-02,G050-002985,121.306924781731,236.163864346496
PUBROW-02,G050-002986,74.3328325842645,208.931756901529
PUBROW-02,G050-002987,36.5427147322164,148.192333931741
PUBROW-02,G050-002988,46.3181389954303,120.385685513225
PUBROW-02,G050-002989,89.1928808818274,102.765171874268
PUBROW-02,G050-002990,136.986751184192,106.745715549538
PUBROW-02,G050-002991,185.944534740873,111.915984082389
PUBROW-02,G050-002992,235.340965409763,113.873267071187
PUBROW-02,G050-003073,217.297630851797,275.889907504711
PUBROW-02,G050-003074,164.985533668744,265.604542645578
PUBROW-02,G050-003075,125.755875573809,281.119
PUBROW-02,G050-003076,65.5314219263392,240.920391742731
PUBROW-02,G050-003077,16.9046481130281,165.190357702215
PUBROW-02,G050-003078,33.1135756675229,125.228181425389
PUBROW-02,G050-003079,83.1316184401377,122.758759473208
PUBROW-02,G050-003080,133.14968419335,118.11168141915
PUBROW-02,G050-003081,183.167754101058,110.072197405978
PUBROW-02,G050-003082,235.269914526561,105.275705574996
PUBROW-02,G050-003158,253.968155304074,260.549151742978
PUBROW-02,G050-003159,168.091204571137,270.718276755011
PUBROW-02,G050-003160,140.367421230788,250.615247502891
PUBROW-03,G050-003077,16.9046481130281,174.506557299796
PUBROW-03,G050-003078,33.1135756675229,127.823427118625
PUBROW-03,G050-002987,36.5427147322164,153.772726716999
PUBROW-03,G050-002988,46.3181389954303,114.398438360527
PUBROW-03,G050-003076,65.5314219263392,251.166414811508
PUBROW-03,G050-002986,74.3328325842645,210.258488938189
PUBROW-03,G050-003079,83.1316184401377,120.689769507492
PUBROW-03,G050-002897,84.115218599254,197.747209770549
PUBROW-03,G050-002898,88.7996058549819,144.4052604618
PUBROW-03,G050-002989,89.1928808818274,101.519853554281
PUBROW-03,G050-002896,106.138447322356,223.341640911781
PUBROW-03,G050-002899,117.027219056081,100.008
PUBROW-03,G050-002985,121.306924781731,236.982057852175
