anchor_id,x_local_m,y_local_m,inside_reconstructed_footprint,outside_distance_m,geometry_standard_uncertainty_m,inside_or_within_geometry_uncertainty,calibration_role,provenance
COORD-01,24700.24467,41936.96624,True,0,12,True,fit,P/C
COORD-02,23312.60481,41892.59055,True,0,12,True,fit,P/C
COORD-03,24643.84888,42252.19899,True,0,12,True,fit,P/C
COORD-04,27226.78022,40430.63224,True,0,12,True,fit,P/C
COORD-05,26977.16358,40429.96277,True,0,12,True,fit,P/C
COORD-06,26666.67746,40429.58647,True,0,12,True,fit,P/C
COORD-07,26336.50615,40428.85001,True,0,12,True,fit,P/C
COORD-08,27398.72564,40429.90029,True,0,12,True,fit,P/C
NAT-01,23178.5,41913.4,True,0,12,True,fit,P/C
NAT-02,23057.4,41891.9,True,0,12,True,fit,P/C
NAT-03,23057.4,41891.9,True,0,12,True,fit,P/C
NAT-04,23989.5,40379,True,0,12,True,fit,P/C
NAT-05,24040.1,40453.2,True,0,12,True,fit,P/C
NAT-06,25023.2,40673.1,True,0,12,True,fit,P/C
NAT-07,25043.5,40971.6,True,0,12,True,fit,P/C
NAT-08,23984.2,41114.5,True,0,12,True,fit,P/C
NAT-09,23984.2,41114.5,True,0,12,True,fit,P/C
NAT-10,24446.1,41283.1,True,0,12,True,fit,P/C
NAT-11,24152.9,41088.1,True,0,12,True,fit,P/C
NAT-12,24538.7,41637.7,False,8.30848007051178,12,True,fit,P/C
