campaign_id,date,profile_id,left_interval,right_interval,chainage_m,curvature_mm_m2,standard_uncertainty_curvature_mm_m2,provenance
C001,2018-05-15,P-D01,P-D01-REF-A::P-D01-W001,P-D01-W001::P-D01-W002,-68.31163748,0.002186658126,6.248175957e-05,C/S
C001,2018-05-15,P-D01,P-D01-W001::P-D01-W002,P-D01-W002::P-D01-W003,73.32489514,0.04552213211,0.0002986523621,C/S
C001,2018-05-15,P-D01,P-D01-W002::P-D01-W003,P-D01-W003::P-D01-W004,148.8423249,-0.04864959877,0.0002388313056,C/S
C001,2018-05-15,P-D01,P-D01-W003::P-D01-W004,P-D01-W004::P-D01-W005,232.1190028,-0.03863084422,0.0002116554286,C/S
C001,2018-05-15,P-D01,P-D01-W004::P-D01-W005,P-D01-W005::P-D01-W006,315.7022239,0.04011115367,0.0002276050624,C/S
C001,2018-05-15,P-D01,P-D01-W005::P-D01-W006,P-D01-W006::P-D01-W007,399.7461044,-0.01920669461,0.0001980205069,C/S
C001,2018-05-15,P-D01,P-D01-W006::P-D01-W007,P-D01-W007::P-D01-REF-B,550.6044237,0.007079017456,6.043981253e-05,C/S
C001,2018-05-15,P-H01,P-H01-REF-A::P-H01-W001,P-H01-W001::P-H01-W002,-50.53544239,-0.001059360744,3.138574022e-05,C/S
C001,2018-05-15,P-H01,P-H01-W001::P-H01-W002,P-H01-W002::P-H01-W003,157.1567997,0.008136402508,5.754576866e-05,C/S
C001,2018-05-15,P-H01,P-H01-W002::P-H01-W003,P-H01-W003::P-H01-W004,317.9069945,-0.01755570873,7.260055373e-05,C/S
C001,2018-05-15,P-H01,P-H01-W003::P-H01-W004,P-H01-W004::P-H01-W005,468.1479914,0.01574331188,8.114512901e-05,C/S
C001,2018-05-15,P-H01,P-H01-W004::P-H01-W005,P-H01-W005::P-H01-W006,622.2202456,-0.006379423622,6.262207095e-05,C/S
C001,2018-05-15,P-H01,P-H01-W005::P-H01-W006,P-H01-W006::P-H01-W007,786.2996526,0.0001424336428,5.902234357e-05,C/S
C001,2018-05-15,P-H01,P-H01-W006::P-H01-W007,P-H01-W007::P-H01-REF-B,999.3562664,-0.0002046587827,2.711036091e-05,C/S
C001,2018-05-15,P-H02,P-H02-REF-A::P-H02-W001,P-H02-W001::P-H02-W002,-63.55109368,0.006455326754,7.348002312e-05,C/S
C001,2018-05-15,P-H02,P-H02-W001::P-H02-W002,P-H02-W002::P-H02-W003,91.98318136,-0.04458695217,0.0002844918608,C/S
C001,2018-05-15,P-H02,P-H02-W002::P-H02-W003,P-H02-W003::P-H02-W004,174.8258683,0.02044621216,0.000369637752,C/S
C001,2018-05-15,P-H02,P-H02-W003::P-H02-W004,P-H02-W004::P-H02-W005,261.4655728,0.001014652037,0.0002607732345,C/S
C001,2018-05-15,P-H02,P-H02-W004::P-H02-W005,P-H02-W005::P-H02-W006,354.0345716,0.03930501528,0.0003166170335,C/S
C001,2018-05-15,P-H02,P-H02-W005::P-H02-W006,P-H02-W006::P-H02-W007,440.3190577,-0.04004395826,0.0003455204211,C/S
C001,2018-05-15,P-H02,P-H02-W006::P-H02-W007,P-H02-W007::P-H02-REF-B,595.5897231,-0.0007200926583,6.474618921e-05,C/S
C001,2018-05-15,P-H03,P-H03-REF-A::P-H03-W001,P-H03-W001::P-H03-W002,-65.6362923,0.004642006852,5.46448018e-05,C/S
C001,2018-05-15,P-H03,P-H03-W001::P-H03-W002,P-H03-W002::P-H03-W003,74.81323247,-0.03149795231,0.0004906623163,C/S
C001,2018-05-15,P-H03,P-H03-W002::P-H03-W003,P-H03-W003::P-H03-W004,134.0422357,0.07518409535,0.0005580274525,C/S
C001,2018-05-15,P-H03,P-H03-W003::P-H03-W004,P-H03-W004::P-H03-W005,208.2011524,-0.06205912504,0.0001836255074,C/S
C001,2018-05-15,P-H03,P-H03-W004::P-H03-W005,P-H03-W005::P-H03-W006,284.5306921,0.005732499641,0.001347835737,C/S
C001,2018-05-15,P-H03,P-H03-W005::P-H03-W006,P-H03-W006::P-H03-W007,345.980641,0.07424923449,0.001311322962,C/S
C001,2018-05-15,P-H03,P-H03-W006::P-H03-W007,P-H03-W007::P-H03-REF-B,492.5337655,-0.01795419863,4.146016399e-05,C/S
C001,2018-05-15,P-H04,P-H04-REF-A::P-H04-W001,P-H04-W001::P-H04-W002,-67.76686288,0.0186255899,6.114385849e-05,C/S
C001,2018-05-15,P-H04,P-H04-W001::P-H04-W002,P-H04-W002::P-H04-W003,89.25294079,-0.0216815498,0.0001559831477,C/S
C001,2018-05-15,P-H04,P-H04-W002::P-H04-W003,P-H04-W003::P-H04-W004,199.3227356,-0.05517874026,0.0001034999336,C/S
C001,2018-05-15,P-H04,P-H04-W003::P-H04-W004,P-H04-W004::P-H04-W005,309.4947112,0.04756234764,0.0001648326202,C/S
C001,2018-05-15,P-H04,P-H04-W004::P-H04-W005,P-H04-W005::P-H04-W006,406.0910898,0.003637816858,0.0001825643076,C/S
C001,2018-05-15,P-H04,P-H04-W005::P-H04-W006,P-H04-W006::P-H04-W007,502.9906746,-0.007622150332,0.0001513805417,C/S
C001,2018-05-15,P-H04,P-H04-W006::P-H04-W007,P-H04-W007::P-H04-REF-B,663.8264988,0.0009062609535,5.318746937e-05,C/S
C001,2018-05-15,P-H05,P-H05-REF-A::P-H05-W001,P-H05-W001::P-H05-W002,-53.16240367,-0.01853837988,3.478908787e-05,C/S
C001,2018-05-15,P-H05,P-H05-W001::P-H05-W002,P-H05-W002::P-H05-W003,130.6586515,0.01885176597,0.0001051432394,C/S
C001,2018-05-15,P-H05,P-H05-W002::P-H05-W003,P-H05-W003::P-H05-W004,262.3892339,0.004934049381,8.856228627e-05,C/S
C001,2018-05-15,P-H05,P-H05-W003::P-H05-W004,P-H05-W004::P-H05-W005,405.6759577,-0.03222883063,7.770721454e-05,C/S
C001,2018-05-15,P-H05,P-H05-W004::P-H05-W005,P-H05-W005::P-H05-W006,545.4136493,0.02835892017,9.226339592e-05,C/S
