table,field,dtype,rows,non_null,unique_values,example
source_registry,source_id,object,6,6,6,SRC-01
source_registry,file_name,object,6,6,6,ВКР_Филатова_М_С.docx
source_registry,source_type,object,6,6,5,ВКР
source_registry,object,object,6,6,6,СКРУ-1
source_registry,used_for,object,6,6,6,"12 source layers, figures 12–27, exact table fragments"
source_registry,provenance_codes,object,6,6,3,"P,D,C"
source_registry,sha256,object,6,1,1,45978d5fc446fa35d0b3e271c44a5790bc5b4101321b20f8078ff83dc8ae2931
source_registry,limitations,object,6,6,6,Primary TAB/Excel unavailable; reconstructed layer membership remains candidate-level.
source_layer_manifest,layer_id,object,12,12,12,L01
source_layer_manifest,source_layer_name,object,12,12,12,zone_pol
source_layer_manifest,geometry_type,object,12,12,2,polygon
source_layer_manifest,source_semantics,object,12,12,12,base plan units
source_layer_manifest,source_evidence,object,12,12,4,Figure 12 / image14
source_layer_manifest,provenance,object,12,12,3,D
source_layer_manifest,reconstruction_limit,object,12,12,12,"geometry from clean red plan linework in Figure 13, not from settlement heatmap"
source_declared_integrated_layer_metadata,source_object,object,1,1,1,final_integrated_polygon_layer
source_declared_integrated_layer_metadata,source_figure,object,1,1,1,Figure 23 / image25
source_declared_integrated_layer_metadata,source_declared_rows,int64,1,1,1,1665
source_declared_integrated_layer_metadata,source_declared_fields,int64,1,1,1,257
source_declared_integrated_layer_metadata,reconstruction_status,object,1,1,1,metadata_only_not_row_reproduced
source_declared_integrated_layer_metadata,reason,object,1,1,1,The source does not expose the original 1665 geometries/records; v3 does not fabricate them.
source_declared_integrated_layer_metadata,provenance,object,1,1,1,P
published_anchors,anchor_id,object,45,45,45,COORD-01
published_anchors,anchor_type,object,45,45,5,coordinate
published_anchors,provenance,object,45,45,1,P
published_anchors,source_file,object,45,45,1,ВКР_Филатова_М_С.docx
published_anchors,class_id,float64,45,20,3,92280000.0
published_anchors,panel_or_block,object,45,45,14,60
published_anchors,name,float64,45,8,8,138.0
published_anchors,caption,object,45,8,8,КрII 0.36
published_anchors,x_local_m,float64,45,20,18,24700.24467
published_anchors,y_local_m,float64,45,20,18,41936.96624
published_anchors,source_location,object,45,45,5,Рисунок 14
published_anchors,source_quality,object,45,45,3,exact_transcription
published_anchors,block,float64,45,37,11,6.0
published_anchors,zone,object,45,3,2,2
published_anchors,lithology,object,45,15,3,АБ
published_anchors,depth_roof_m,float64,45,17,14,301.9
published_anchors,depth_alt_m,float64,45,1,1,312.3
published_anchors,bed_thickness_m,float64,45,3,3,3.19
published_anchors,chamber_width_m,float64,45,17,4,5.5
published_anchors,pillar_width_m,float64,45,17,4,6.4
published_anchors,load_coeff,float64,45,14,11,0.33
published_anchors,axial_distance_m,float64,45,14,2,27.0
published_anchors,mining_interval,object,45,14,13,1955–1957
published_anchors,fill_interval,object,45,14,12,1978–1980
published_anchors,fill_type,object,45,14,3,сухая
published_anchors,mining_method,object,45,14,2,БВР
published_anchors,disp_mean_mm,float64,45,8,6,195.35
published_anchors,disp_min_mm,float64,45,8,6,100.016
published_anchors,disp_max_mm,float64,45,8,6,408.821
published_anchors,natural_factor,object,45,12,2,Аномальная зона I группы (№1) на уровне кровли ВЗТ
published_combined_rows,published_row_id,object,14,14,14,PUBROW-01
published_combined_rows,row_index_in_figure,int64,14,14,14,1
published_combined_rows,provenance,object,14,14,1,P
published_combined_rows,anchor_id,object,14,14,14,NAT-01
published_combined_rows,class_id,float64,14,12,2,92280000.0
published_combined_rows,panel_or_block,object,14,14,9,18П блок
published_combined_rows,x_local_m,float64,14,12,10,23178.5
published_combined_rows,y_local_m,float64,14,12,10,41913.4
published_combined_rows,source_location,object,14,14,2,Рисунок 16
published_combined_rows,source_quality,object,14,14,3,visible_transcription
published_combined_rows,block,float64,14,14,10,208.0
published_combined_rows,lithology,object,14,12,2,КрII
published_combined_rows,natural_factor,object,14,12,2,Аномальная зона I группы (№1) на уровне кровли ВЗТ
published_combined_rows,tech_anchor_id,object,14,12,12,TECH-01
published_combined_rows,tech_panel_or_block,object,14,12,8,18П блок
published_combined_rows,tech_source_location,object,14,12,1,Рисунок 17
published_combined_rows,tech_source_quality,object,14,12,2,exact_transcription
published_combined_rows,tech_block,float64,14,12,9,208.0
published_combined_rows,depth_roof_m,float64,14,14,11,260.0
published_combined_rows,chamber_width_m,float64,14,14,3,15.0
published_combined_rows,pillar_width_m,float64,14,14,3,12.0
published_combined_rows,load_coeff,float64,14,14,11,0.33
published_combined_rows,axial_distance_m,float64,14,14,2,27.0
published_combined_rows,mining_interval,object,14,14,13,1955–1957
published_combined_rows,fill_interval,object,14,14,12,1978–1980
published_combined_rows,fill_type,object,14,14,3,сухая
published_combined_rows,mining_method,object,14,14,2,БВР
published_combined_rows,disp_anchor_id,object,14,8,8,DISP-01
published_combined_rows,disp_panel_or_block,object,14,8,6,18П блок
published_combined_rows,disp_source_location,object,14,8,1,Рисунок 18
published_combined_rows,disp_source_quality,object,14,8,1,exact_transcription
published_combined_rows,disp_block,float64,14,8,6,208.0
published_combined_rows,disp_mean_mm,float64,14,8,6,195.35
published_combined_rows,disp_min_mm,float64,14,8,6,100.016
published_combined_rows,disp_max_mm,float64,14,8,6,408.821
anchor_spatial_links,published_row_id,object,14,14,14,PUBROW-01
anchor_spatial_links,plan_unit_id,object,14,12,8,PU-0265
anchor_spatial_links,link_status,object,14,14,3,inside
anchor_spatial_links,distance_m,float64,14,12,2,0.0
anchor_spatial_links,link_uncertainty_m,int64,14,14,1,30
published_anchor_spatial_links_all,published_row_id,object,45,45,45,COORD-01
published_anchor_spatial_links_all,plan_unit_id,object,45,20,14,PU-0275
published_anchor_spatial_links_all,link_status,object,45,45,3,inside
published_anchor_spatial_links_all,distance_m,float64,45,20,2,0.0
published_anchor_spatial_links_all,link_uncertainty_m,int64,45,45,1,30
anchor_settlement_residuals,published_row_id,object,8,8,8,PUBROW-01
anchor_settlement_residuals,target_min_mm,float64,8,8,6,100.016
anchor_settlement_residuals,target_mean_mm,float64,8,8,6,195.35
anchor_settlement_residuals,target_max_mm,float64,8,8,6,408.821
anchor_settlement_residuals,before_min_mm,float64,8,8,8,39.26940639269378
anchor_settlement_residuals,before_mean_mm,float64,8,8,8,384.1413733751403
anchor_settlement_residuals,before_max_mm,float64,8,8,8,922.8310502283102
anchor_settlement_residuals,after_min_mm,float64,8,8,6,100.016
anchor_settlement_residuals,after_mean_mm,float64,8,8,8,195.35000000000002
anchor_settlement_residuals,after_max_mm,float64,8,8,6,408.821
anchor_settlement_residuals,residual_mean_mm,float64,8,8,4,2.842170943040401e-14
anchor_settlement_residuals,support_cell_count,int64,8,8,8,39
anchor_settlement_residuals,conditioning_method,object,8,8,1,rank-power transform with exact moments
anchor_settlement_residuals,provenance,object,8,8,1,C/H
anchor_support_cells,published_row_id,object,419,419,8,PUBROW-01
anchor_support_cells,cell_id,object,419,419,399,G050-003238
anchor_support_cells,distance_to_anchor_m,float64,419,419,400,240.7050977431644
anchor_support_cells,conditioned_settlement_mm,float64,419,419,415,339.2693431210226
coordinate_calibration_checks,anchor_id,object,20,20,20,COORD-01
coordinate_calibration_checks,x_local_m,float64,20,20,18,24700.24467
coordinate_calibration_checks,y_local_m,float64,20,20,18,41936.96624
coordinate_calibration_checks,inside_reconstructed_footprint,bool,20,20,2,True
coordinate_calibration_checks,outside_distance_m,float64,20,20,2,0.0
coordinate_calibration_checks,geometry_standard_uncertainty_m,float64,20,20,1,12.0
coordinate_calibration_checks,inside_or_within_geometry_uncertainty,bool,20,20,1,True
coordinate_calibration_checks,calibration_role,object,20,20,1,fit
coordinate_calibration_checks,provenance,object,20,20,1,P/C
grid_coverage_summary,footprint_area_m2,float64,1,1,1,27655719.316105243
grid_coverage_summary,grid_union_area_m2,float64,1,1,1,27655719.316105228
grid_coverage_summary,effective_area_sum_m2,float64,1,1,1,27655719.31610526
grid_coverage_summary,outside_footprint_area_m2,float64,1,1,1,0.0
grid_coverage_summary,uncovered_footprint_area_m2,float64,1,1,1,0.0
grid_coverage_summary,area_balance_error_m2,float64,1,1,1,1.862645149230957e-08
grid_coverage_summary,coverage_fraction,float64,1,1,1,0.9999999999999994
grid_coverage_summary,grid_cell_count,int64,1,1,1,16480
grid_coverage_summary,grid_step_m,float64,1,1,1,50.0
grid_coverage_summary,method,object,1,1,1,"geometry intersection and union, not centroid ownership"
grid_coverage_summary,provenance,object,1,1,1,C
field_coverage_summary,field,object,16,16,5,settlement_reference_map_mm
field_coverage_summary,provenance_code,object,16,16,4,D
field_coverage_summary,cell_count,int64,16,16,16,12080
field_coverage_summary,cell_fraction,float64,16,16,16,0.7330097087378641
field_coverage_summary,effective_area_m2,float64,16,16,16,20523445.216387585
field_coverage_summary,effective_area_fraction,float64,16,16,16,0.7421049144231006
field_coverage_summary,non_null_count,int64,16,16,12,12080
plan_units_reconstructed,plan_unit_id,object,538,538,538,PU-0001
plan_units_reconstructed,source_component_index,int64,538,538,538,1
plan_units_reconstructed,area_m2,float64,538,538,495,145349.66117839515
plan_units_reconstructed,representative_x_local_m,float64,538,538,461,27944.038252400365
plan_units_reconstructed,representative_y_local_m,float64,538,538,350,45702.67582279811
plan_units_reconstructed,geometry_source,object,538,538,1,Figure 13 clean red vector overlay (image15)
plan_units_reconstructed,geometry_method,object,538,538,1,red-line closed-region segmentation
plan_units_reconstructed,geometry_provenance,object,538,538,1,D
plan_units_reconstructed,geometry_standard_uncertainty_m,float64,538,538,1,12.0
plan_units_reconstructed,settlement_reference_map_mm_mean,float64,538,538,538,344.5244375145241
plan_units_reconstructed,settlement_reference_map_mm_min,float64,538,538,153,39.26940639269378
plan_units_reconstructed,settlement_reference_map_mm_max,float64,538,538,165,1060.2739726027394
plan_units_reconstructed,kzt_reconstructed_mean,float64,538,538,537,0.28332317032141047
plan_units_reconstructed,kzt_reconstructed_min,float64,538,538,161,0.27430167597765354
plan_units_reconstructed,kzt_reconstructed_max,float64,538,538,180,0.2877094972067039
plan_units_reconstructed,ko_reconstructed_mean,float64,538,538,533,0.6491036484053773
plan_units_reconstructed,ko_reconstructed_min,float64,538,538,123,0.6460893854748604
plan_units_reconstructed,ko_reconstructed_max,float64,538,538,72,0.65
plan_units_reconstructed,seismic_energy_mid_J_m2_reconstructed_mean,float64,538,538,307,7.5
plan_units_reconstructed,seismic_energy_mid_J_m2_reconstructed_min,float64,538,538,51,7.499999999999997
plan_units_reconstructed,seismic_energy_mid_J_m2_reconstructed_max,float64,538,538,107,7.500000000000002
plan_units_reconstructed,backfill_hatch_density_mean,float64,538,538,517,0.5746631959121521
plan_units_reconstructed,backfill_hatch_density_min,float64,538,538,109,0.12396693974733353
plan_units_reconstructed,backfill_hatch_density_max,float64,538,538,117,1.0
plan_units_reconstructed,terrain_TRI_relative_mean,float64,538,527,466,0.20694444444444443
plan_units_reconstructed,terrain_TRI_relative_min,float64,538,527,47,0.12777777777777777
plan_units_reconstructed,terrain_TRI_relative_max,float64,538,527,142,0.3055555555555556
plan_units_reconstructed,terrain_roughness_relative_mean,float64,538,527,524,0.06127450980392156
plan_units_reconstructed,terrain_roughness_relative_min,float64,538,527,145,0.03790849673202612
plan_units_reconstructed,terrain_roughness_relative_max,float64,538,527,297,0.09019607843137256
plan_units_reconstructed,distance_to_reconstructed_fault_m_mean,float64,538,538,538,225.46147975631285
plan_units_reconstructed,distance_to_reconstructed_fault_m_min,float64,538,538,529,17.106628406800976
plan_units_reconstructed,distance_to_reconstructed_fault_m_max,float64,538,538,534,425.42527739446115
plan_units_reconstructed,lithology_mode,object,538,537,5,sylvinite
plan_units_reconstructed,grid_sample_count,int64,538,538,89,73
plan_units_reconstructed,unit_aggregation_status,object,538,538,1,representative_samples_within_polygon
plan_units_reconstructed,fallback_distance_m,float64,538,538,1,0.0
field_grid_50m,cell_id,object,16480,16480,16480,G050-000001
field_grid_50m,grid_step_m,int64,16480,16480,1,50
field_grid_50m,full_cell_area_m2,int64,16480,16480,1,2500
field_grid_50m,effective_area_m2,float64,16480,16480,5618,115.55175852992663
field_grid_50m,effective_area_fraction,float64,16480,16480,5617,0.046220703411970654
field_grid_50m,x_local_m,float64,16480,16480,2719,20848.84949133303
field_grid_50m,y_local_m,float64,16480,16480,2537,41625.0
field_grid_50m,settlement_reference_map_mm_raw,float64,16480,12333,192,58.90410958904067
field_grid_50m,settlement_color_distance,float64,16480,16480,2554,2.6575364531836625
field_grid_50m,settlement_digitized_valid,bool,16480,16480,2,False
field_grid_50m,kzt_digitized,float64,16480,11016,151,0.26536312849162
field_grid_50m,kzt_color_distance,float64,16480,16480,4206,54.16641025580336
field_grid_50m,kzt_digitized_valid,bool,16480,16480,2,True
field_grid_50m,ko_digitized,float64,16480,12468,148,0.49357541899441343
field_grid_50m,ko_color_distance,float64,16480,16480,2770,22.931964590937252
field_grid_50m,ko_digitized_valid,bool,16480,16480,2,False
field_grid_50m,seismic_energy_mid_J_m2_digitized,float64,16480,9888,5,22.5
field_grid_50m,seismic_color_distance,float64,16480,16480,3274,89.23087351879583
field_grid_50m,seismic_digitized_valid,bool,16480,16480,2,False
field_grid_50m,lithology_digitized,object,16480,14530,5,replacement_rock_salt
field_grid_50m,lithology_color_distance,float64,16480,16480,2209,72.12875486085822
field_grid_50m,lithology_digitized_valid,bool,16480,16480,2,True
field_grid_50m,backfill_hatch_density,float64,16480,16480,122,0.7768595218658447
field_grid_50m,backfill_readability,float64,16480,16480,122,0.9669421315193176
field_grid_50m,terrain_TRI_relative,float64,16480,11688,180,0.2222222222222222
field_grid_50m,terrain_roughness_relative,float64,16480,11688,682,0.5163398692810457
field_grid_50m,terrain_digitized_valid,bool,16480,16480,2,False
field_grid_50m,distance_to_reconstructed_fault_m,float64,16480,16480,15852,633.7807572708856
field_grid_50m,settlement_reference_map_mm,float64,16480,16467,4557,82.8155944436351
field_grid_50m,settlement_provenance,object,16480,16480,4,missing
field_grid_50m,settlement_nearest_source_distance_m,float64,16480,16480,2036,0.0
field_grid_50m,settlement_standard_uncertainty_mm,float64,16480,16467,4404,74.22286235894846
field_grid_50m,kzt_reconstructed,float64,16480,16426,5282,0.26536312849162
field_grid_50m,kzt_provenance,object,16480,16480,3,D
field_grid_50m,kzt_nearest_source_distance_m,float64,16480,16480,2359,0.0
field_grid_50m,kzt_standard_uncertainty,float64,16480,16426,2359,0.032
field_grid_50m,ko_reconstructed,float64,16480,16348,3524,0.6121112591842752
field_grid_50m,ko_provenance,object,16480,16480,3,R
field_grid_50m,ko_nearest_source_distance_m,float64,16480,16480,1824,76.15050866697129
field_grid_50m,ko_standard_uncertainty,float64,16480,16348,1824,0.03333053560668799
field_grid_50m,seismic_energy_mid_J_m2_reconstructed,float64,16480,16369,2702,23.086913431498942
field_grid_50m,seismic_provenance,object,16480,16480,3,R
field_grid_50m,seismic_nearest_source_distance_m,float64,16480,16480,3139,50.040655880893034
field_grid_50m,seismic_standard_uncertainty_J_m2,float64,16480,16369,3139,2.700243935285358
field_grid_50m,lithology_reconstructed,object,16480,16454,5,replacement_rock_salt
field_grid_50m,lithology_provenance,object,16480,16480,3,D
field_grid_50m,lithology_nearest_source_distance_m,float64,16480,16480,1028,0.0
field_grid_50m,fault_proximity_0_1,float64,16480,16480,15848,0.1635229120449822
field_grid_50m,reference_year,int64,16480,16480,1,2022
field_grid_50m,reference_date,datetime64[ns],16480,0,0,
field_grid_50m,reference_period_status,object,16480,16480,1,year_supported_exact_date_unknown
field_grid_50m,source_filename_support,object,16480,16480,1,ОСЕДАНИЯ_2022_СКРУ1
field_grid_50m,settlement_anchor_id,object,16480,399,8,PUBROW-02
field_grid_50m,settlement_anchor_conditioned,bool,16480,16480,2,False
integrated_features_reconstructed,integrated_record_id,object,1395,1395,1395,IR-00001
integrated_features_reconstructed,plan_unit_id,object,1395,1395,538,PU-0006
integrated_features_reconstructed,source_layer_name,object,1395,1395,5,otrpol_ab
integrated_features_reconstructed,membership_confidence,float64,1395,1395,883,0.4887625738081794
integrated_features_reconstructed,membership_status,object,1395,1395,1,reconstructed_candidate
