field,provenance_code,cell_count,cell_fraction,effective_area_m2,effective_area_fraction,non_null_count
settlement_reference_map_mm,D,12080,0.733009708737864,20523445.2163876,0.742104914423101,12080
settlement_reference_map_mm,H(P/D/R),399,0.0242111650485437,637231.649640051,0.0230415865288653,399
settlement_reference_map_mm,R,3988,0.241990291262136,6476118.12869158,0.234169216669777,3988
settlement_reference_map_mm,missing,13,0.000788834951456311,18924.3213860421,0.000684282378257346,0
kzt_reconstructed,D,11016,0.668446601941748,18467314.193394,0.667757507310235,11016
kzt_reconstructed,R,5410,0.328276699029126,9104534.11571912,0.329209810515292,5410
kzt_reconstructed,missing,54,0.00327669902912621,83871.0069921757,0.00303268217447281,0
ko_reconstructed,D,12468,0.756553398058252,20591228.9670312,0.744555899330376,12468
ko_reconstructed,R,3880,0.235436893203884,6819579.66212605,0.246588403077792,3880
ko_reconstructed,missing,132,0.00800970873786408,244910.686947996,0.00885569759183132,0
seismic_energy_mid_J_m2_reconstructed,D,9888,0.6,16557770.2106408,0.598710524263906,9888
seismic_energy_mid_J_m2_reconstructed,R,6481,0.393264563106796,10970018.1297379,0.396663634178175,6481
seismic_energy_mid_J_m2_reconstructed,missing,111,0.00673543689320388,127930.975726571,0.00462584155791858,0
lithology_reconstructed,D,14530,0.881674757281553,24420711.3785954,0.883025717012325,14530
lithology_reconstructed,R,1924,0.116747572815534,3201146.71453262,0.11574989888867,1924
lithology_reconstructed,missing,26,0.00157766990291262,33861.2229771979,0.00122438409900548,0
