campaign_id,date,point_id,n_sessions,n_fixed,mean_pdop,max_pdop,adjusted_height_m,observed_settlement_mm,standard_uncertainty_mm,common_mode_correction_mm,common_mode_standard_uncertainty_mm,qc_status,qc_reason,provenance
C001,2018-05-15,P-D01-REF-A,2,1,2.309127382,3.005570425,160.4502543,-3.446758174,6.049154365,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-D01-W001,2,2,3.127848363,3.274162408,161.1456019,114.6626908,5.27316104,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-D01-W006,2,2,1.987570362,2.666889213,162.177576,182.4998001,3.736189939,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-D01-W003,2,2,1.968425067,2.005089316,161.2048747,415.0885425,3.991226171,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H01-REF-A,2,2,1.881526997,2.116000968,159.923101,3.759365414,3.680501184,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H01-W002,2,1,3.037084401,3.208692213,160.5547672,18.36041401,6.160287643,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H01-W007,2,2,2.10319414,2.292978524,162.3580889,100.5299991,4.1120909,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H01-W003,2,2,2.708103895,2.998880384,160.6510548,246.0762064,4.310608918,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H02-REF-A,2,2,2.442228608,3.190309423,162.7339835,-2.708594954,4.254301953,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H02-W004,2,2,3.070450037,3.132684338,164.1125455,63.98165171,4.722640195,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H02-W006,2,2,2.528617848,3.200903143,164.5562983,199.0498202,4.383331116,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H02-W001,2,2,1.605646688,1.67623411,163.3685427,115.7951325,3.473557287,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H03-REF-A,2,1,2.778000769,3.035733533,196.2919352,2.228376599,6.202387068,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H03-W003,2,2,2.130027819,2.552356107,196.6827718,161.7291121,3.833257822,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H03-W005,2,1,2.403494443,2.545769595,196.9352772,189.8482058,5.426886979,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H03-W007,2,2,1.889449117,1.896752194,196.8692199,474.719249,3.826506344,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H04-REF-A,2,2,3.231136225,3.322019586,174.0183448,-1.585316444,5.176027656,2.398103259,0.9464973634,warning,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H04-W005,2,2,2.572710419,3.357775611,178.8618998,43.20966898,4.428305419,2.398103259,0.9464973634,warning,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H04-W006,2,1,3.208391297,3.316109929,179.5656087,94.23828601,5.943984096,2.398103259,0.9464973634,warning,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H04-W002,2,2,2.442723615,2.978360733,176.3529454,377.171757,3.783979516,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H05-REF-A,2,2,2.097640031,2.439231183,196.1659106,0.02749132312,4.19514299,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H05-W005,2,2,1.876555753,2.467703726,197.4410672,1158.928281,3.565888923,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H05-W001,2,2,2.300923698,2.831607887,196.1269041,1197.855485,4.267973642,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H05-W003,2,2,2.250603444,2.278353162,196.7950161,1185.681301,4.073084026,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H06-REF-A,2,2,2.658082732,3.243852418,186.0157741,-1.229506322,4.59782457,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H06-W005,2,2,1.708447974,2.165946181,191.515726,147.4866193,3.219555116,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H06-W001,2,2,2.504125576,3.390235236,188.1436001,324.0168817,4.400070021,2.398103259,0.9464973634,warning,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H06-W003,2,1,2.122259207,2.718415283,189.9644322,327.6348613,4.274829846,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H07-REF-A,2,2,1.909614111,2.462403513,201.0961556,1.811627907,3.562496677,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H07-W007,2,2,2.267904707,2.417876749,202.8490088,13.63609093,4.183015346,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
C001,2018-05-15,P-H07-W001,2,2,2.307656013,2.901682359,201.9215898,77.96361871,3.836652267,2.398103259,0.9464973634,accepted,fixed_solution_pdop_and_calibrated_common_mode,C/S
