point_id,profile_id,stratum,selection_basis,network_role,provenance
P-D01-REF-A,P-D01,reference,one_datum_reference_per_profile,datum_control,C/S
P-D01-W001,P-D01,low,within_profile_settlement_stratification,deformation_control,C/S
P-D01-W006,P-D01,mid,within_profile_settlement_stratification,deformation_control,C/S
P-D01-W003,P-D01,high,within_profile_settlement_stratification,deformation_control,C/S
P-H01-REF-A,P-H01,reference,one_datum_reference_per_profile,datum_control,C/S
P-H01-W002,P-H01,low,within_profile_settlement_stratification,deformation_control,C/S
P-H01-W007,P-H01,mid,within_profile_settlement_stratification,deformation_control,C/S
P-H01-W003,P-H01,high,within_profile_settlement_stratification,deformation_control,C/S
P-H02-REF-A,P-H02,reference,one_datum_reference_per_profile,datum_control,C/S
P-H02-W004,P-H02,low,within_profile_settlement_stratification,deformation_control,C/S
P-H02-W006,P-H02,mid,within_profile_settlement_stratification,deformation_control,C/S
P-H02-W001,P-H02,high,within_profile_settlement_stratification,deformation_control,C/S
P-H03-REF-A,P-H03,reference,one_datum_reference_per_profile,datum_control,C/S
P-H03-W003,P-H03,low,within_profile_settlement_stratification,deformation_control,C/S
P-H03-W005,P-H03,mid,within_profile_settlement_stratification,deformation_control,C/S
P-H03-W007,P-H03,high,within_profile_settlement_stratification,deformation_control,C/S
P-H04-REF-A,P-H04,reference,one_datum_reference_per_profile,datum_control,C/S
P-H04-W005,P-H04,low,within_profile_settlement_stratification,deformation_control,C/S
P-H04-W006,P-H04,mid,within_profile_settlement_stratification,deformation_control,C/S
P-H04-W002,P-H04,high,within_profile_settlement_stratification,deformation_control,C/S
P-H05-REF-A,P-H05,reference,one_datum_reference_per_profile,datum_control,C/S
P-H05-W005,P-H05,low,within_profile_settlement_stratification,deformation_control,C/S
P-H05-W001,P-H05,mid,within_profile_settlement_stratification,deformation_control,C/S
P-H05-W003,P-H05,high,within_profile_settlement_stratification,deformation_control,C/S
P-H06-REF-A,P-H06,reference,one_datum_reference_per_profile,datum_control,C/S
P-H06-W005,P-H06,low,within_profile_settlement_stratification,deformation_control,C/S
P-H06-W001,P-H06,mid,within_profile_settlement_stratification,deformation_control,C/S
P-H06-W003,P-H06,high,within_profile_settlement_stratification,deformation_control,C/S
P-H07-REF-A,P-H07,reference,one_datum_reference_per_profile,datum_control,C/S
P-H07-W007,P-H07,low,within_profile_settlement_stratification,deformation_control,C/S
P-H07-W001,P-H07,mid,within_profile_settlement_stratification,deformation_control,C/S
P-H07-W002,P-H07,high,within_profile_settlement_stratification,deformation_control,C/S
P-V01-REF-A,P-V01,reference,one_datum_reference_per_profile,datum_control,C/S
P-V01-W002,P-V01,low,within_profile_settlement_stratification,deformation_control,C/S
P-V01-W004,P-V01,mid,within_profile_settlement_stratification,deformation_control,C/S
P-V01-W007,P-V01,high,within_profile_settlement_stratification,deformation_control,C/S
P-V02-REF-A,P-V02,reference,one_datum_reference_per_profile,datum_control,C/S
P-V02-W004,P-V02,low,within_profile_settlement_stratification,deformation_control,C/S
P-V02-W002,P-V02,mid,within_profile_settlement_stratification,deformation_control,C/S
P-V02-W001,P-V02,high,within_profile_settlement_stratification,deformation_control,C/S
P-V03-REF-A,P-V03,reference,one_datum_reference_per_profile,datum_control,C/S
P-V03-W006,P-V03,low,within_profile_settlement_stratification,deformation_control,C/S
P-V03-W001,P-V03,mid,within_profile_settlement_stratification,deformation_control,C/S
P-V03-W003,P-V03,high,within_profile_settlement_stratification,deformation_control,C/S
P-V04-REF-A,P-V04,reference,one_datum_reference_per_profile,datum_control,C/S
P-V04-W002,P-V04,low,within_profile_settlement_stratification,deformation_control,C/S
P-V04-W006,P-V04,mid,within_profile_settlement_stratification,deformation_control,C/S
P-V04-W005,P-V04,high,within_profile_settlement_stratification,deformation_control,C/S
P-V05-REF-A,P-V05,reference,one_datum_reference_per_profile,datum_control,C/S
P-V05-W004,P-V05,low,within_profile_settlement_stratification,deformation_control,C/S
P-V05-W005,P-V05,mid,within_profile_settlement_stratification,deformation_control,C/S
P-V05-W002,P-V05,high,within_profile_settlement_stratification,deformation_control,C/S
P-V06-REF-A,P-V06,reference,one_datum_reference_per_profile,datum_control,C/S
P-V06-W006,P-V06,low,within_profile_settlement_stratification,deformation_control,C/S
P-V06-W003,P-V06,mid,within_profile_settlement_stratification,deformation_control,C/S
P-V06-W002,P-V06,high,within_profile_settlement_stratification,deformation_control,C/S
