session_id,campaign_id,date,point_id,session_index,receiver_model,duration_min,baseline_length_km,pdop,n_satellites,solution_type,observed_height_m_raw,standard_uncertainty_height_mm,qc_status,provenance
GNSS-C001-P-D01-REF-A-1,C001,2018-05-15,P-D01-REF-A,1,dual_frequency_synthetic_class,47,6.664532266,3.005570425,12,fixed,160.4471077,5.805743275,warning,S
GNSS-C001-P-D01-REF-A-2,C001,2018-05-15,P-D01-REF-A,2,dual_frequency_synthetic_class,46,6.473561516,1.612684339,9,float,160.4638193,8.239193845,warning,S
GNSS-C001-P-D01-W001-1,C001,2018-05-15,P-D01-W001,1,dual_frequency_synthetic_class,66,7.743248542,3.274162408,15,fixed,161.1553018,6.295363386,warning,S
GNSS-C001-P-D01-W001-2,C001,2018-05-15,P-D01-W001,2,dual_frequency_synthetic_class,75,4.713691976,2.981534319,12,fixed,161.1425713,5.428152307,accepted,S
GNSS-C001-P-D01-W006-1,C001,2018-05-15,P-D01-W006,1,dual_frequency_synthetic_class,85,4.267270743,1.308251511,12,fixed,162.1803461,3.507185396,accepted,S
GNSS-C001-P-D01-W006-2,C001,2018-05-15,P-D01-W006,2,dual_frequency_synthetic_class,82,3.236902513,2.666889213,18,fixed,162.1792727,4.816220586,accepted,S
GNSS-C001-P-D01-W003-1,C001,2018-05-15,P-D01-W003,1,dual_frequency_synthetic_class,84,6.419821567,2.005089316,10,fixed,161.2108483,4.66116613,accepted,S
GNSS-C001-P-D01-W003-2,C001,2018-05-15,P-D01-W003,2,dual_frequency_synthetic_class,75,3.37318394,1.931760817,12,fixed,161.2045972,4.032110008,accepted,S
GNSS-C001-P-H01-REF-A-1,C001,2018-05-15,P-H01-REF-A,1,dual_frequency_synthetic_class,48,2.330319856,2.116000968,13,fixed,159.9199553,4.047058639,accepted,S
GNSS-C001-P-H01-REF-A-2,C001,2018-05-15,P-H01-REF-A,2,dual_frequency_synthetic_class,78,4.082361545,1.647053027,10,fixed,159.9305073,3.846583408,accepted,S
GNSS-C001-P-H01-W002-1,C001,2018-05-15,P-H01-W002,1,dual_frequency_synthetic_class,112,2.866707055,3.208692213,18,float,160.5588982,9.345568704,warning,S
GNSS-C001-P-H01-W002-2,C001,2018-05-15,P-H01-W002,2,dual_frequency_synthetic_class,65,6.667964413,2.86547659,16,fixed,160.5565314,5.652257843,accepted,S
GNSS-C001-P-H01-W007-1,C001,2018-05-15,P-H01-W007,1,dual_frequency_synthetic_class,70,7.329002454,1.913409756,14,fixed,162.3550293,4.723971174,accepted,S
GNSS-C001-P-H01-W007-2,C001,2018-05-15,P-H01-W007,2,dual_frequency_synthetic_class,104,2.255586028,2.292978524,16,fixed,162.3648595,4.228281862,accepted,S
GNSS-C001-P-H01-W003-1,C001,2018-05-15,P-H01-W003,1,dual_frequency_synthetic_class,106,5.171083722,2.998880384,14,fixed,160.6534969,5.529563493,accepted,S
GNSS-C001-P-H01-W003-2,C001,2018-05-15,P-H01-W003,2,dual_frequency_synthetic_class,52,1.026790646,2.417327405,15,fixed,160.6534283,4.143882462,accepted,S
GNSS-C001-P-H02-REF-A-1,C001,2018-05-15,P-H02-REF-A,1,dual_frequency_synthetic_class,90,4.582326007,1.694147794,11,fixed,162.7378763,3.988381255,accepted,S
GNSS-C001-P-H02-REF-A-2,C001,2018-05-15,P-H02-REF-A,2,dual_frequency_synthetic_class,115,4.987600372,3.190309423,9,fixed,162.7333211,5.707108432,warning,S
GNSS-C001-P-H02-W004-1,C001,2018-05-15,P-H02-W004,1,dual_frequency_synthetic_class,112,2.095767544,3.008215736,17,fixed,164.1125099,4.986275467,warning,S
GNSS-C001-P-H02-W004-2,C001,2018-05-15,P-H02-W004,2,dual_frequency_synthetic_class,119,3.531763208,3.132684338,10,fixed,164.1177787,5.38167015,warning,S
GNSS-C001-P-H02-W006-1,C001,2018-05-15,P-H02-W006,1,dual_frequency_synthetic_class,85,4.223385168,1.856332552,15,fixed,164.5572985,4.102175138,accepted,S
GNSS-C001-P-H02-W006-2,C001,2018-05-15,P-H02-W006,2,dual_frequency_synthetic_class,59,6.24835212,3.200903143,12,fixed,164.561633,5.945696839,warning,S
GNSS-C001-P-H02-W001-1,C001,2018-05-15,P-H02-W001,1,dual_frequency_synthetic_class,50,3.881985956,1.535059267,11,fixed,163.3724582,3.687322665,accepted,S
GNSS-C001-P-H02-W001-2,C001,2018-05-15,P-H02-W001,2,dual_frequency_synthetic_class,104,3.103655236,1.67623411,11,fixed,163.3694109,3.702515463,accepted,S
GNSS-C001-P-H03-REF-A-1,C001,2018-05-15,P-H03-REF-A,1,dual_frequency_synthetic_class,117,5.784447327,3.035733533,10,fixed,196.29263,5.680507405,warning,S
GNSS-C001-P-H03-REF-A-2,C001,2018-05-15,P-H03-REF-A,2,dual_frequency_synthetic_class,84,7.743248413,2.520268005,18,float,196.2990631,9.46607952,warning,S
GNSS-C001-P-H03-W003-1,C001,2018-05-15,P-H03-W003,1,dual_frequency_synthetic_class,54,1.451837291,1.707699531,13,fixed,196.6842081,3.439800197,accepted,S
GNSS-C001-P-H03-W003-2,C001,2018-05-15,P-H03-W003,2,dual_frequency_synthetic_class,97,7.753809814,2.552356107,18,fixed,196.6876317,5.503277484,accepted,S
GNSS-C001-P-H03-W005-1,C001,2018-05-15,P-H03-W005,1,dual_frequency_synthetic_class,80,4.008249174,2.545769595,13,fixed,196.9384352,4.821831405,accepted,S
GNSS-C001-P-H03-W005-2,C001,2018-05-15,P-H03-W005,2,dual_frequency_synthetic_class,87,6.052398258,2.261219292,12,float,196.9350997,8.876772908,warning,S
GNSS-C001-P-H03-W007-1,C001,2018-05-15,P-H03-W007,1,dual_frequency_synthetic_class,49,3.050388182,1.882146041,12,fixed,196.8691359,3.919430518,accepted,S
GNSS-C001-P-H03-W007-2,C001,2018-05-15,P-H03-W007,2,dual_frequency_synthetic_class,107,5.341908246,1.896752194,14,fixed,196.8746725,4.347970897,accepted,S
GNSS-C001-P-H04-REF-A-1,C001,2018-05-15,P-H04-REF-A,1,dual_frequency_synthetic_class,47,4.977199784,3.140252863,10,fixed,174.0180287,5.650174111,warning,S
GNSS-C001-P-H04-REF-A-2,C001,2018-05-15,P-H04-REF-A,2,dual_frequency_synthetic_class,71,4.438594761,3.322019586,16,fixed,174.0235569,5.753168602,warning,S
GNSS-C001-P-H04-W005-1,C001,2018-05-15,P-H04-W005,1,dual_frequency_synthetic_class,67,4.803678766,1.787645227,9,fixed,178.8659798,4.131071928,accepted,S
GNSS-C001-P-H04-W005-2,C001,2018-05-15,P-H04-W005,2,dual_frequency_synthetic_class,47,5.939147984,3.357775611,13,fixed,178.8606755,6.062599809,warning,S
GNSS-C001-P-H04-W006-1,C001,2018-05-15,P-H04-W006,1,dual_frequency_synthetic_class,115,2.812123479,3.316109929,16,float,179.561253,9.453903149,warning,S
GNSS-C001-P-H04-W006-2,C001,2018-05-15,P-H04-W006,2,dual_frequency_synthetic_class,94,3.584292384,3.100672664,11,fixed,179.5701745,5.35591256,warning,S
GNSS-C001-P-H04-W002-1,C001,2018-05-15,P-H04-W002,1,dual_frequency_synthetic_class,112,1.23159468,1.907086498,12,fixed,176.3547182,3.61948219,accepted,S
GNSS-C001-P-H04-W002-2,C001,2018-05-15,P-H04-W002,2,dual_frequency_synthetic_class,70,0.8781686685,2.978360733,13,fixed,176.3564133,4.734267167,accepted,S
GNSS-C001-P-H05-REF-A-1,C001,2018-05-15,P-H05-REF-A,1,dual_frequency_synthetic_class,70,4.53732723,1.756048879,9,fixed,196.1664261,4.048372668,accepted,S
GNSS-C001-P-H05-REF-A-2,C001,2018-05-15,P-H05-REF-A,2,dual_frequency_synthetic_class,93,7.382738658,2.439231183,16,fixed,196.1715501,5.312047259,accepted,S
