campaign_id,date,profile_id,point_id,delta_x_mm,delta_y_mm,horizontal_displacement_mm,standard_uncertainty_xy_mm,qc_status,provenance
C001,2018-05-15,P-D01,P-D01-REF-A,2.588568295,-0.5727427706,2.651173344,0.9,accepted,C/S
C001,2018-05-15,P-D01,P-D01-W001,5.905603022,2.7945334,6.533419012,1.4,accepted,C/S
C001,2018-05-15,P-D01,P-D01-W002,3.425839397,2.558977685,4.276066226,1.4,accepted,C/S
C001,2018-05-15,P-D01,P-D01-W003,8.305847557,4.571413469,9.480766042,1.4,accepted,C/S
C001,2018-05-15,P-D01,P-D01-W004,-2.508568341,-8.602923721,8.961205927,1.4,accepted,C/S
C001,2018-05-15,P-D01,P-D01-W005,-6.204862286,-3.841074526,7.297545443,1.4,accepted,C/S
C001,2018-05-15,P-D01,P-D01-W006,-2.856282154,-2.97328335,4.122955447,1.4,accepted,C/S
C001,2018-05-15,P-D01,P-D01-W007,-1.156104718,-3.361034833,3.554311926,1.4,accepted,C/S
C001,2018-05-15,P-D01,P-D01-REF-B,0.2260970541,-2.087125096,2.099335858,0.9,accepted,C/S
C001,2018-05-15,P-H01,P-H01-REF-A,0.4649831899,-1.078303147,1.174285759,0.9,accepted,C/S
C001,2018-05-15,P-H01,P-H01-W001,2.328815346,-0.1361196992,2.332790065,1.4,accepted,C/S
C001,2018-05-15,P-H01,P-H01-W002,-1.871757544,-0.08637645078,1.873749502,1.4,accepted,C/S
C001,2018-05-15,P-H01,P-H01-W003,3.495529556,3.04860426,4.638180118,1.4,accepted,C/S
C001,2018-05-15,P-H01,P-H01-W004,-1.842096641,-0.2304163863,1.856451385,1.4,accepted,C/S
C001,2018-05-15,P-H01,P-H01-W005,-6.844169162,-8.867860954,11.20185741,1.4,accepted,C/S
C001,2018-05-15,P-H01,P-H01-W006,-2.273078568,-5.70502902,6.141192253,1.4,accepted,C/S
C001,2018-05-15,P-H01,P-H01-W007,-2.073696545,-0.4767929568,2.12780377,1.4,accepted,C/S
C001,2018-05-15,P-H01,P-H01-REF-B,-0.06781871707,-3.008583633,3.009347912,0.9,accepted,C/S
C001,2018-05-15,P-H02,P-H02-REF-A,0.106187872,-1.140648841,1.145580919,0.9,accepted,C/S
C001,2018-05-15,P-H02,P-H02-W001,-0.2428559019,0.252978054,0.3506806024,1.4,accepted,C/S
C001,2018-05-15,P-H02,P-H02-W002,6.948367049,3.129135424,7.620452293,1.4,accepted,C/S
C001,2018-05-15,P-H02,P-H02-W003,2.964141266,0.366112974,2.986665725,1.4,accepted,C/S
C001,2018-05-15,P-H02,P-H02-W004,-0.4943412168,-3.453472928,3.488674318,1.4,accepted,C/S
C001,2018-05-15,P-H02,P-H02-W005,-1.865854047,-1.686381038,2.515013385,1.4,accepted,C/S
C001,2018-05-15,P-H02,P-H02-W006,-3.894561731,-4.191299908,5.721416432,1.4,accepted,C/S
C001,2018-05-15,P-H02,P-H02-W007,-1.895223148,-2.217446367,2.917008599,1.4,accepted,C/S
C001,2018-05-15,P-H02,P-H02-REF-B,0.2297932842,-1.567900814,1.584650723,0.9,accepted,C/S
C001,2018-05-15,P-H03,P-H03-REF-A,-0.3457927196,-1.674478612,1.709810289,0.9,accepted,C/S
C001,2018-05-15,P-H03,P-H03-W001,2.049464394,-2.106127708,2.938720508,1.4,accepted,C/S
C001,2018-05-15,P-H03,P-H03-W002,3.790014362,1.294915332,4.005123541,1.4,accepted,C/S
C001,2018-05-15,P-H03,P-H03-W003,4.320038217,3.434156039,5.518709803,1.4,accepted,C/S
C001,2018-05-15,P-H03,P-H03-W004,11.71391504,6.443121216,13.36897963,1.4,accepted,C/S
C001,2018-05-15,P-H03,P-H03-W005,-4.366342459,-2.534417159,5.048585624,1.4,accepted,C/S
C001,2018-05-15,P-H03,P-H03-W006,-3.219072143,-3.619945928,4.84421655,1.4,accepted,C/S
C001,2018-05-15,P-H03,P-H03-W007,-8.147144435,-10.46879822,13.26543247,1.4,accepted,C/S
C001,2018-05-15,P-H03,P-H03-REF-B,-0.9811524978,-1.077843175,1.457534265,0.9,accepted,C/S
C001,2018-05-15,P-H04,P-H04-REF-A,1.169162704,-0.6989684116,1.362166755,0.9,accepted,C/S
C001,2018-05-15,P-H04,P-H04-W001,1.158466137,-2.167741295,2.457874308,1.4,accepted,C/S
C001,2018-05-15,P-H04,P-H04-W002,8.328368764,7.593918897,11.27072892,1.4,accepted,C/S
C001,2018-05-15,P-H04,P-H04-W003,14.83164568,10.74437435,18.31445587,1.4,accepted,C/S
C001,2018-05-15,P-H04,P-H04-W004,-3.623090859,-0.4505939651,3.651002916,1.4,accepted,C/S
C001,2018-05-15,P-H04,P-H04-W005,-0.6222372613,-1.253367256,1.399324368,1.4,accepted,C/S
C001,2018-05-15,P-H04,P-H04-W006,-0.6459428696,-6.026617819,6.061135581,1.4,accepted,C/S
C001,2018-05-15,P-H04,P-H04-W007,0.07530844232,-3.814589509,3.815332814,1.4,accepted,C/S
C001,2018-05-15,P-H04,P-H04-REF-B,0.1673258375,-1.523340485,1.532502583,0.9,accepted,C/S
C001,2018-05-15,P-H05,P-H05-REF-A,1.086239048,-0.5167612762,1.202895459,0.9,accepted,C/S
C001,2018-05-15,P-H05,P-H05-W001,24.40363083,25.20695524,35.08458052,1.4,accepted,C/S
C001,2018-05-15,P-H05,P-H05-W002,23.02801852,19.11391729,29.92710262,1.4,accepted,C/S
C001,2018-05-15,P-H05,P-H05-W003,27.03567896,21.8815382,34.78116805,1.4,accepted,C/S
C001,2018-05-15,P-H05,P-H05-W004,-29.33398054,-27.87828428,40.46827336,1.4,accepted,C/S
C001,2018-05-15,P-H05,P-H05-W005,-22.78858483,-25.86752307,34.47387922,1.4,accepted,C/S
C001,2018-05-15,P-H05,P-H05-W006,-24.1332308,-27.92497283,36.90822315,1.4,accepted,C/S
C001,2018-05-15,P-H05,P-H05-W007,-15.21844668,-13.12058059,20.09355007,1.4,accepted,C/S
C001,2018-05-15,P-H05,P-H05-REF-B,-0.1580507706,-0.1779539089,0.2380076464,0.9,accepted,C/S
