campaign_id,date,profile_id,left_point_id,right_point_id,base_length_m,observed_length_m,horizontal_strain,horizontal_strain_microstrain,provenance
C001,2018-05-15,P-D01,P-D01-REF-A,P-D01-W001,350,350.0046237,1.321053967e-05,13.21053967,C/S
C001,2018-05-15,P-D01,P-D01-W001,P-D01-W002,76.75345009,76.75125122,-2.864858053e-05,-28.64858053,C/S
C001,2018-05-15,P-D01,P-D01-W002,P-D01-W003,63.03923029,63.0444113,8.218708127e-05,82.18708127,C/S
C001,2018-05-15,P-D01,P-D01-W003,P-D01-W004,99.23780835,99.22152353,-0.000164099011,-164.099011,C/S
C001,2018-05-15,P-D01,P-D01-W004,P-D01-W005,71.5918648,71.59140569,-6.412793972e-06,-6.412793972,C/S
C001,2018-05-15,P-D01,P-D01-W005,P-D01-W006,91.91134609,91.91461839,3.560277011e-05,35.60277011,C/S
C001,2018-05-15,P-D01,P-D01-W006,P-D01-W007,80.76096539,80.76217025,1.491888343e-05,14.91888343,C/S
C001,2018-05-15,P-D01,P-D01-W007,P-D01-REF-B,350,350.0018555,5.301289361e-06,5.301289361,C/S
C001,2018-05-15,P-H01,P-H01-REF-A,P-H01-W001,350,350.0018638,5.325238355e-06,5.325238355,C/S
C001,2018-05-15,P-H01,P-H01-W001,P-H01-W002,147.8582304,147.8540299,-2.840946269e-05,-28.40946269,C/S
C001,2018-05-15,P-H01,P-H01-W002,P-H01-W003,185.0525074,185.0578747,2.900427414e-05,29.00427414,C/S
C001,2018-05-15,P-H01,P-H01-W003,P-H01-W004,125.0375342,125.0321967,-4.268784755e-05,-42.68784755,C/S
C001,2018-05-15,P-H01,P-H01-W004,P-H01-W005,165.8364117,165.8314099,-3.016133505e-05,-30.16133505,C/S
C001,2018-05-15,P-H01,P-H01-W005,P-H01-W006,159.5786591,159.5832303,2.864494514e-05,28.64494514,C/S
C001,2018-05-15,P-H01,P-H01-W006,P-H01-W007,171.323898,171.3240975,1.164238024e-06,1.164238024,C/S
C001,2018-05-15,P-H01,P-H01-W007,P-H01-REF-B,350,350.0020059,5.731105672e-06,5.731105672,C/S
