acquisition_id,date,mission,orbit_direction,incidence_angle_deg,calendar_provenance,source_object,use
TSX-2020-01,2020-04-28,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2020-02,2020-05-09,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2020-03,2020-05-20,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2020-04,2020-05-31,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2020-05,2020-06-11,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2020-06,2020-06-22,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2020-07,2020-07-03,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2020-08,2020-07-14,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2020-09,2020-07-25,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2020-10,2020-08-05,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2020-11,2020-08-16,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2020-12,2020-08-27,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2020-13,2020-09-07,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2020-14,2020-09-18,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2020-15,2020-09-29,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2020-16,2020-10-10,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2020-17,2020-10-21,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2020-18,2020-11-01,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2021-01,2021-04-26,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2021-02,2021-05-07,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2021-03,2021-05-18,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2021-04,2021-05-29,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2021-05,2021-06-09,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2021-06,2021-06-20,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2021-07,2021-07-01,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2021-08,2021-07-12,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2021-09,2021-07-23,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2021-10,2021-08-03,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2021-11,2021-08-14,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2021-12,2021-08-25,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2021-13,2021-09-05,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2021-14,2021-09-16,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2021-15,2021-09-27,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
TSX-2021-16,2021-10-08,TerraSAR-X analogue calendar,descending,36,P transferred analogue,Berezniki,auxiliary synthetic InSAR contour
