acquisition_id,reference_acquisition_id,date,insar_point_id,coherence,qc_status,raw_LOS_relative_mm,estimated_atmospheric_correction_relative_mm,estimated_orbit_correction_relative_mm,estimated_dem_correction_relative_mm,estimated_thermal_correction_relative_mm,corrected_LOS_relative_mm,subvertical_estimate_relative_mm,standard_uncertainty_mm,first_epoch_zero_datum,provenance
TSX-2020-01,TSX-2020-01,2020-04-28,PS-00001,0.7007687139,reference_epoch,0,0,0,0,0,0,-0,0,True,C/S
TSX-2020-02,TSX-2020-01,2020-05-09,PS-00001,0.5941048934,accepted,2.452007699,-1.273986376,-1.526338802,-1.403383915,-0.6398857995,7.295602592,-9.01786074,7.247160853,False,C/S
TSX-2020-03,TSX-2020-01,2020-05-20,PS-00001,0.6344724959,accepted,4.214826321,3.71114188,-0.2182742379,1.970425517,1.104039794,-2.352506632,2.907858115,6.924220033,False,C/S
TSX-2020-04,TSX-2020-01,2020-05-31,PS-00001,0.6821180466,accepted,-3.734778238,0.06382771569,1.146603646,-0.2574320024,1.822379317,-6.510156914,8.04699649,6.543055627,False,C/S
TSX-2020-05,TSX-2020-01,2020-06-11,PS-00001,0.5999901476,accepted,-12.37528214,-3.442452445,-3.522331623,-2.42274823,-1.847229683,-1.140520162,1.40976045,7.200078819,False,C/S
TSX-2020-06,TSX-2020-01,2020-06-22,PS-00001,0.7011550956,accepted,2.89720409,2.906420975,0.892977082,-0.0374074032,-2.316990641,1.452204077,-1.795022956,6.390759235,False,C/S
TSX-2020-07,TSX-2020-01,2020-07-03,PS-00001,0.7243613655,accepted,-9.920233567,-3.669903271,0.8510354313,7.093015489,-1.839233805,-12.35514741,15.27180207,6.205109076,False,C/S
TSX-2020-08,TSX-2020-01,2020-07-14,PS-00001,0.6451365554,accepted,-3.922872172,-6.72375658,-2.641871732,3.896014208,-2.591374645,4.138116577,-5.114993388,6.838907557,False,C/S
TSX-2020-09,TSX-2020-01,2020-07-25,PS-00001,0.6826472643,accepted,-1.052319433,4.078675983,2.114975429,-1.836280714,-0.6698077825,-4.73988235,5.858816789,6.538821886,False,C/S
TSX-2020-10,TSX-2020-01,2020-08-05,PS-00001,0.7073521136,accepted,-2.282223246,5.84616595,3.645314827,0.3264218557,-1.720356255,-10.37976962,12.83010085,6.341183091,False,C/S
TSX-2020-11,TSX-2020-01,2020-08-16,PS-00001,0.8098208931,accepted,3.508181303,9.534679309,-1.435941457,2.39487823,-2.949287206,-4.036147574,4.988952768,5.521432855,False,C/S
TSX-2020-12,TSX-2020-01,2020-08-27,PS-00001,0.7526499737,accepted,8.096662835,10.45784312,2.245336488,0.3187145304,-3.838571086,-1.086660218,1.343185898,5.978800211,False,C/S
TSX-2020-13,TSX-2020-01,2020-09-07,PS-00001,0.6745580778,accepted,-3.293957364,1.483578562,3.203036603,1.782804907,-1.348460102,-8.414917333,10.40140985,6.603535377,False,C/S
TSX-2020-14,TSX-2020-01,2020-09-18,PS-00001,0.7231878744,accepted,-5.826626716,1.948447132,0.7346595847,-1.941283608,-2.14410187,-4.424347954,5.468794828,6.214497005,False,C/S
TSX-2020-15,TSX-2020-01,2020-09-29,PS-00001,0.7152906105,accepted,2.047699985,6.762715159,-1.167835899,4.83475721,-1.241986487,-7.139949998,8.825463554,6.277675116,False,C/S
TSX-2020-16,TSX-2020-01,2020-10-10,PS-00001,0.628947261,accepted,-4.846163843,-0.06316481829,1.541231244,0.06901651862,-3.198495943,-3.194750845,3.948929215,6.968421912,False,C/S
TSX-2020-17,TSX-2020-01,2020-10-21,PS-00001,0.6517150571,accepted,13.07577938,3.135365972,0.3618333584,2.189904287,-5.265135716,12.65381148,-15.64097116,6.786279543,False,C/S
TSX-2020-18,TSX-2020-01,2020-11-01,PS-00001,0.7016818515,accepted,-9.246753662,-7.89099517,-0.9839846802,-1.125110205,-1.938258167,2.691594561,-3.326993845,6.386545188,False,C/S
TSX-2021-01,TSX-2020-01,2021-04-26,PS-00001,0.7654565338,accepted,-3.320481329,0.5037895569,-1.353631139,1.165613532,3.799651771,-7.43590505,9.191284116,5.87634773,False,C/S
TSX-2021-02,TSX-2020-01,2021-05-07,PS-00001,0.5909351036,accepted,-18.43912099,-4.221040288,-1.899436444,-0.09772883727,1.768873909,-13.98978933,17.2923306,7.272519171,False,C/S
TSX-2021-03,TSX-2020-01,2021-05-18,PS-00001,0.6869706269,accepted,-1.810721962,1.393237818,0.03794259985,2.211695415,0.785761368,-6.239359163,7.712272062,6.504234985,False,C/S
TSX-2021-04,TSX-2020-01,2021-05-29,PS-00001,0.4930875415,accepted,0.3451738224,9.990708836,0.953896329,-0.1138435125,1.381227093,-11.86681492,14.66818992,8.055299668,False,C/S
TSX-2021-05,TSX-2020-01,2021-06-09,PS-00001,0.5990302816,accepted,-5.710252275,-0.3609855827,0.7852005277,-0.2181854804,0.6332415045,-6.549523244,8.09565595,7.207757747,False,C/S
TSX-2021-06,TSX-2020-01,2021-06-20,PS-00001,0.5733736444,accepted,-4.248268878,6.178119138,-0.5871461702,3.666335811,-0.03027254488,-13.47530511,16.65639314,7.413010845,False,C/S
TSX-2021-07,TSX-2020-01,2021-07-01,PS-00001,0.6532960973,accepted,-6.979813015,8.912823753,0.5829158445,0.398931327,-0.8062777569,-16.06820618,19.86139512,6.773631222,False,C/S
TSX-2021-08,TSX-2020-01,2021-07-12,PS-00001,0.8315508086,accepted,-14.32934623,-0.7406833852,3.18352201,-3.100844159,-2.214919159,-11.45642153,14.16091579,5.347593532,False,C/S
TSX-2021-09,TSX-2020-01,2021-07-23,PS-00001,0.7141621694,accepted,-14.72147102,3.710833428,2.404368935,2.459424935,-1.981157091,-21.31494123,26.3467163,6.286702645,False,C/S
TSX-2021-10,TSX-2020-01,2021-08-03,PS-00001,0.7048391918,accepted,-19.32931281,-0.2873030243,1.633716501,-0.3580853653,-1.876977415,-18.4406635,22.79391364,6.361286465,False,C/S
TSX-2021-11,TSX-2020-01,2021-08-14,PS-00001,0.7506276734,accepted,-19.13828219,-11.3018601,0.1071133325,-2.111821338,-2.701851706,-3.129862379,3.868722661,5.994978612,False,C/S
TSX-2021-12,TSX-2020-01,2021-08-25,PS-00001,0.6704976224,accepted,-17.87685763,-3.894975553,-1.56697309,0.1906905609,-2.614361965,-9.991237582,12.34984883,6.63601902,False,C/S
TSX-2021-13,TSX-2020-01,2021-09-05,PS-00001,0.6698176866,accepted,-6.036181504,2.757874132,0.6786462226,1.487187949,-2.097023224,-8.862866583,10.95510557,6.641458508,False,C/S
TSX-2021-14,TSX-2020-01,2021-09-16,PS-00001,0.6262342705,accepted,-8.427096999,0.3791352758,1.004595441,1.242963031,-2.92142557,-8.132365177,10.05215618,6.990125836,False,C/S
TSX-2021-15,TSX-2020-01,2021-09-27,PS-00001,0.5093372837,accepted,-13.52123802,6.329940396,1.957740653,-3.254343522,-2.548093525,-16.00648202,19.78509986,7.92530173,False,C/S
TSX-2021-16,TSX-2020-01,2021-10-08,PS-00001,0.644292228,accepted,-8.189173071,4.825671401,-3.694224353,4.170206097,-2.752066038,-10.73876018,13.27383757,6.845662176,False,C/S
TSX-2020-01,TSX-2020-01,2020-04-28,PS-00002,0.6357664941,reference_epoch,0,0,0,0,0,0,-0,0,True,C/S
TSX-2020-02,TSX-2020-01,2020-05-09,PS-00002,0.5954570029,accepted,1.437849161,2.984944552,-2.338187031,5.254726749,2.801334138,-7.264969248,8.979995845,7.236343977,False,C/S
TSX-2020-03,TSX-2020-01,2020-05-20,PS-00002,0.4967425402,accepted,5.026073296,4.097537821,-0.69603561,-1.257807463,-0.1887238507,3.071102399,-3.79609133,8.026059678,False,C/S
TSX-2020-04,TSX-2020-01,2020-05-31,PS-00002,0.6224771405,accepted,11.11232271,3.642270746,-0.9337729429,1.768926693,1.484731101,5.150167113,-6.365956647,7.020182876,False,C/S
TSX-2020-05,TSX-2020-01,2020-06-11,PS-00002,0.6728064387,accepted,-20.27770295,-7.173358163,-2.743791978,-3.970958439,1.321053053,-7.710647424,9.530884366,6.61754849,False,C/S
TSX-2020-06,TSX-2020-01,2020-06-22,PS-00002,0.4555905485,accepted,5.908821861,2.169775447,1.622050042,0.07463421402,-0.1288466947,2.171208853,-2.683761736,8.355275612,False,C/S
TSX-2020-07,TSX-2020-01,2020-07-03,PS-00002,0.6013299635,accepted,-1.079592534,-5.650179547,-1.749437065,0.4537334202,-1.943344084,7.809634742,-9.653239421,7.189360292,False,C/S
TSX-2020-08,TSX-2020-01,2020-07-14,PS-00002,0.6438898064,accepted,-7.825602162,-2.816630722,-2.035410495,-0.7701825628,-0.04726762146,-2.156110761,2.665099467,6.848881549,False,C/S
TSX-2020-09,TSX-2020-01,2020-07-25,PS-00002,0.6313523534,accepted,-3.136979423,-1.14205877,-0.860352074,-2.122476915,-3.169722925,4.157631261,-5.139114864,6.949181173,False,C/S
TSX-2020-10,TSX-2020-01,2020-08-05,PS-00002,0.6456292337,accepted,2.314432941,0.7565159286,2.920673213,-2.998826642,-2.618095633,4.254166075,-5.258438457,6.834966131,False,C/S
TSX-2020-11,TSX-2020-01,2020-08-16,PS-00002,0.6334797478,accepted,6.478175023,13.4787795,-1.488003496,1.020609693,-1.83717052,-4.696040155,5.804624856,6.932162018,False,C/S
TSX-2020-12,TSX-2020-01,2020-08-27,PS-00002,0.6089180194,accepted,-1.645987152,5.286525669,5.198925824,0.07326542994,-3.316504688,-8.888199386,10.98641864,7.128655845,False,C/S
TSX-2020-13,TSX-2020-01,2020-09-07,PS-00002,0.743819461,accepted,-6.823583642,-2.811053061,5.978229116,1.24371402,-2.29979994,-8.934673778,11.04386415,6.049444312,False,C/S
