insar_point_id,source_cell_id,x_local_m,y_local_m,coherence_baseline,reflector_class,trajectory_source,provenance
PS-00001,G050-004267,23825,39575,0.7007687139,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00002,G050-006570,25007.27515,42661.35059,0.6357664941,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00003,G050-011904,27257.88428,45525,0.3732238181,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00004,G050-000103,20995.14143,43179.63322,0.6695235537,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00005,G050-008855,26041.76206,42929.3058,0.6720942353,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00006,G050-016379,29506.89104,44025,0.5559499592,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00007,G050-000761,21425,41489.2023,0.6047346316,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00008,G050-002010,22312.8865,40675,0.4385714359,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00009,G050-000558,21325,42175,0.3868436872,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00010,G050-015607,29125,40925,0.4062989973,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00011,G050-003563,23387.5,41923.29922,0.5118604212,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00012,G050-010129,26575,42375,0.542925891,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00013,G050-000117,21039.84855,41380.02542,0.4240001115,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00014,G050-004723,24075,43419.27519,0.7939631817,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00015,G050-014688,28573.96236,42275,0.7114190382,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00016,G050-011775,27225,45525,0.73291395,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00017,G050-000341,21175,43825,0.36837498,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00018,G050-007098,25275,42875,0.4351026375,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00019,G050-008492,25891.82828,42817.4448,0.5082864337,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00020,G050-016079,29375,42575,0.3913259117,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00021,G050-000785,21402.14074,42725,0.4259238336,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00022,G050-004797,24125,42973.53901,0.4511861938,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00023,G050-009422,26299.97768,43568.42705,0.5520222894,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00024,G050-002987,23025,41875,0.820174951,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00025,G050-002239,22493.32918,41375,0.7584244434,infrastructure_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00026,G050-009232,26199.47239,45026.64142,0.4129198309,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00027,G050-014622,28528.66624,43316.58548,0.315928822,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00028,G050-005053,24275,43424.09883,0.4971171536,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00029,G050-005249,24375,43175,0.4887946257,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00030,G050-003002,23025,42625,0.6615584546,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00031,G050-013038,27724.33759,45425.20779,0.4297119517,distributed_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
PS-00032,G050-007904,25625,42625,0.6708863268,urban_scatterer_proxy,independent_continuous_spatiotemporal_field,H/S
