campaign_id,date,profile_id,point_id,adjusted_height_m,observed_settlement_mm,standard_uncertainty_mm,variance_factor,qc_status,accepted_run_id,adjustment_used_ground_truth,adjustment_method,provenance
C001,2018-05-15,P-D01,P-D01-REF-A,160.4469097,-0.1021550746,0.6,0.6,accepted,LR-00002,False,weighted_height_difference_network_with_independent_datum_constraints,C/S
C001,2018-05-15,P-D01,P-D01-W001,161.1509863,109.2782578,0.6993479845,0.6,accepted,LR-00002,False,weighted_height_difference_network_with_independent_datum_constraints,C/S
C001,2018-05-15,P-D01,P-D01-W002,161.2859418,169.0766724,0.7191656209,0.6,accepted,LR-00002,False,weighted_height_difference_network_with_independent_datum_constraints,C/S
C001,2018-05-15,P-D01,P-D01-W003,161.2011927,418.7705151,0.7318820798,0.6,accepted,LR-00002,False,weighted_height_difference_network_with_independent_datum_constraints,C/S
C001,2018-05-15,P-D01,P-D01-W004,161.4691029,420.1173149,0.7439102182,0.6,accepted,LR-00002,False,weighted_height_difference_network_with_independent_datum_constraints,C/S
C001,2018-05-15,P-D01,P-D01-W005,161.9062329,184.86102,0.7449522743,0.6,accepted,LR-00002,False,weighted_height_difference_network_with_independent_datum_constraints,C/S
C001,2018-05-15,P-D01,P-D01-W006,162.1758512,184.2245707,0.7369117504,0.6,accepted,LR-00002,False,weighted_height_difference_network_with_independent_datum_constraints,C/S
C001,2018-05-15,P-D01,P-D01-W007,162.5561386,49.74490201,0.7180493288,0.6,accepted,LR-00002,False,weighted_height_difference_network_with_independent_datum_constraints,C/S
C001,2018-05-15,P-D01,P-D01-REF-B,163.7798875,0.5787993059,0.6,0.6,accepted,LR-00002,False,weighted_height_difference_network_with_independent_datum_constraints,C/S
C001,2018-05-15,P-H01,P-H01-REF-A,159.9261387,0.7216250038,0.6,0.6,accepted,LR-00003,False,weighted_height_difference_network_with_independent_datum_constraints,C/S
