run_id,campaign_id,date,profile_id,run_attempt,n_points,n_stations,total_distance_km,misclosure_mm,tolerance_mm,qc_status,repeated_from_run_id,provenance
LR-00001,C001,2018-05-15,P-D01,1,9,19,1.183294665,-8.077694291,2.719483711,rejected_repeat_required,,C/S
LR-00002,C001,2018-05-15,P-D01,2,9,19,1.183294665,-0.06037499696,2.719483711,accepted,LR-00001,C/S
LR-00003,C001,2018-05-15,P-H01,1,9,25,1.654687241,-1.105506035,3.215866175,accepted,,C/S
LR-00004,C001,2018-05-15,P-H02,1,9,20,1.234262515,-1.854462073,2.777434197,accepted,,C/S
LR-00005,C001,2018-05-15,P-H03,1,9,19,1.13295075,0.9721947335,2.661003981,accepted,,C/S
LR-00006,C001,2018-05-15,P-H04,1,9,20,1.299470269,0.5004692175,2.849857748,accepted,,C/S
LR-00007,C001,2018-05-15,P-H05,1,9,23,1.505148168,0.3435621652,3.067112005,accepted,,C/S
LR-00008,C001,2018-05-15,P-H06,1,9,22,1.442720496,1.98540755,3.002832513,accepted,,C/S
LR-00009,C001,2018-05-15,P-H07,1,8,18,1.179012611,0.2842948067,2.714558678,accepted,,C/S
LR-00010,C001,2018-05-15,P-V01,1,9,21,1.304520489,-1.909627476,2.855390176,accepted,,C/S
LR-00011,C001,2018-05-15,P-V02,1,9,18,1.112843261,-0.7050164846,2.637284661,accepted,,C/S
LR-00012,C001,2018-05-15,P-V03,1,9,17,1.024376848,2.109409753,2.530287592,accepted,,C/S
LR-00013,C001,2018-05-15,P-V04,1,9,17,1.050606363,0.3040114747,2.562477272,accepted,,C/S
LR-00014,C001,2018-05-15,P-V05,1,7,16,1.053865652,1.871447854,2.566448972,accepted,,C/S
LR-00015,C001,2018-05-15,P-V06,1,8,18,1.216054076,-2.305900664,2.756871048,accepted,,C/S
LR-00016,C002,2018-07-10,P-H03,1,9,19,1.13295075,-0.1016506283,2.661003981,accepted,,C/S
LR-00017,C002,2018-07-10,P-V01,1,9,21,1.304520489,0.05997765911,2.855390176,accepted,,C/S
LR-00018,C003,2018-10-16,P-D01,1,8,14,0.833294665,-0.5441852372,2.282124374,accepted,,C/S
LR-00019,C003,2018-10-16,P-H01,1,8,24,1.654687241,-2.708733845,3.215866175,accepted,,C/S
LR-00020,C003,2018-10-16,P-H02,1,8,20,1.234262515,0.006675515726,2.777434197,accepted,,C/S
LR-00021,C003,2018-10-16,P-H03,1,9,19,1.13295075,0.8228796317,2.661003981,accepted,,C/S
LR-00022,C003,2018-10-16,P-H04,1,9,20,1.299470269,-1.380096285,2.849857748,accepted,,C/S
LR-00023,C003,2018-10-16,P-H05,1,9,23,1.505148168,-0.4465744957,3.067112005,accepted,,C/S
LR-00024,C003,2018-10-16,P-H06,1,8,22,1.442720496,-0.7392244536,3.002832513,accepted,,C/S
LR-00025,C003,2018-10-16,P-H07,1,9,19,1.179012611,-0.2581597935,2.714558678,accepted,,C/S
LR-00026,C003,2018-10-16,P-V01,1,8,20,1.304520489,-0.4351414046,2.855390176,accepted,,C/S
LR-00027,C003,2018-10-16,P-V02,1,9,18,1.112843261,0.6309468295,2.637284661,accepted,,C/S
LR-00028,C003,2018-10-16,P-V03,1,9,17,1.024376848,0.003893217671,2.530287592,accepted,,C/S
LR-00029,C003,2018-10-16,P-V04,1,9,17,1.050606363,1.752107042,2.562477272,accepted,,C/S
LR-00030,C003,2018-10-16,P-V05,1,8,17,1.053865652,-0.4102793864,2.566448972,accepted,,C/S
LR-00031,C003,2018-10-16,P-V06,1,9,19,1.216054076,-0.2353446923,2.756871048,accepted,,C/S
LR-00032,C004,2019-02-12,P-H02,1,7,18,1.234262515,-1.052192102,2.777434197,accepted,,C/S
LR-00033,C004,2019-02-12,P-V01,1,7,20,1.304520489,-0.8867520719,2.855390176,accepted,,C/S
LR-00034,C005,2019-05-14,P-D01,1,9,19,1.183294665,-0.8460412868,2.719483711,accepted,,C/S
LR-00035,C005,2019-05-14,P-H01,1,9,25,1.654687241,0.5123777855,3.215866175,accepted,,C/S
LR-00036,C005,2019-05-14,P-H02,1,8,19,1.234262515,-1.096459079,2.777434197,accepted,,C/S
LR-00037,C005,2019-05-14,P-H03,1,9,19,1.13295075,2.062240018,2.661003981,accepted,,C/S
LR-00038,C005,2019-05-14,P-H04,1,9,20,1.299470269,-3.402565581,2.849857748,rejected_repeat_required,,C/S
LR-00039,C005,2019-05-14,P-H04,2,9,20,1.299470269,-3.844958025,2.849857748,rejected_repeat_required,LR-00038,C/S
LR-00040,C005,2019-05-14,P-H05,1,9,23,1.505148168,1.86477938,3.067112005,accepted,,C/S
LR-00041,C005,2019-05-14,P-H06,1,9,22,1.442720496,4.896522837,3.002832513,rejected_repeat_required,,C/S
LR-00042,C005,2019-05-14,P-H06,2,9,22,1.442720496,-0.5381758806,3.002832513,accepted,LR-00041,C/S
LR-00043,C005,2019-05-14,P-H07,1,8,18,1.179012611,1.950661361,2.714558678,accepted,,C/S
LR-00044,C005,2019-05-14,P-V01,1,9,21,1.304520489,0.8812898228,2.855390176,accepted,,C/S
LR-00045,C005,2019-05-14,P-V02,1,8,13,0.7628432611,-0.002940809726,2.183522471,accepted,,C/S
LR-00046,C005,2019-05-14,P-V03,1,9,17,1.024376848,0.5423570449,2.530287592,accepted,,C/S
LR-00047,C005,2019-05-14,P-V04,1,9,17,1.050606363,-3.025140431,2.562477272,rejected_repeat_required,,C/S
LR-00048,C005,2019-05-14,P-V04,2,9,17,1.050606363,0.6404306672,2.562477272,accepted,LR-00047,C/S
LR-00049,C005,2019-05-14,P-V05,1,9,17,1.053865652,-1.329371507,2.566448972,accepted,,C/S
LR-00050,C005,2019-05-14,P-V06,1,9,19,1.216054076,0.1429803078,2.756871048,accepted,,C/S
LR-00051,C006,2019-08-27,P-H03,1,9,19,1.13295075,-2.791511229,2.661003981,rejected_repeat_required,,C/S
LR-00052,C006,2019-08-27,P-H03,2,9,19,1.13295075,1.650195647,2.661003981,accepted,LR-00051,C/S
