run_id,campaign_id,date,profile_id,run_attempt,edge_index,station_id,station_index_within_edge,stations_in_edge,from_point_id,to_point_id,backsight_reading_m,foresight_reading_m,delta_h_observed_m,backsight_length_m,foresight_length_m,sight_imbalance_m,standard_uncertainty_delta_h_mm,run_qc_status,provenance
LR-00001,C001,2018-05-15,P-D01,1,1,LS-0000001,1,5,P-D01-REF-A,P-D01-W001,1.779784111,1.63838196,0.1414021507,49.8201933,49.18325934,0.6369339627,0.318,rejected_repeat_required,S
LR-00001,C001,2018-05-15,P-D01,1,1,LS-0000002,2,5,P-D01-REF-A,P-D01-W001,1.329754009,1.188790267,0.1409637421,40.95562544,42.64485792,-1.689232477,0.318,rejected_repeat_required,S
LR-00001,C001,2018-05-15,P-D01,1,1,LS-0000003,3,5,P-D01-REF-A,P-D01-W001,1.459470261,1.318978655,0.140491606,49.44167436,48.71842607,0.7232482922,0.318,rejected_repeat_required,S
LR-00001,C001,2018-05-15,P-D01,1,1,LS-0000004,4,5,P-D01-REF-A,P-D01-W001,1.368833231,1.227947979,0.1408852524,40.1347114,41.50677041,-1.372059011,0.318,rejected_repeat_required,S
LR-00001,C001,2018-05-15,P-D01,1,1,LS-0000005,5,5,P-D01-REF-A,P-D01-W001,1.615271962,1.474259985,0.1410119768,50.08473265,48.3516539,1.733078756,0.318,rejected_repeat_required,S
LR-00001,C001,2018-05-15,P-D01,1,2,LS-0000006,1,1,P-D01-W001,P-D01-W002,1.232984627,1.097692321,0.135292307,34.66531677,33.23994903,1.425367742,0.3274548301,rejected_repeat_required,S
LR-00001,C001,2018-05-15,P-D01,1,3,LS-0000007,1,1,P-D01-W002,P-D01-W003,1.411158382,1.496024158,-0.08486577597,43.51696708,46.04593904,-2.528971961,0.3082549224,rejected_repeat_required,S
LR-00001,C001,2018-05-15,P-D01,1,4,LS-0000008,1,2,P-D01-W003,P-D01-W004,1.777800208,1.643808943,0.1339912651,30.32427461,26.36357523,3.960699383,0.2894664658,rejected_repeat_required,S
LR-00001,C001,2018-05-15,P-D01,1,4,LS-0000009,2,2,P-D01-W003,P-D01-W004,1.38948292,1.255734757,0.1337481639,32.50212658,34.66291388,-2.160787299,0.2894664658,rejected_repeat_required,S
LR-00001,C001,2018-05-15,P-D01,1,5,LS-0000010,1,1,P-D01-W004,P-D01-W005,1.636078728,1.199317351,0.4367613767,50.55710589,48.19158646,2.365519426,0.3202286107,rejected_repeat_required,S
LR-00001,C001,2018-05-15,P-D01,1,6,LS-0000011,1,2,P-D01-W005,P-D01-W006,1.706096123,1.571602871,0.1344932515,27.6741352,27.64435238,0.02978282149,0.2843379423,rejected_repeat_required,S
LR-00001,C001,2018-05-15,P-D01,1,6,LS-0000012,2,2,P-D01-W005,P-D01-W006,1.21254581,1.077745723,0.1348000866,47.0554838,48.05003175,-0.9945479533,0.2843379423,rejected_repeat_required,S
LR-00001,C001,2018-05-15,P-D01,1,7,LS-0000013,1,2,P-D01-W006,P-D01-W007,1.257630245,1.067870923,0.1897593223,33.04582256,30.62284205,2.422980501,0.2765326758,rejected_repeat_required,S
LR-00001,C001,2018-05-15,P-D01,1,7,LS-0000014,2,2,P-D01-W006,P-D01-W007,1.688262235,1.507402368,0.1808598669,50.21734477,48.39066384,1.826680933,0.2765326758,rejected_repeat_required,S
LR-00001,C001,2018-05-15,P-D01,1,8,LS-0000015,1,5,P-D01-W007,P-D01-REF-B,1.377637277,1.132503241,0.2451340364,39.1112414,36.99877848,2.112462925,0.318,rejected_repeat_required,S
LR-00001,C001,2018-05-15,P-D01,1,8,LS-0000016,2,5,P-D01-W007,P-D01-REF-B,1.685187115,1.440117525,0.2450695894,24.76637123,26.76285758,-1.996486342,0.318,rejected_repeat_required,S
LR-00001,C001,2018-05-15,P-D01,1,8,LS-0000017,3,5,P-D01-W007,P-D01-REF-B,1.629332416,1.383679559,0.2456528575,45.23960604,49.96148944,-4.721883397,0.318,rejected_repeat_required,S
LR-00001,C001,2018-05-15,P-D01,1,8,LS-0000018,4,5,P-D01-W007,P-D01-REF-B,1.616817688,1.372008374,0.2448093135,38.18564109,36.61247353,1.573167555,0.318,rejected_repeat_required,S
LR-00001,C001,2018-05-15,P-D01,1,8,LS-0000019,5,5,P-D01-W007,P-D01-REF-B,1.482169603,1.237511726,0.2446578765,36.50593609,33.29798858,3.207947517,0.318,rejected_repeat_required,S
LR-00002,C001,2018-05-15,P-D01,2,1,LS-0000020,1,5,P-D01-REF-A,P-D01-W001,1.348260008,1.207009638,0.1412503696,29.36836804,30.15555003,-0.7871819891,0.318,accepted,S
LR-00002,C001,2018-05-15,P-D01,2,1,LS-0000021,2,5,P-D01-REF-A,P-D01-W001,1.213293752,1.072803137,0.1404906144,33.17464787,31.71524769,1.459400187,0.318,accepted,S
LR-00002,C001,2018-05-15,P-D01,2,1,LS-0000022,3,5,P-D01-REF-A,P-D01-W001,1.833052275,1.691974345,0.1410779298,34.01411344,32.3890162,1.625097243,0.318,accepted,S
LR-00002,C001,2018-05-15,P-D01,2,1,LS-0000023,4,5,P-D01-REF-A,P-D01-W001,1.637478849,1.496949578,0.1405292711,45.73410713,48.135307,-2.401199869,0.318,accepted,S
LR-00002,C001,2018-05-15,P-D01,2,1,LS-0000024,5,5,P-D01-REF-A,P-D01-W001,1.56521436,1.424497813,0.1407165472,31.34277005,30.70182464,0.6409454053,0.318,accepted,S
LR-00002,C001,2018-05-15,P-D01,2,2,LS-0000025,1,1,P-D01-W001,P-D01-W002,1.309280519,1.174327492,0.1349530269,45.45452613,42.82266206,2.631864068,0.3274548301,accepted,S
LR-00002,C001,2018-05-15,P-D01,2,3,LS-0000026,1,1,P-D01-W002,P-D01-W003,1.260382928,1.345134318,-0.0847513904,22.9469039,22.54959214,0.3973117634,0.3082549224,accepted,S
LR-00002,C001,2018-05-15,P-D01,2,4,LS-0000027,1,2,P-D01-W003,P-D01-W004,1.716383361,1.582335273,0.134048088,22.52133886,25.13245224,-2.611113377,0.2894664658,accepted,S
LR-00002,C001,2018-05-15,P-D01,2,4,LS-0000028,2,2,P-D01-W003,P-D01-W004,1.614256939,1.480398736,0.1338582032,46.28501052,45.62127924,0.6637312796,0.2894664658,accepted,S
LR-00002,C001,2018-05-15,P-D01,2,5,LS-0000029,1,1,P-D01-W004,P-D01-W005,1.463885099,1.02675749,0.4371276093,42.93759703,44.21458707,-1.27699004,0.3202286107,accepted,S
LR-00002,C001,2018-05-15,P-D01,2,6,LS-0000030,1,2,P-D01-W005,P-D01-W006,1.735367797,1.600551446,0.1348163508,35.84783629,36.10481245,-0.256976157,0.2843379423,accepted,S
LR-00002,C001,2018-05-15,P-D01,2,6,LS-0000031,2,2,P-D01-W005,P-D01-W006,1.227366706,1.092568545,0.1347981613,27.53444628,29.7090709,-2.174624622,0.2843379423,accepted,S
LR-00002,C001,2018-05-15,P-D01,2,7,LS-0000032,1,2,P-D01-W006,P-D01-W007,1.705573038,1.515487725,0.1900853134,42.00712901,43.55528472,-1.548155708,0.2765326758,accepted,S
LR-00002,C001,2018-05-15,P-D01,2,7,LS-0000033,2,2,P-D01-W006,P-D01-W007,1.180163668,0.9899651794,0.1901984884,41.35258964,41.09757439,0.2550152526,0.2765326758,accepted,S
LR-00002,C001,2018-05-15,P-D01,2,8,LS-0000034,1,5,P-D01-W007,P-D01-REF-B,1.623742125,1.378684478,0.2450576471,44.73585318,44.9685484,-0.2326952246,0.318,accepted,S
LR-00002,C001,2018-05-15,P-D01,2,8,LS-0000035,2,5,P-D01-W007,P-D01-REF-B,1.154725821,0.9105178243,0.2442079963,34.40008125,34.44033487,-0.04025362271,0.318,accepted,S
LR-00002,C001,2018-05-15,P-D01,2,8,LS-0000036,3,5,P-D01-W007,P-D01-REF-B,1.599820091,1.35476248,0.2450576109,41.97651526,43.66736405,-1.690848785,0.318,accepted,S
