plan_unit_id,source_component_index,area_m2,representative_x_local_m,representative_y_local_m,geometry_source,geometry_method,geometry_provenance,geometry_standard_uncertainty_m,settlement_reference_map_mm_mean,settlement_reference_map_mm_min,settlement_reference_map_mm_max,kzt_reconstructed_mean,kzt_reconstructed_min,kzt_reconstructed_max,ko_reconstructed_mean,ko_reconstructed_min,ko_reconstructed_max,seismic_energy_mid_J_m2_reconstructed_mean,seismic_energy_mid_J_m2_reconstructed_min,seismic_energy_mid_J_m2_reconstructed_max,backfill_hatch_density_mean,backfill_hatch_density_min,backfill_hatch_density_max,terrain_TRI_relative_mean,terrain_TRI_relative_min,terrain_TRI_relative_max,terrain_roughness_relative_mean,terrain_roughness_relative_min,terrain_roughness_relative_max,distance_to_reconstructed_fault_m_mean,distance_to_reconstructed_fault_m_min,distance_to_reconstructed_fault_m_max,lithology_mode,grid_sample_count,unit_aggregation_status,fallback_distance_m
PU-0001,1,145349.661178395,27944.0382524004,45702.6758227981,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,344.524437514524,39.2694063926938,1060.27397260274,0.28332317032141,0.274301675977654,0.287709497206704,0.649103648405377,0.64608938547486,0.65,7.5,7.5,7.5,0.574663195912152,0.123966939747334,1,0.206944444444444,0.127777777777778,0.305555555555556,0.0612745098039216,0.0379084967320261,0.0901960784313726,225.461479756313,17.106628406801,425.425277394461,sylvinite,73,representative_samples_within_polygon,0
PU-0002,2,137861.207350791,27517.0048923525,45599.4650075306,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,272.694190627502,39.2694063926938,1786.75799086758,0.279110378529285,0.247486033519553,0.305586592178771,0.59619738834253,0.305865921787709,0.65,7.5,7.5,7.5,0.0560433881764766,0,0.35537189245224,0.214814814814815,0.155555555555556,0.25,0.110239651416122,0.0810457516339869,0.126797385620915,390.621472363918,242.24998555763,549.922970751191,sylvinite,64,representative_samples_within_polygon,0
PU-0003,3,37810.5537524876,28244.7330369173,45584.7206053495,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,230.175076502499,0,471.232876712329,0.284334969042558,0.273373533639933,0.287709497206704,0.64792364499356,0.634357541899441,0.65,7.54010856034512,7.5,7.86351987523971,0.0396005511283875,0,0.181818187236786,0.225925925925926,0.0833333333333333,0.305555555555556,0.0672476397966594,0.0261437908496732,0.0901960784313726,268.279027235239,141.241556689478,365.49661904927,sylvinite,24,representative_samples_within_polygon,0
PU-0004,4,70833.4075168364,27107.575024342,45525.7429966252,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,236.857279630813,78.5388127853876,1099.54337899543,0.280823840055943,0.26536312849162,0.287876911966608,0.58894977468162,0.3,0.65,8.15012287296344,7.5,9.22102073687961,0.573002756706306,0.223140493035316,0.93388432264328,0.164351851851852,0.0611111111111111,0.266666666666667,0.0584967320261438,0.0209150326797386,0.133333333333333,152.664200139861,12.5917560867137,280.499393637033,sylvinite,42,representative_samples_within_polygon,0
PU-0005,6,50577.7537208592,26732.9061059796,45481.509790082,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,283.665022001944,0,1649.31506849315,0.301188955629589,0.283428784624609,0.320015863061105,0.562457614269781,0.321508379888268,0.65,9.04489817236276,8.27540724351153,14.0621565173974,0.468509547155479,0.140495866537094,0.917355358600616,0.265204678362573,0.0444444444444444,0.544444444444444,0.133470932232542,0.0235294117647059,0.379084967320261,212.373906154313,37.1335048791175,310.453761430149,replacement_rock_salt,29,representative_samples_within_polygon,0
PU-0006,5,24184.0230170129,21934.9236906836,45459.3931868104,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,923.304579148517,647.945205479452,1433.33333333333,0.279220657547103,0.27903852586368,0.279741539507791,0.527628271671207,0.3,0.65,8.63614729061405,8.41527848591312,9.0911326609564,0.101928374171257,0,0.173553720116615,0.227777777777778,0.227777777777778,0.227777777777778,0.065359477124183,0.065359477124183,0.065359477124183,1021.61068155837,921.106377854258,1122.17755433562,,15,representative_samples_within_polygon,0
PU-0007,8,17923.1845709847,21845.5582153409,45275.0881595469,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,1014.01241277533,490.867579908675,1668.9497716895,0.280701774520014,0.26536312849162,0.287709497206704,0.538016583055115,0.3,0.65,7.65632420897454,7.5,7.97300129129272,0.103305783536699,0.0743801668286324,0.132231399416924,0.0722222222222222,0.0722222222222222,0.0722222222222222,0.0222222222222221,0.0222222222222221,0.0222222222222221,783.543853278504,683.526483057696,872.530713989759,carnallite,18,representative_samples_within_polygon,0
PU-0008,9,9329.87689996461,21987.0998067222,45275.0881595469,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,932.429286025911,608.675799086758,1217.35159817352,0.280666340023527,0.279132772992095,0.28198496935529,0.449168810929932,0.321508379888268,0.60433960593925,9.07204720470085,7.5,12.5,0.0118063754801239,0,0.0578512400388718,0.246296296296296,0.183333333333333,0.288888888888889,0.0727668845315904,0.05359477124183,0.0862745098039216,880.858822542539,831.738356492499,919.36013503993,carnallite,7,representative_samples_within_polygon,0
PU-0009,12,26025.4460893751,26895.26263727,45260.3437573658,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,157.077625570776,39.2694063926938,333.789954337899,0.289271270504764,0.26536312849162,0.303143066643224,0.606496476685209,0.335195530726257,0.65,8.68977305314164,7.5,12.5,0.946280999617143,0.826446294784546,0.991735517978668,0.350252525252525,0.0611111111111111,0.533333333333333,0.263220439691028,0.0509803921568628,0.46797385620915,88.1603589598904,2.29183813671517,177.480465362873,sylvinite,22,representative_samples_within_polygon,0
PU-0010,13,16204.5230367807,27282.4205195778,45252.9715562753,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,230.519556080233,0,530.13698630137,0.286033597685957,0.247486033519553,0.305586592178771,0.55208089965088,0.384078212290503,0.65,11.4626468171166,7.5,18.5489023192909,0.40731995765652,0.239669427275658,0.570247948169708,0.201282051282051,0.0222222222222222,0.427777777777778,0.198089492207139,0.0287581699346405,0.392156862745098,228.189407870598,169.588458815313,294.191556180659,sylvinite,14,representative_samples_within_polygon,0
PU-0011,14,183282.976469038,27585.9984124048,45252.9715562753,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,246.002327893456,39.2694063926938,1865.29680365297,0.322083458804184,0.260893854748603,0.587150837988827,0.423369189595731,0.319553072625698,0.65,17.1610168858842,7.5,27.5,0.216441930144241,0,0.801652908325195,0.29983164983165,0,0.783333333333333,0.277064765300059,0.0209150326797386,0.742483660130719,316.107286825198,133.518998496193,480.133252888129,sylvinite,95,representative_samples_within_polygon,0
PU-0012,16,11048.5384341689,27149.8293523573,45245.5993551848,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,259.084799568708,78.5388127853876,333.789954337899,0.313024171879659,0.287709497206704,0.354748603351955,0.583574228257196,0.337150837988827,0.65,9.22380500999211,7.5,12.5,0.322314050793648,0.173553720116615,0.421487599611282,0.307407407407407,0.0944444444444444,0.472222222222222,0.254030501089325,0.0326797385620915,0.407843137254902,142.267639686472,85.5585216579007,203.294651221301,sylvinite,10,representative_samples_within_polygon,0
PU-0013,15,60153.15369714,27980.0679221953,45201.3661486415,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,219.989319972871,39.2694063926938,333.789954337899,0.294002398303306,0.260893854748603,0.426256983240223,0.590025618421576,0.315642458100559,0.65,16.727757006691,7.5,27.5,0.736685031818019,0.396694213151932,0.925619840621948,0.216358024691358,0.0222222222222222,0.55,0.180537400145243,0.0209150326797386,0.77516339869281,57.4814544693968,0.191151094170989,125.866817916003,sylvinite,36,representative_samples_within_polygon,0
PU-0014,10,205257.29179922,25804.5597860372,45164.5051431888,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,504.020924768364,78.5388127853876,1197.71689497717,0.277458631340986,0.199545255851161,0.386033519553073,0.407692380220624,0.321508379888268,0.65,12.165590994834,7.5,24.2733793335708,0.579314771352462,0.0991735532879829,0.983471095561981,0.274949494949495,0.0166666666666667,0.566666666666667,0.231538918597742,0.0235294117647059,0.494117647058824,410.711550311583,5.91627481163662,891.510727073076,replacement_rock_salt,103,representative_samples_within_polygon,0
PU-0015,11,99559.607445673,26728.7431179978,45164.5051431888,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,388.891454772159,39.2694063926938,2002.7397260274,0.353049347144143,0.260893854748603,0.489916884666546,0.432554949978196,0.319553072625698,0.65,17.5514848159086,7.5,27.5,0.886321469229095,0.760330557823181,0.983471095561981,0.272712418300654,0.0166666666666667,0.911111111111111,0.300730488273741,0.0222222222222221,0.470588235294118,48.9385904139737,1.08765603700208,136.826971741465,sylvinite,49,representative_samples_within_polygon,0
PU-0016,7,116255.176635083,26346.7473407874,45142.3885399172,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,330.026828601105,58.9041095890407,1924.20091324201,0.308694023737378,0.26536312849162,0.378346784729605,0.423842774479534,0.3,0.65,13.9821612243928,7.5,27.5,0.374610487234275,0,0.950413227081299,0.316919191919192,0.0388888888888889,0.511111111111111,0.292424242424242,0.0287581699346405,0.452287581699346,59.0428757832493,3.59299410697322,137.856750321833,mixed_salts,61,representative_samples_within_polygon,0
PU-0017,18,25779.9230130592,21941.3069389224,45090.7831322835,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,930.657855158197,510.502283105023,1668.9497716895,0.396315560070225,0.282248164057255,0.43568949830268,0.464490223463687,0.331284916201117,0.65,7.5,7.5,7.5,0.0165289253927767,0,0.0826446264982224,0.144444444444444,0.1,0.183333333333333,0.0435729847494553,0.0300653594771242,0.05359477124183,721.939449164827,626.368833638308,808.488767309941,carnallite,16,representative_samples_within_polygon,0
PU-0018,17,25411.6383985872,21515.7570563379,45068.6665290119,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,1055.90528357762,510.502283105023,1747.48858447489,0.330400844866033,0.287709497206704,0.426256983240223,0.398071181986965,0.3,0.65,10.2819396483508,9.42112018952257,10.6086984994361,0.244628098607063,0.140495866537094,0.32231405377388,0.147222222222222,0.0722222222222222,0.222222222222222,0.0450980392156863,0.0222222222222221,0.0679738562091504,444.645994574307,374.958590336806,521.463142708734,replacement_rock_salt,15,representative_samples_within_polygon,0
PU-0019,27,3069.03845393591,28019.2693923573,44921.2225072011,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,157.077625570776,39.2694063926938,333.789954337899,0.383544723779851,0.283240223463687,0.496984882850584,0.591666666666667,0.3,0.65,27.5,27.5,27.5,0.276859506964684,0.140495866537094,0.438016533851624,0.188888888888889,0,0.461111111111111,0.294901960784314,0.0366013071895426,0.496732026143791,11.2322076605842,2.05424099697743,19.5855955261299,sylvinite,6,representative_samples_within_polygon,0
PU-0020,28,103856.261281185,29264.0027989169,44891.7337028389,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,427.883956751721,0,2022.37442922374,0.284083929544491,0.283240223463687,0.285143155869973,0.638928595350963,0.520949720670391,0.65,7.75512245401143,7.5,8.87843462134281,0,0,0,0.291950113378685,0.0222222222222222,0.538888888888889,0.252821128451381,0.0222222222222221,0.465359477124183,381.063993408959,138.067381581823,694.395545463072,mixed_salts,74,representative_samples_within_polygon,0
PU-0021,21,408059.352835285,25588.0844109833,44847.5004962957,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,289.270842335514,0,1786.75799086758,0.237648580711029,0.184916201117318,0.323463687150838,0.367976310406936,0.3,0.65,19.6138761251274,7.5,27.5,0.752608047157037,0.272727280855179,0.991735517978668,0.32823754789272,0.00555555555555556,0.905555555555556,0.246824430921794,0.0222222222222221,0.588235294117647,695.989625642172,248.107764600966,1037.04993405267,carnallite,183,representative_samples_within_polygon,0
PU-0022,25,59171.0613918801,26787.0249497431,44832.7560941146,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,208.760596654721,0,2022.37442922374,0.492648269043647,0.336871508379888,0.542458100558659,0.454860335195531,0.382122905027933,0.65,24.4966846097368,22.5,27.5,0.819214875996113,0.595041334629059,1,0.394907407407407,0.00555555555555556,0.85,0.281118373275236,0.0235294117647059,0.815686274509804,67.5655859377917,0.104490323660809,205.89944376748,mixed_salts,40,representative_samples_within_polygon,0
PU-0023,19,71324.4536694643,21437.83027477,44818.0116919336,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,698.425433531782,353.424657534246,1943.83561643836,0.353470986267212,0.26536312849162,0.41731843575419,0.500491497721993,0.3,0.65,9.70407903682682,7.5,12.5,0.0926800470887905,0,0.223140493035316,0.16,0.05,0.244444444444444,0.0807843137254902,0.0261437908496732,0.122875816993464,201.531624227915,13.8109216764432,384.475074757938,carnallite,42,representative_samples_within_polygon,0
PU-0024,20,99927.8920601444,22136.1347764709,44818.0116919336,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,700.030592817663,353.424657534246,1668.9497716895,0.40376376495922,0.26536312849162,0.44413407821229,0.415205442422058,0.3,0.65,7.61912450879647,7.5,8.59771751821684,0.0859770721966221,0,0.388429760932922,0.0669082125603865,0,0.255555555555556,0.252458084683149,0.0222222222222221,0.895424836601307,564.795150613856,329.125369805265,746.987681580678,carnallite,62,representative_samples_within_polygon,0
PU-0025,22,47140.4306524519,26266.6514520175,44781.1506864809,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,421.105878458241,39.2694063926938,2022.37442922374,0.342544490120143,0.287709497206704,0.386033519553073,0.460579608938547,0.3,0.65,27.5,27.5,27.5,0.132231405354105,0.00826446246355772,0.272727280855179,0.432407407407407,0.0166666666666667,0.883333333333333,0.320334059549746,0.0379084967320261,0.783006535947712,188.354927955175,96.4344070707716,282.670902525192,carnallite,24,representative_samples_within_polygon,0
PU-0026,23,41247.8768208954,26441.4969472533,44781.1506864809,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,235.823208843044,39.2694063926938,498.959485681934,0.382716892572043,0.345810055865922,0.435195530726257,0.422451117318436,0.3,0.65,24.8952998642699,22.5,27.5,0.667355371018251,0.537190079689026,0.900826454162598,0.328935185185185,0.00555555555555556,0.85,0.33338779956427,0.0379084967320261,0.78562091503268,64.660902391337,1.52299123684894,148.627184133955,carnallite,24,representative_samples_within_polygon,0
PU-0027,24,11785.107663113,26566.3865867074,44781.1506864809,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,267.580269764596,39.2694063926938,333.789954337899,0.448369229809175,0.421787709497207,0.493296089385475,0.533170391061452,0.382122905027933,0.65,24.7399769865926,22.5,27.5,0.703512396663427,0.595041334629059,0.867768585681915,0.351388888888889,0.00555555555555556,0.872222222222222,0.3625,0.169934640522876,0.658823529411765,29.449174137759,1.6410815777505,92.9454979666873,carnallite,16,representative_samples_within_polygon,0
PU-0028,26,340908.791463176,27465.5919907772,44766.4062842998,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,217.756977363996,39.2694063926938,419.233583890364,0.586115549612611,0.323463687150838,0.846368715083799,0.435421032492751,0.382122905027933,0.65,27.3745883915473,22.5,27.5,0.116787189699244,0,0.537190079689026,0.262389380530973,0,0.877777777777778,0.398368905084158,0.0222222222222221,0.90718954248366,132.203818851311,1.80366306941093,342.476817236292,sylvinite,160,representative_samples_within_polygon,0
PU-0029,29,15467.9538078358,21629.082840287,44714.800876666,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,568.112692401217,392.694063926941,1197.71689497717,0.389385474860335,0.381564245810056,0.41731843575419,0.416666666666667,0.3,0.65,8.87633736870346,7.5,12.5,0.0537190077205499,0,0.173553720116615,0.116666666666667,0.116666666666667,0.116666666666667,0.0601307189542484,0.0601307189542484,0.0601307189542484,219.508611450567,152.628088235994,292.348976290927,carnallite,12,representative_samples_within_polygon,0
PU-0030,30,8838.83074733474,21970.447854795,44714.800876666,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,645.171525203139,353.424657534246,1197.71689497717,0.379676286203581,0.287709497206704,0.399441340782123,0.300651769087523,0.3,0.305865921787709,7.5,7.5,7.5,0.0599173547234386,0.00826446246355772,0.107438012957573,0.0611111111111111,0,0.316666666666667,0.459313725490196,0.049673202614379,0.882352941176471,477.642157794967,418.978707198674,540.125009924829,carnallite,12,representative_samples_within_polygon,0
PU-0031,31,32409.0460735612,22420.0505568299,44692.6842733944,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,695.637904034015,431.963470319634,1197.71689497717,0.375788148676498,0.287709497206704,0.40391061452514,0.365413915693245,0.3,0.65,8.19741690661942,7.5,8.39383063542005,0.00563486077060754,0,0.0165289249271154,0.283333333333333,0.283333333333333,0.283333333333333,0.0836601307189543,0.0836601307189543,0.0836601307189543,824.016015317775,703.920325192541,955.137966327368,carnallite,22,representative_samples_within_polygon,0
PU-0032,32,24306.7845551705,26724.580130016,44670.5676701228,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,416.532357137497,78.5388127853876,2022.37442922374,0.497089374764192,0.421787709497207,0.542458100558659,0.389683426443203,0.382122905027933,0.409497206703911,27.5,27.5,27.5,0.802203861872355,0.719008266925812,0.925619840621948,0.562301587301587,0.05,1,0.420541549953315,0.0313725490196078,0.801307189542484,49.3074338727947,0.248037468617367,122.315516644968,carnallite,15,representative_samples_within_polygon,0
PU-0033,36,11907.8692012705,22012.0777346131,44574.7290559458,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,596.404109589041,196.34703196347,1197.71689497717,0.354189944134078,0.305586592178771,0.381564245810056,0.60625,0.3,0.65,8.61535762871108,7.5,12.5,0.028925619320944,0,0.0991735532879829,0.00277777777777778,0,0.00555555555555556,0.590849673202614,0.588235294117647,0.593464052287582,435.741667331723,325.814717663351,520.687924979833,carnallite,8,representative_samples_within_polygon,0
PU-0034,37,11662.3461249557,22336.7907971938,44574.7290559458,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,503.957382039574,353.424657534246,1197.71689497717,0.342030656805238,0.323463687150838,0.377094972067039,0.533333333333333,0.3,0.65,7.77526242482592,7.5,8.63623087239151,0.00918273607061969,0,0.0165289249271154,,,,,,,679.195659407862,576.444508370985,753.210730951742,carnallite,9,representative_samples_within_polygon,0
PU-0035,43,3314.56153025034,27440.6140628864,44515.7514472215,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,353.424657534246,333.789954337899,431.963470319634,0.602346368715084,0.600558659217877,0.605027932960894,0.55731843575419,0.391899441340782,0.65,27.5,27.5,27.5,0.4429751932621,0.256198346614838,0.578512370586395,0.366666666666667,0.0555555555555556,0.683333333333333,0.263725490196078,0.0418300653594771,0.490196078431373,116.415819060014,95.1293096796522,141.426346155957,carnallite,5,representative_samples_within_polygon,0
PU-0036,44,13381.0076591591,27598.807606195,44515.7514472215,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,174.133356176227,98.1735159817354,314.155251141553,0.587895716945996,0.587150837988827,0.591620111731844,0.528119180633147,0.384078212290503,0.65,27.5,27.5,27.5,0.424931128819784,0.264462798833847,0.595041334629059,0.239583333333333,0.0777777777777778,0.65,0.102287581699346,0.0300653594771242,0.233986928104575,31.4314065602283,7.17039438533894,85.3156631536737,carnallite,12,representative_samples_within_polygon,0
PU-0037,47,11294.0615104826,29057.9348938175,44515.7514472215,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,453.490083796966,235.616438356164,1060.27397260274,0.285057259158562,0.283240223463687,0.287709497206704,0.524078212290503,0.335195530726257,0.65,7.5,7.5,7.5,0,0,0,0.129861111111111,0.0166666666666667,0.311111111111111,0.17156862745098,0.0261437908496732,0.409150326797386,356.358841488127,258.273686491874,449.414941425192,mixed_salts,10,representative_samples_within_polygon,0
PU-0038,34,14976.907655206,21537.4971046873,44508.379246131,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,453.627441819609,137.442922374429,1099.54337899543,0.327437408477753,0.26536312849162,0.354748603351955,0.341451808310461,0.3,0.65,11.8883256791211,7.5,12.5,0.236455464114745,0.0991735532879829,0.404958665370941,0,0,0,0.298692810457516,0.0823529411764706,0.607843137254902,73.7427824304194,1.02125428991687,155.735812404304,carnallite,18,representative_samples_within_polygon,0
PU-0039,51,32777.3306880317,28789.4221689911,44508.379246131,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,347.148657245639,117.808219178082,1806.39269406393,0.283965575626436,0.280798605123462,0.285515727291867,0.601814283186448,0.329329608938548,0.65,7.5,7.5,7.5,0.00450788861648603,0,0.0330578498542309,0.263095238095238,0.0444444444444444,0.616666666666667,0.162558356676004,0.0379084967320261,0.513725490196078,483.014722638748,336.979821480314,603.777348287611,mixed_salts,22,representative_samples_within_polygon,0
PU-0040,40,48122.5229577112,26266.6514520175,44464.1460395877,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,624.37766883456,0,2179.45205479452,0.39438230547952,0.26536312849162,0.484357541899441,0.480516759776536,0.382122905027933,0.65,27.4494896655482,26.4236992125348,27.5,0.193034242306437,0.0826446264982224,0.338842988014221,0.297333333333333,0.0166666666666667,0.627777777777778,0.401516339869281,0.0235294117647059,0.609150326797386,57.6608077212035,2.6940284951542,169.360861783213,carnallite,28,representative_samples_within_polygon,0
PU-0041,46,107048.061273277,28547.9688660465,44464.1460395877,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,314.955723460481,0,1786.75799086758,0.293044776621549,0.26536312849162,0.354748603351955,0.590111948000526,0.389944134078212,0.65,7.5,7.5,7.5,0.101239668754196,0,0.289256185293198,0.205555555555556,0.0111111111111111,0.877777777777778,0.271459694989107,0.0222222222222221,0.524183006535948,329.868592367542,129.97990597603,545.317210779495,sylvinite,56,representative_samples_within_polygon,0
PU-0042,39,57943.4460103046,25858.6786298006,44456.7738384972,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,263.518385003605,0,2022.37442922374,0.287290703599625,0.229608938547486,0.336871508379888,0.425242575713026,0.3,0.65,26.019166965082,22.5,27.5,0.962592433941992,0.867768585681915,1,0.296246246246246,0.0388888888888889,0.65,0.378413707825472,0.0562091503267974,0.694117647058824,426.24509370662,289.432021577997,575.354275241059,carnallite,38,representative_samples_within_polygon,0
PU-0043,33,61871.8152313441,21355.4609938466,44449.4016374067,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,452.318330169098,176.712328767123,1197.71689497717,0.331227229820126,0.27877094972067,0.363687150837989,0.593015299184037,0.387734863723593,0.65,11.1998174789289,7.5,12.5,0.0656689738955449,0,0.214876025915146,,,,,,,159.941970496206,1.84663104077431,341.178950436881,replacement_rock_salt,37,representative_samples_within_polygon,0
PU-0044,38,318075.145365893,25145.3596890923,44449.4016374067,Figure 13 clean red vector overlay (image15),red-line closed-region segmentation,D,12,279.259873331071,0,2022.37442922374,0.277098455831458,0.234078212290503,0.336871508379888,0.382025139664805,0.3,0.65,21.6638455455908,7.5,27.5,0.882954546622932,0.380165278911591,1,0.418711419753086,0.0277777777777778,1,0.367501815541031,0.0248366013071896,0.751633986928105,705.303596320176,362.111820367004,973.813615107969,carnallite,160,representative_samples_within_polygon,0
