campaign_id,date,profile_id,point_id,observed_x_local_m,observed_y_local_m,standard_uncertainty_xy_mm,qc_status,provenance
C001,2018-05-15,P-D01,P-D01-REF-A,21053.1737,39693.08854,0.9,accepted,S
C001,2018-05-15,P-D01,P-D01-W001,21345.20759,39886.01196,1.4,accepted,S
C001,2018-05-15,P-D01,P-D01-W002,21409.24612,39928.31823,1.4,accepted,S
C001,2018-05-15,P-D01,P-D01-W003,21461.84924,39963.06748,1.4,accepted,S
C001,2018-05-15,P-D01,P-D01-W004,21544.63978,40017.7542,1.4,accepted,S
C001,2018-05-15,P-D01,P-D01-W005,21604.37041,40057.2204,1.4,accepted,S
C001,2018-05-15,P-D01,P-D01-W006,21681.06211,40107.88282,1.4,accepted,S
C001,2018-05-15,P-D01,P-D01-W007,21748.44858,40152.39789,1.4,accepted,S
C001,2018-05-15,P-D01,P-D01-REF-B,22040.48054,40345.31921,0.9,accepted,S
C001,2018-05-15,P-H01,P-H01-REF-A,20805.16875,39576.96541,0.9,accepted,S
C001,2018-05-15,P-H01,P-H01-W001,21155.17062,39576.96636,1.4,accepted,S
C001,2018-05-15,P-H01,P-H01-W002,21303.02465,39576.96641,1.4,accepted,S
C001,2018-05-15,P-H01,P-H01-W003,21488.08252,39576.96954,1.4,accepted,S
C001,2018-05-15,P-H01,P-H01-W004,21613.11472,39576.96626,1.4,accepted,S
C001,2018-05-15,P-H01,P-H01-W005,21778.94613,39576.95762,1.4,accepted,S
C001,2018-05-15,P-H01,P-H01-W006,21938.52936,39576.96079,1.4,accepted,S
C001,2018-05-15,P-H01,P-H01-W007,22109.85346,39576.96602,1.4,accepted,S
C001,2018-05-15,P-H01,P-H01-REF-B,22459.85546,39576.96348,0.9,accepted,S
C001,2018-05-15,P-H02,P-H02-REF-A,21446.69483,40532.6975,0.9,accepted,S
C001,2018-05-15,P-H02,P-H02-W001,21796.69448,40532.6989,1.4,accepted,S
C001,2018-05-15,P-H02,P-H02-W002,21892.4973,40532.70177,1.4,accepted,S
