point_id,profile_id,point_type,feature,value,unit,provenance,standard_uncertainty,donor_distance_m,source_cell_id,model_feature_allowed,source_reference_year
P-D01-REF-A,P-D01,REF,settlement_anchor_map_mm,0.0,mm,S_REF,0,0,,False,2022
P-D01-REF-A,P-D01,REF,kzt,0.1,1,S_REF,,0,,True,2022
P-D01-REF-A,P-D01,REF,ko,0.3,1,S_REF,,0,,True,2022
P-D01-REF-A,P-D01,REF,seismic_energy_J_m2,0.0,J/m2,S_REF,,0,,True,2022
P-D01-REF-A,P-D01,REF,fill_density,0.0,1,S_REF,,0,,True,2022
P-D01-REF-A,P-D01,REF,fault_distance_m,9999.0,m,S_REF,,0,,True,2022
P-D01-REF-A,P-D01,REF,lithology,stable_external_reference,category,S_REF,,0,,True,2022
P-D01-REF-A,P-D01,REF,terrain_TRI_relative,,relative,S_REF,,0,,True,2022
P-D01-REF-A,P-D01,REF,terrain_roughness_relative,,relative,S_REF,,0,,True,2022
P-D01-W001,P-D01,WORK,settlement_anchor_map_mm,333.789954337899,mm,D,35.00684932,0,G050-000526,False,2022
P-D01-W001,P-D01,WORK,kzt,0.669909651344213,1,R,0.072,50,G050-000526,True,2022
P-D01-W001,P-D01,WORK,ko,0.635587969297845,1,R,0.03215525733,59.36081894,G050-000526,True,2022
P-D01-W001,P-D01,WORK,seismic_energy_J_m2,27.5,J/m2,D,1.2,0,G050-000526,True,2022
P-D01-W001,P-D01,WORK,fill_density,0.958677709102631,1,C/R,0.08,21.37858899,G050-000526,True,2022
P-D01-W001,P-D01,WORK,fault_distance_m,248.204968502742,m,C/R,25,21.37858899,G050-000526,True,2022
P-D01-W001,P-D01,WORK,lithology,carnallite,category,D,,0,G050-000526,True,2022
P-D01-W001,P-D01,WORK,terrain_TRI_relative,0.0,relative,C/R,0.1,21.37858899,G050-000526,True,2022
P-D01-W001,P-D01,WORK,terrain_roughness_relative,0.247058823529412,relative,C/R,0.1,21.37858899,G050-000526,True,2022
P-D01-W002,P-D01,WORK,settlement_anchor_map_mm,431.963470319634,mm,D,36.47945205,0,G050-000732,False,2022
P-D01-W002,P-D01,WORK,kzt,0.694413407821229,1,D,0.032,0,G050-000732,True,2022
P-D01-W002,P-D01,WORK,ko,0.409694418712861,1,R,0.035,100,G050-000732,True,2022
P-D01-W002,P-D01,WORK,seismic_energy_J_m2,27.5,J/m2,D,1.2,0,G050-000732,True,2022
P-D01-W002,P-D01,WORK,fill_density,0.950413227081299,1,C/R,0.08,16.10236723,G050-000732,True,2022
P-D01-W002,P-D01,WORK,fault_distance_m,282.532701698636,m,C/R,25,16.10236723,G050-000732,True,2022
P-D01-W002,P-D01,WORK,lithology,carnallite,category,D,,0,G050-000732,True,2022
P-D01-W002,P-D01,WORK,terrain_TRI_relative,0.0,relative,C/R,0.1,16.10236723,G050-000732,True,2022
P-D01-W002,P-D01,WORK,terrain_roughness_relative,0.823529411764706,relative,C/R,0.1,16.10236723,G050-000732,True,2022
P-D01-W003,P-D01,WORK,settlement_anchor_map_mm,431.963470319634,mm,D,36.47945205,0,G050-000848,False,2022
P-D01-W003,P-D01,WORK,kzt,0.600558659217877,1,D,0.032,0,G050-000848,True,2022
P-D01-W003,P-D01,WORK,ko,0.329358418971301,1,R,0.0315,50,G050-000848,True,2022
P-D01-W003,P-D01,WORK,seismic_energy_J_m2,27.5,J/m2,R,2.7,50,G050-000848,True,2022
