campaign_id,date,campaign_type,profile_id,n_points_observed,max_settlement_mm,mean_settlement_mm,max_rate_mm_y,max_abs_tilt_mm_m,max_abs_curvature_mm_m2,max_abs_horizontal_strain,provenance
C001,2018-05-15,full,P-D01,9,420.1173149,170.7277664,,3.960927848,0.04864959877,0.000164099011,C/S
C001,2018-05-15,full,P-H01,9,244.2341197,87.69048675,,1.513145392,0.01755570873,4.268784755e-05,C/S
C001,2018-05-15,full,P-H02,9,282.708122,103.9526154,,3.028439055,0.04458695217,7.506883642e-05,C/S
C001,2018-05-15,full,P-H03,9,477.9323006,188.704319,,3.518346348,0.07518409535,0.0001483676976,C/S
C001,2018-05-15,full,P-H04,9,609.6101221,141.2867121,,4.684144538,0.05517874026,0.000152617128,C/S
C001,2018-05-15,full,P-H05,9,1514.494495,899.4653735,,4.908137386,0.04454301845,0.0003346830005,C/S
C001,2018-05-15,full,P-H06,9,326.3511246,185.0360701,,3.452230879,0.03363930539,0.0001051406425,C/S
C001,2018-05-15,full,P-H07,8,259.0332341,81.98510722,,1.764927871,0.03782437304,8.470532544e-05,C/S
C001,2018-05-15,full,P-V01,9,683.529089,149.6592918,,4.648259883,0.08008861349,2.588301098e-05,C/S
C001,2018-05-15,full,P-V02,9,224.4339841,58.51437248,,2.580419037,0.05473004426,8.210422246e-05,C/S
C001,2018-05-15,full,P-V03,9,1583.985738,483.8147687,,14.95906649,0.3673511978,5.147238577e-05,C/S
C001,2018-05-15,full,P-V04,9,327.345061,182.5359152,,2.118700497,0.06523592265,5.813585728e-05,C/S
C001,2018-05-15,full,P-V05,7,1610.647874,986.6836338,,4.60062837,0.1105355438,0.0001110530485,C/S
C001,2018-05-15,full,P-V06,8,73.02360969,33.57445268,,0.3132753685,0.004808860444,6.508274686e-05,C/S
C002,2018-07-10,focused,P-H03,9,480.9713432,199.025546,105.5515075,3.518736247,0.0748639781,0.0001117472284,C/S
C002,2018-07-10,focused,P-V01,9,696.1354569,155.9369439,95.67701783,4.669989809,0.08095313398,3.038685168e-05,C/S
C003,2018-10-16,full,P-D01,8,422.0510993,205.5162461,88.75689176,3.396455409,0.04168087581,0.000231204988,C/S
C003,2018-10-16,full,P-H01,8,256.410473,102.6744883,86.40862304,1.398460175,0.01708700078,5.656652995e-05,C/S
C003,2018-10-16,full,P-H02,8,304.3193836,106.4911176,85.11903999,2.316898502,0.04460320244,8.222764698e-05,C/S
C003,2018-10-16,full,P-H03,9,484.3450891,214.0314136,91.33988155,3.540380709,0.07470259457,0.0001371099455,C/S
C003,2018-10-16,full,P-H04,9,621.2544001,152.7928194,55.95107618,4.617960468,0.05465394739,0.0001209153355,C/S
C003,2018-10-16,full,P-H05,9,1522.578656,912.9706263,79.07292964,4.803990545,0.04378472967,0.0003325103993,C/S
C003,2018-10-16,full,P-H06,8,324.4039332,185.8476801,0.3731819217,3.448449682,0.03362027464,0.0001236218341,C/S
C003,2018-10-16,full,P-H07,9,259.3625916,84.20816707,87.20724388,1.899329342,0.03046033518,6.603890509e-05,C/S
C003,2018-10-16,full,P-V01,8,717.0537558,181.4604829,85.72882483,4.711697296,0.08231041279,2.901780488e-05,C/S
C003,2018-10-16,full,P-V02,9,237.6142812,74.99323726,92.50081058,2.600754081,0.05166874446,3.596068599e-05,C/S
C003,2018-10-16,full,P-V03,9,1593.737923,492.8167034,38.80334258,14.90633854,0.3641303239,5.282121083e-05,C/S
C003,2018-10-16,full,P-V04,9,328.2874845,184.6920179,28.93471415,2.139851116,0.06599123567,4.783756479e-05,C/S
C003,2018-10-16,full,P-V05,8,1622.693124,1018.766021,76.47042873,4.636023743,0.03769697475,3.885457055e-05,C/S
C003,2018-10-16,full,P-V06,9,117.1299913,54.00172875,74.06801661,1.415959299,0.03732557248,3.389951352e-05,C/S
C004,2019-02-12,focused,P-H02,7,320.1593366,120.5118489,81.02934947,3.516775506,0.04762903922,2.940766451e-05,C/S
C004,2019-02-12,focused,P-V01,7,254.484833,79.82326384,76.90030054,0.7303557559,0.003579652014,2.941819814e-05,C/S
C005,2019-05-14,full,P-D01,9,423.4056354,197.5729237,82.44087839,2.849419037,0.03603230817,0.0001882624945,C/S
C005,2019-05-14,full,P-H01,9,274.1554551,124.2010326,72.07387096,1.309264212,0.01688736934,4.138731946e-05,C/S
C005,2019-05-14,full,P-H02,8,329.3968776,135.7477556,67.36465207,3.644808695,0.04980934253,7.803794359e-05,C/S
C005,2019-05-14,full,P-H03,9,515.9965996,246.5264249,89.07593329,3.571587682,0.07344890089,0.0001324591582,C/S
C005,2019-05-14,full,P-H05,9,1535.479273,931.3673689,72.0200034,4.71569165,0.04323381103,0.0003086681344,C/S
C005,2019-05-14,full,P-H06,9,327.0829308,186.0759013,6.574866588,3.441839803,0.03351090787,0.0001327048745,C/S
C005,2019-05-14,full,P-H07,8,260.6606147,101.7283305,73.57504548,2.068035583,0.02176084185,7.504615894e-05,C/S
C005,2019-05-14,full,P-V01,9,757.8279581,188.6118491,79.80343527,4.81296383,0.08500797573,4.058704244e-05,C/S
C005,2019-05-14,full,P-V02,8,250.1742612,103.6307946,72.74382655,2.609197649,0.04777677195,5.122601272e-05,C/S
C005,2019-05-14,full,P-V03,9,1604.556453,505.6318679,40.1142764,14.80485321,0.3581027192,4.155591516e-05,C/S
C005,2019-05-14,full,P-V04,9,329.6657815,187.835362,36.36497842,2.138863944,0.06540712309,0.0002109004646,C/S
C005,2019-05-14,full,P-V05,9,1640.352908,1072.721549,65.53052473,4.68643171,0.05955561455,0.000128048477,C/S
C005,2019-05-14,full,P-V06,9,146.0549847,69.84318942,72.70588168,1.310981027,0.03674629517,0.0001236782972,C/S
C006,2019-08-27,focused,P-H03,9,537.3332586,260.992633,85.62310888,3.586941913,0.07321663588,0.0001224012457,C/S
C006,2019-08-27,focused,P-V02,9,259.5215068,102.5309878,76.47924947,2.689282793,0.04733963425,2.061416085e-05,C/S
C007,2019-11-05,full,P-D01,9,425.1970884,209.4609615,72.44227825,2.628613382,0.03345766766,0.0001753357051,C/S
C007,2019-11-05,full,P-H01,9,293.3652132,139.7844601,68.85716641,1.33637117,0.01671384923,4.848912366e-05,C/S
C007,2019-11-05,full,P-H02,9,348.9074231,148.4409061,62.23787388,3.820916769,0.05311716901,0.0001451907617,C/S
C007,2019-11-05,full,P-H03,8,551.0040565,279.7719023,79.9723131,3.611678512,0.07348814424,0.0001659557165,C/S
C007,2019-11-05,full,P-H04,9,654.2078632,181.428822,49.97034342,4.549338287,0.05409617219,9.755184658e-05,C/S
C007,2019-11-05,full,P-H05,9,1545.959371,945.4540056,66.82851453,4.631713372,0.04258756989,0.0003177087926,C/S
C007,2019-11-05,full,P-H06,9,328.1984274,187.695104,6.829387103,3.432177569,0.03341377652,0.000143057035,C/S
C007,2019-11-05,full,P-H07,9,261.3609351,102.9942486,65.74446394,2.230570494,0.02802104328,6.635184417e-05,C/S
C007,2019-11-05,full,P-V01,9,790.3317202,206.2961417,68.72689379,4.955041345,0.08691021977,3.095169674e-05,C/S
C007,2019-11-05,full,P-V02,9,263.0548775,107.0910321,60.14616139,2.892543637,0.05109103998,6.013247426e-05,C/S
C007,2019-11-05,full,P-V03,9,1613.693808,516.5030881,38.85323204,14.71270666,0.353303856,8.633250199e-05,C/S
C007,2019-11-05,full,P-V04,8,329.8052781,190.2726496,33.91335217,2.133990517,0.06430346526,6.366013398e-05,C/S
C007,2019-11-05,full,P-V05,8,1658.678153,1070.625761,56.19949868,4.73884474,0.04887073643,0.000106629352,C/S
C007,2019-11-05,full,P-V06,9,173.827482,81.44700579,57.96516954,1.42223254,0.03651094123,2.56582911e-05,C/S
C008,2020-04-21,full,P-D01,9,424.9194025,217.9357833,66.46323011,2.430251266,0.0307507186,0.0002034961251,C/S
C008,2020-04-21,full,P-H01,8,323.5629238,140.3555083,65.65305821,1.376408286,0.01679248419,5.620004921e-05,C/S
C008,2020-04-21,full,P-H02,8,365.3918315,148.4175873,35.83887009,3.973445472,0.05595676041,0.0001031262271,C/S
C008,2020-04-21,full,P-H03,9,578.421773,289.9034208,67.52342595,3.591571943,0.07098857381,0.0001479468065,C/S
C008,2020-04-21,full,P-H04,9,668.8007882,192.9202725,48.46014377,4.56334805,0.05426587586,0.000143330545,C/S
C008,2020-04-21,full,P-H05,8,1555.835222,926.6553063,57.54927698,4.569788215,0.01917641121,0.0003498427048,C/S
C008,2020-04-21,full,P-H06,9,330.4269526,188.8035586,5.080952652,3.450215309,0.03357667888,0.0001780746482,C/S
C008,2020-04-21,full,P-H07,8,261.6585714,117.4522036,53.77895519,2.356588574,0.02945690489,9.561334228e-05,C/S
C008,2020-04-21,full,P-V01,9,819.4437001,222.3038301,65.90209901,5.088317499,0.08873922764,2.898504806e-05,C/S
C008,2020-04-21,full,P-V02,9,276.5538551,120.2639253,62.69744362,3.311345712,0.05817234979,9.596392047e-05,C/S
C008,2020-04-21,full,P-V03,9,1623.166166,527.2495894,40.71000704,14.6361643,0.3490328765,8.726921968e-05,C/S
C008,2020-04-21,full,P-V04,9,330.9081175,193.0798703,34.99134773,2.124151315,0.06353529112,9.184251727e-05,C/S
C008,2020-04-21,full,P-V05,9,1674.711027,1098.688862,50.209535,4.78492356,0.05234839946,0.0001293955657,C/S
C008,2020-04-21,full,P-V06,8,199.9134368,88.79557055,56.71366063,1.514724592,0.01961140195,3.299175287e-05,C/S
C009,2020-06-02,focused,P-D01,7,329.4193158,163.4178756,89.06627092,2.308745347,0.01775500417,6.63344482e-05,C/S
C009,2020-06-02,focused,P-H03,7,586.7433032,261.0437792,73.73400855,2.301099858,0.04082166767,0.00017389555,C/S
C009,2020-06-02,focused,P-V01,7,824.8979346,258.7686258,47.43236119,5.108892317,0.08903058698,4.128595789e-05,C/S
C010,2020-10-20,full,P-D01,9,427.1755913,228.8436278,56.29806123,2.437175234,0.02763851103,0.0001825627674,C/S
C010,2020-10-20,full,P-H01,9,352.270999,166.4539308,57.61332129,1.386712996,0.01652492884,7.955754453e-05,C/S
C010,2020-10-20,full,P-H02,8,280.3947425,144.703037,49.93377984,4.106699061,0.05836367862,0.0001358327883,C/S
C010,2020-10-20,full,P-H03,9,610.2074052,310.7690558,65.70880678,3.660282412,0.07250415896,0.000284959025,C/S
C010,2020-10-20,full,P-H04,9,685.8453421,207.6470467,44.69549756,4.581799138,0.05418266205,0.0001475039703,C/S
C010,2020-10-20,full,P-H05,9,1564.339941,967.7254478,47.96115479,4.510383288,0.0417290348,0.0003405647962,C/S
C010,2020-10-20,full,P-H06,8,329.5654771,204.9458925,0.006024164902,1.574824145,0.0173668599,0.0001370307876,C/S
C010,2020-10-20,full,P-V01,8,844.5352062,221.4848,51.23223904,5.155065733,0.08993314735,3.531666422e-05,C/S
C010,2020-10-20,full,P-V02,9,289.5265656,132.8091639,53.86677727,3.673664879,0.06338016055,7.439638599e-05,C/S
C010,2020-10-20,full,P-V03,9,1632.480403,536.7704593,32.01910782,14.64414075,0.3455355335,3.373754088e-05,C/S
C010,2020-10-20,full,P-V04,8,328.3747992,178.0001802,32.42749102,1.47485744,0.03454015955,1.501293001e-05,C/S
C010,2020-10-20,full,P-V05,8,1693.33511,1095.640477,38.8855239,4.836376144,0.05723163977,6.485892642e-05,C/S
C010,2020-10-20,full,P-V06,9,226.8825653,101.2100656,54.12348445,1.621504443,0.03460761596,2.859563575e-05,C/S
C011,2021-01-26,focused,P-H04,9,694.2443637,213.132518,35.11875041,4.604187431,0.05436345278,0.0001452348438,C/S
C011,2021-01-26,focused,P-V02,9,297.5220561,139.373786,58.98564332,3.919469239,0.06747761248,5.215341609e-05,C/S
C012,2021-05-18,full,P-D01,9,428.4599073,242.2212559,57.06447356,2.387889652,0.02327630383,0.0001734285578,C/S
C012,2021-05-18,full,P-H01,9,385.6129522,183.7679593,57.99118286,1.355939923,0.01613551514,5.038543275e-05,C/S
C012,2021-05-18,full,P-H02,9,397.1879634,182.5882001,40.26384475,4.272574156,0.06131102048,9.163936914e-05,C/S
C012,2021-05-18,full,P-H03,9,641.1348937,333.929871,60.8429903,3.649400161,0.0720309208,0.000177789358,C/S
C012,2021-05-18,full,P-H04,9,701.2367313,218.4800266,32.40512459,4.629152523,0.05451833653,0.0001620840422,C/S
C012,2021-05-18,full,P-H05,9,1579.612527,981.5991438,44.30322179,4.457254621,0.04128416664,0.000343887245,C/S
