anchor_id,anchor_type,provenance,source_file,class_id,panel_or_block,name,caption,x_local_m,y_local_m,source_location,source_quality,block,zone,lithology,depth_roof_m,depth_alt_m,bed_thickness_m,chamber_width_m,pillar_width_m,load_coeff,axial_distance_m,mining_interval,fill_interval,fill_type,mining_method,disp_mean_mm,disp_min_mm,disp_max_mm,natural_factor
COORD-01,coordinate,P,ВКР_Филатова_М_С.docx,92280000,60,138,КрII 0.36,24700.24467,41936.96624,Рисунок 14,exact_transcription,,,,,,,,,,,,,,,,,,
COORD-02,coordinate,P,ВКР_Филатова_М_С.docx,92280000,28,209,КрII,23312.60481,41892.59055,Рисунок 14,exact_transcription,,,,,,,,,,,,,,,,,,
COORD-03,coordinate,P,ВКР_Филатова_М_С.docx,92280000,68,146,КрII 0.34,24643.84888,42252.19899,Рисунок 14,exact_transcription,,,,,,,,,,,,,,,,,,
COORD-04,coordinate,P,ВКР_Филатова_М_С.docx,92292000,1 ВП,4,"Вк: 0.3, Кр-2: 0.22",27226.78022,40430.63224,Рисунок 14,exact_transcription,,,,,,,,,,,,,,,,,,
COORD-05,coordinate,P,ВКР_Филатова_М_С.docx,92292000,1 ВП,3,"Вк: 0.27, Кр-2: 0.23",26977.16358,40429.96277,Рисунок 14,exact_transcription,,,,,,,,,,,,,,,,,,
COORD-06,coordinate,P,ВКР_Филатова_М_С.docx,92292000,1 ВП,2,"Вк: 0.26, Кр-2: 0.24",26666.67746,40429.58647,Рисунок 14,exact_transcription,,,,,,,,,,,,,,,,,,
COORD-07,coordinate,P,ВКР_Филатова_М_С.docx,92292000,1 ВП,1,"Вк: 0.27, Кр-2: 0.22",26336.50615,40428.85001,Рисунок 14,exact_transcription,,,,,,,,,,,,,,,,,,
COORD-08,coordinate,P,ВКР_Филатова_М_С.docx,92292000,1 ВП,5,"Вк: 0.3, Кр-2: 0.23",27398.72564,40429.90029,Рисунок 14,exact_transcription,,,,,,,,,,,,,,,,,,
GEOM-01,mining_geometry,P,ВКР_Филатова_М_С.docx,,1 СЗП,,,,,Рисунок 15,exact_transcription,6,2,АБ,301.9,,3.19,5.5,6.4,,,,,,,,,,
GEOM-02,mining_geometry,P,ВКР_Филатова_М_С.docx,,1 СЗП,,,,,Рисунок 15,exact_transcription,6,2,КпII,310.8,312.3,5.49,5.5,6.4,,,,,,,,,,
GEOM-03,mining_geometry,P,ВКР_Филатова_М_С.docx,,1 СЗП,,,,,Рисунок 15,exact_transcription,6,2',КпII,307,,5.3,5.5,6.4,,,,,,,,,,
TECH-01,mining_technical,P,ВКР_Филатова_М_С.docx,,18П блок,,,,,Рисунок 17,exact_transcription,208,,,260,,,15,12,0.33,27,1955–1957,1978–1980,сухая,БВР,,,,
