published_row_id,row_index_in_figure,provenance,anchor_id,class_id,panel_or_block,x_local_m,y_local_m,source_location,source_quality,block,lithology,natural_factor,tech_anchor_id,tech_panel_or_block,tech_source_location,tech_source_quality,tech_block,depth_roof_m,chamber_width_m,pillar_width_m,load_coeff,axial_distance_m,mining_interval,fill_interval,fill_type,mining_method,disp_anchor_id,disp_panel_or_block,disp_source_location,disp_source_quality,disp_block,disp_mean_mm,disp_min_mm,disp_max_mm
PUBROW-01,1,P,NAT-01,92280000,18П блок,23178.5,41913.4,Рисунок 16,visible_transcription,208,КрII,Аномальная зона I группы (№1) на уровне кровли ВЗТ,TECH-01,18П блок,Рисунок 17,exact_transcription,208,260,15,12,0.33,27,1955–1957,1978–1980,сухая,БВР,DISP-01,18П блок,Рисунок 18,exact_transcription,208,195.35,100.016,408.821
PUBROW-02,2,P,NAT-02,92280000,18П блок,23057.4,41891.9,Рисунок 16,visible_transcription,207,АБ,Аномальная зона I группы (№1) на уровне кровли ВЗТ,TECH-02,18П блок,Рисунок 17,exact_transcription,207,246,15,12,0.27,27,1956–1957,1978–1981,сухая,БВР,DISP-02,18П блок,Рисунок 18,exact_transcription,207,170.135,100.008,281.119
PUBROW-03,3,P,NAT-03,92280000,18П блок,23057.4,41891.9,Рисунок 16,visible_transcription,207,КрII,Аномальная зона I группы (№1) на уровне кровли ВЗТ,TECH-03,18П блок,Рисунок 17,exact_transcription,207,260,15,12,0.33,27,1955–1957,1978–1980,сухая,БВР,DISP-03,18П блок,Рисунок 18,exact_transcription,207,170.135,100.008,281.119
PUBROW-04,4,P,NAT-04,92280000,3П блок,23989.5,40379,Рисунок 16,visible_transcription,88,КрII,Зона влияния аномалии I группы (№2),TECH-04,3П блок,Рисунок 17,exact_or_source_truncated,88,300,15,12,0.2,27,1935–1939,"1989–1999, 20…",сухая/гидро,БВР,DISP-04,3П блок,Рисунок 18,exact_transcription,88,179.612,100.002,304.108
PUBROW-05,5,P,NAT-05,92280000,19П блок,24040.1,40453.2,Рисунок 16,visible_transcription,88,КрII,Зона влияния аномалии I группы (№2),TECH-05,19П блок,Рисунок 17,exact_transcription,88,265,15,12,0.2,27,1934–1935,2016–2017,сухая,БВР,DISP-05,19П блок,Рисунок 18,exact_transcription,88,179.612,100.002,304.108
PUBROW-06,6,P,NAT-06,92280000,55П блок,25023.2,40673.1,Рисунок 16,visible_transcription,98,КрII,Зона влияния аномалии I группы (№2),TECH-06,55П блок,Рисунок 17,exact_transcription,98,205,16,11,0.25,27,1969–1971,"1994, 2002",сухая,комбайн+БВР,DISP-06,55П блок,Рисунок 18,exact_transcription,98,246.316,100.001,600.284
PUBROW-07,7,P,NAT-07,92291000,76П блок,25043.5,40971.6,Рисунок 16,visible_transcription,110,КрII,Зона влияния аномалии I группы (№2),TECH-07,76П блок,Рисунок 17,exact_or_source_truncated,110,195,16,11,0.212,27,1965–1970,"1997–2002, 20…",сухая/гидро,комбайн+БВР,DISP-07,76П блок,Рисунок 18,exact_transcription,110,284.252,100.24,403.494
PUBROW-08,8,P,NAT-08,92280000,46П блок,23984.2,41114.5,Рисунок 16,visible_transcription,106,АБ,Зона влияния аномалии I группы (№2),TECH-08,46П блок,Рисунок 17,exact_transcription,106,190,15,12,0.14,27,1961,2011–2012,гидро,БВР,DISP-08,46П блок,Рисунок 18,exact_transcription,106,220.325,141.391,283.09
PUBROW-09,9,P,NAT-09,92280000,46П блок,23984.2,41114.5,Рисунок 16,visible_transcription,106,КрII,Зона влияния аномалии I группы (№2),TECH-09,46П блок,Рисунок 17,exact_transcription,106,200,15,12,0.15,27,1962,2012,гидро,БВР,,,,,,,,
PUBROW-10,10,P,NAT-10,92280000,54П блок,24446.1,41283.1,Рисунок 16,visible_transcription,118,КрII,Зона влияния аномалии I группы (№2),TECH-10,54П блок,Рисунок 17,exact_or_source_truncated,118,229,15,12,0.26,27,1962–1965,"1996–1998, 20…",сухая/гидро,БВР,,,,,,,,
PUBROW-11,11,P,NAT-11,92280000,46П блок,24152.9,41088.1,Рисунок 16,visible_transcription,107,КрII,Зона влияния аномалии I группы (№2),TECH-11,46П блок,Рисунок 17,exact_transcription,107,200,15,12,0.15,27,1961–1962,2012,гидро,БВР,,,,,,,,
PUBROW-12,12,P,NAT-12,92280000,52П блок,24538.7,41637.7,Рисунок 16,visible_transcription,127,КрII,Зона влияния аномалии I группы (№2),TECH-12,52П блок,Рисунок 17,exact_transcription,127,250,15,12,0.3,27,1957–1959,"1996, 2011",сухая/гидро,БВР,,,,,,,,
PUBROW-13,13,P,TECH-13,,57П блок,,,Рисунок 17,exact_transcription,101,,,,,,,,195,5,8.5,0.277,13.5,1989–1991,1989–1991,сухая,БВР,,,,,,,,
PUBROW-14,14,P,TECH-14,,57П блок,,,Рисунок 17,exact_or_source_truncated,101,,,,,,,,220,16,11,0.303,27,1958–1959,"1971–1972, 1993–1998, 20…",сухая/гидро,комбайн+БВР,,,,,,,,
