campaign_id,date,year,day_of_year,campaign_type,interval_days_from_previous,long_gap_flag,provenance,n_points_targeted,n_points_observed,n_points_missing,coverage_fraction_total,coverage_fraction_targeted
C001,2018-05-15,2018,135,full,,False,S,126,122,4,0.9682539683,0.9682539683
C002,2018-07-10,2018,191,focused,56,False,S,18,18,0,0.1428571429,1
C003,2018-10-16,2018,289,full,98,False,S,126,120,6,0.9523809524,0.9523809524
C004,2019-02-12,2019,43,focused,119,False,S,18,14,4,0.1111111111,0.7777777778
C005,2019-05-14,2019,134,full,91,False,S,126,123,3,0.9761904762,0.9761904762
C006,2019-08-27,2019,239,focused,105,False,S,18,18,0,0.1428571429,1
C007,2019-11-05,2019,309,full,70,False,S,126,123,3,0.9761904762,0.9761904762
C008,2020-04-21,2020,112,full,168,False,S,126,121,5,0.9603174603,0.9603174603
C009,2020-06-02,2020,154,focused,42,False,S,21,21,0,0.1666666667,1
C010,2020-10-20,2020,294,full,140,False,S,126,121,5,0.9603174603,0.9603174603
C011,2021-01-26,2021,26,focused,98,False,S,18,18,0,0.1428571429,1
C012,2021-05-18,2021,138,full,112,False,S,126,124,2,0.9841269841,0.9841269841
C013,2021-07-13,2021,194,focused,56,False,S,18,17,1,0.1349206349,0.9444444444
C014,2021-11-02,2021,306,full,112,False,S,126,120,6,0.9523809524,0.9523809524
C015,2022-03-01,2022,60,focused,119,False,S,18,18,0,0.1428571429,1
C016,2022-05-17,2022,137,full,77,False,S,126,123,3,0.9761904762,0.9761904762
C017,2022-07-19,2022,200,focused,63,False,S,21,20,1,0.1587301587,0.9523809524
C018,2022-10-18,2022,291,full,91,False,S,126,118,8,0.9365079365,0.9365079365
C019,2023-01-17,2023,17,focused,91,False,S,18,18,0,0.1428571429,1
C020,2023-05-16,2023,136,full,119,False,S,126,119,7,0.9444444444,0.9444444444
C021,2023-07-25,2023,206,focused,70,False,S,18,18,0,0.1428571429,1
C022,2023-11-07,2023,311,full,105,False,S,126,119,7,0.9444444444,0.9444444444
C023,2024-01-30,2024,30,focused,84,False,S,18,18,0,0.1428571429,1
C024,2024-05-14,2024,135,full,105,False,S,126,120,6,0.9523809524,0.9523809524
C025,2024-07-09,2024,191,focused,56,False,S,21,20,1,0.1587301587,0.9523809524
C026,2024-09-03,2024,247,focused,56,False,S,18,18,0,0.1428571429,1
C027,2025-07-22,2025,203,full,322,True,S,126,115,11,0.9126984127,0.9126984127
C028,2025-08-26,2025,238,focused,35,False,S,18,15,3,0.119047619,0.8333333333
C029,2025-11-04,2025,308,full,70,False,S,126,118,8,0.9365079365,0.9365079365
