campaign_id,date,profile_id,left_point_id,right_point_id,mid_chainage_m,interval_length_m,tilt_mm_m,standard_uncertainty_tilt_mm_m,provenance
C001,2018-05-15,P-D01,P-D01-REF-A,P-D01-W001,-175,350,0.3125154654,0.002632741418,C/S
C001,2018-05-15,P-D01,P-D01-W001,P-D01-W002,38.37672505,76.75345009,0.7790974151,0.01306962059,C/S
C001,2018-05-15,P-D01,P-D01-W002,P-D01-W003,108.2730652,63.03923029,3.960927848,0.0162769289,C/S
C001,2018-05-15,P-D01,P-D01-W003,P-D01-W004,189.4115846,99.23780835,0.01357143793,0.01051592551,C/S
C001,2018-05-15,P-D01,P-D01-W004,P-D01-W005,274.8264211,71.5918648,-3.286075808,0.01470537226,C/S
C001,2018-05-15,P-D01,P-D01-W005,P-D01-W006,356.5780266,91.91134609,-0.00692459911,0.01140067652,C/S
C001,2018-05-15,P-D01,P-D01-W006,P-D01-W007,442.9141823,80.76096539,-1.665156776,0.01274005695,C/S
C001,2018-05-15,P-D01,P-D01-W007,P-D01-REF-B,658.294665,350,-0.1404745791,0.002673520707,C/S
C001,2018-05-15,P-H01,P-H01-REF-A,P-H01-W001,-175,350,0.1181376847,0.002725059577,C/S
C001,2018-05-15,P-H01,P-H01-W001,P-H01-W002,73.92911522,147.8582304,-0.1455680479,0.007322177111,C/S
C001,2018-05-15,P-H01,P-H01-W002,P-H01-W003,240.3844841,185.0525074,1.208779833,0.006175692107,C/S
C001,2018-05-15,P-H01,P-H01-W003,P-H01-W004,395.4295049,125.0375342,-1.513145392,0.009410969162,C/S
C001,2018-05-15,P-H01,P-H01-W004,P-H01-W005,540.8664779,165.8364117,0.7765142321,0.007121032746,C/S
C001,2018-05-15,P-H01,P-H01-W005,P-H01-W006,703.5740133,159.5786591,-0.2614660629,0.00728754427,C/S
C001,2018-05-15,P-H01,P-H01-W006,P-H01-W007,869.0252919,171.323898,-0.2379002346,0.006500247405,C/S
C001,2018-05-15,P-H01,P-H01-W007,P-H01-REF-B,1129.687241,350,-0.2912469918,0.002772034937,C/S
C001,2018-05-15,P-H02,P-H02-REF-A,P-H02-W001,-175,350,0.3259607031,0.003808920425,C/S
C001,2018-05-15,P-H02,P-H02-W001,P-H02-W002,47.89781264,95.79562529,1.764838916,0.01592948777,C/S
C001,2018-05-15,P-H02,P-H02-W002,P-H02-W003,136.0685501,80.5458496,-2.166425537,0.01937656599,C/S
C001,2018-05-15,P-H02,P-H02-W003,P-H02-W004,213.5831865,74.48342325,-0.5815448347,0.02110699046,C/S
C001,2018-05-15,P-H02,P-H02-W004,P-H02-W005,309.3479592,117.046122,-0.4843769131,0.01334691592,C/S
C001,2018-05-15,P-H02,P-H02-W005,P-H02-W006,398.721184,61.70032766,3.028439055,0.02495165071,C/S
C001,2018-05-15,P-H02,P-H02-W006,P-H02-W007,481.9169313,104.691167,-0.3030479775,0.01427367679,C/S
C001,2018-05-15,P-H02,P-H02-W007,P-H02-REF-B,709.2625148,350,-0.466757863,0.003596316217,C/S
C001,2018-05-15,P-H03,P-H03-REF-A,P-H03-W001,-175,350,0.2294513727,0.002653987059,C/S
C001,2018-05-15,P-H03,P-H03-W001,P-H03-W002,43.7274154,87.45483081,1.244785534,0.01165393568,C/S
C001,2018-05-15,P-H03,P-H03-W002,P-H03-W003,105.8990495,36.88843745,-0.7134936334,0.02819144852,C/S
