campaign_id,date,campaign_type,interval_days_from_previous,long_gap_flag,n_points_targeted,n_points_observed,n_points_missing,coverage_fraction_total,coverage_fraction_targeted
C001,2018-05-15,full,,False,126,122,4,0.9682539683,0.9682539683
C002,2018-07-10,focused,56.0,False,18,18,0,0.1428571429,1.0
C003,2018-10-16,full,98.0,False,126,120,6,0.9523809524,0.9523809524
C004,2019-02-12,focused,119.0,False,18,14,4,0.1111111111,0.7777777778
C005,2019-05-14,full,91.0,False,126,123,3,0.9761904762,0.9761904762
C006,2019-08-27,focused,105.0,False,18,18,0,0.1428571429,1.0
C007,2019-11-05,full,70.0,False,126,123,3,0.9761904762,0.9761904762
C008,2020-04-21,full,168.0,False,126,121,5,0.9603174603,0.9603174603
C009,2020-06-02,focused,42.0,False,21,21,0,0.1666666667,1.0
C010,2020-10-20,full,140.0,False,126,121,5,0.9603174603,0.9603174603
C011,2021-01-26,focused,98.0,False,18,18,0,0.1428571429,1.0
C012,2021-05-18,full,112.0,False,126,124,2,0.9841269841,0.9841269841
C013,2021-07-13,focused,56.0,False,18,17,1,0.1349206349,0.9444444444
C014,2021-11-02,full,112.0,False,126,120,6,0.9523809524,0.9523809524
C015,2022-03-01,focused,119.0,False,18,18,0,0.1428571429,1.0
C016,2022-05-17,full,77.0,False,126,123,3,0.9761904762,0.9761904762
C017,2022-07-19,focused,63.0,False,21,20,1,0.1587301587,0.9523809524
C018,2022-10-18,full,91.0,False,126,118,8,0.9365079365,0.9365079365
C019,2023-01-17,focused,91.0,False,18,18,0,0.1428571429,1.0
C020,2023-05-16,full,119.0,False,126,119,7,0.9444444444,0.9444444444
C021,2023-07-25,focused,70.0,False,18,18,0,0.1428571429,1.0
C022,2023-11-07,full,105.0,False,126,119,7,0.9444444444,0.9444444444
C023,2024-01-30,focused,84.0,False,18,18,0,0.1428571429,1.0
C024,2024-05-14,full,105.0,False,126,120,6,0.9523809524,0.9523809524
C025,2024-07-09,focused,56.0,False,21,20,1,0.1587301587,0.9523809524
C026,2024-09-03,focused,56.0,False,18,18,0,0.1428571429,1.0
C027,2025-07-22,full,322.0,True,126,115,11,0.9126984127,0.9126984127
C028,2025-08-26,focused,35.0,False,18,15,3,0.119047619,0.8333333333
C029,2025-11-04,full,70.0,False,126,118,8,0.9365079365,0.9365079365
