feature,split,category,fraction,n
current_campaign_type,test,full,0.7885714285714286,175
current_campaign_type,test,focused,0.21142857142857144,175
current_campaign_type,train,full,0.8715697036223929,911
current_campaign_type,train,focused,0.12843029637760703,911
current_campaign_type,validation,full,0.9,130
current_campaign_type,validation,focused,0.1,130
target_campaign_type,test,full,0.9485714285714286,175
target_campaign_type,test,focused,0.05142857142857143,175
target_campaign_type,train,full,0.8770581778265643,911
target_campaign_type,train,focused,0.12294182217343579,911
target_campaign_type,validation,full,0.676923076923077,130
target_campaign_type,validation,focused,0.3230769230769231,130
lithology,test,carnallite,0.5428571428571428,175
lithology,test,mixed_salts,0.2,175
lithology,test,sylvinite,0.1657142857142857,175
lithology,test,replacement_rock_salt,0.09142857142857143,175
lithology,train,carnallite,0.5806805708013172,911
lithology,train,mixed_salts,0.21295279912184412,911
lithology,train,sylvinite,0.11855104281009879,911
lithology,train,replacement_rock_salt,0.08781558726673985,911
lithology,validation,carnallite,0.6076923076923076,130
lithology,validation,mixed_salts,0.2230769230769231,130
lithology,validation,sylvinite,0.11538461538461539,130
lithology,validation,replacement_rock_salt,0.05384615384615385,130
kzt__provenance,test,D,0.6742857142857143,175
kzt__provenance,test,R,0.32571428571428573,175
kzt__provenance,train,D,0.6498353457738749,911
kzt__provenance,train,R,0.35016465422612514,911
kzt__provenance,validation,D,0.6538461538461539,130
kzt__provenance,validation,R,0.34615384615384615,130
ko__provenance,test,D,0.8457142857142858,175
ko__provenance,test,R,0.15428571428571428,175
ko__provenance,train,D,0.8342480790340285,911
ko__provenance,train,R,0.16575192096597147,911
ko__provenance,validation,D,0.8,130
ko__provenance,validation,R,0.2,130
seismic_energy_J_m2__provenance,test,D,0.7942857142857143,175
seismic_energy_J_m2__provenance,test,R,0.2057142857142857,175
seismic_energy_J_m2__provenance,train,D,0.747530186608123,911
seismic_energy_J_m2__provenance,train,R,0.2524698133918771,911
seismic_energy_J_m2__provenance,validation,D,0.7384615384615385,130
seismic_energy_J_m2__provenance,validation,R,0.26153846153846155,130
