field,dtype,missing_n,missing_fraction,unique_n
lithology__standard_uncertainty,float64,1274,1.0,0
terrain_TRI_relative,float64,413,0.3241758241758242,51
terrain_roughness_relative,float64,413,0.3241758241758242,59
chainage_m,float64,0,0.0,85
chainage_normalized_profile,float64,0,0.0,98
current_campaign_id,object,0,0.0,26
current_campaign_type,object,0,0.0,2
current_date,datetime64[ns],0,0.0,26
current_standard_uncertainty_mm,float64,0,0.0,1274
days_since_previous_observation,int64,0,0.0,38
fault_distance_m,float64,0,0.0,93
fault_distance_m__donor_distance_m,float64,0,0.0,98
fault_distance_m__provenance,object,0,0.0,1
fault_distance_m__standard_uncertainty,int64,0,0.0,1
fill_density,float64,0,0.0,50
fill_density__donor_distance_m,float64,0,0.0,98
fill_density__provenance,object,0,0.0,1
fill_density__standard_uncertainty,float64,0,0.0,1
forecast_horizon_days,int64,0,0.0,38
ko,float64,0,0.0,41
ko__donor_distance_m,float64,0,0.0,7
ko__provenance,object,0,0.0,2
ko__standard_uncertainty,float64,0,0.0,7
kzt,float64,0,0.0,63
kzt__donor_distance_m,float64,0,0.0,18
kzt__provenance,object,0,0.0,2
kzt__standard_uncertainty,float64,0,0.0,18
last_rate_mm_y,float64,0,0.0,1274
last_settlement_mm,float64,0,0.0,1274
lithology,object,0,0.0,4
lithology__donor_distance_m,float64,0,0.0,8
lithology__provenance,object,0,0.0,2
mean_last_3_rates_mm_y,float64,0,0.0,1274
missing_campaigns_since_previous,int64,0,0.0,6
n_history,int64,0,0.0,18
point_id,object,0,0.0,98
profile_id,object,0,0.0,14
profile_mean_rate_mm_y,float64,0,0.0,197
profile_mean_settlement_mm,float64,0,0.0,197
profile_n_observed,int64,0,0.0,4
profile_rate_std_mm_y,float64,0,0.0,197
recent_acceleration_mm_y2,float64,0,0.0,1274
sample_id,object,0,0.0,1274
seismic_energy_J_m2,float64,0,0.0,6
seismic_energy_J_m2__donor_distance_m,float64,0,0.0,13
seismic_energy_J_m2__provenance,object,0,0.0,2
seismic_energy_J_m2__standard_uncertainty,float64,0,0.0,13
split,object,0,0.0,3
std_last_3_rates_mm_y,float64,0,0.0,1274
target_campaign_id,object,0,0.0,26
target_date,datetime64[ns],0,0.0,26
terrain_TRI_relative__donor_distance_m,float64,0,0.0,98
terrain_TRI_relative__provenance,object,0,0.0,1
terrain_TRI_relative__standard_uncertainty,float64,0,0.0,1
terrain_roughness_relative__donor_distance_m,float64,0,0.0,98
terrain_roughness_relative__provenance,object,0,0.0,1
terrain_roughness_relative__standard_uncertainty,float64,0,0.0,1
