split,target,model,n,MAE_increment_mm,RMSE_increment_mm,R2_increment,Bias_increment_mm,MAE_rate_mm_y,RMSE_rate_mm_y
validation,observed,Last rate,130,2.801257477085761,4.693511980979622,0.9191995730613729,-1.3288527372662278,7.310921751300671,11.07127276652773
validation,observed,Mean last 3 rates,130,3.6293127488229278,7.1899576686787,0.810385973436369,-1.9408685613764112,9.211754931518552,16.480730959317732
validation,observed,Kalman q=250,130,2.968528227658166,5.095627016067974,0.9047613881110887,-1.3778881239890408,7.6626090475837785,11.851576049986464
validation,hidden_truth,Last rate,130,2.3947503325701467,4.5996457226261525,0.9233651764866102,-1.309806933523461,6.124462073081566,10.424911919000762
validation,hidden_truth,Mean last 3 rates,130,3.177259272874583,7.101448582436371,0.8173282915423414,-1.9218227576336444,7.80390352874837,16.102996598236746
validation,hidden_truth,Kalman q=250,130,2.4345959950668474,4.978510492181523,0.9102206927028892,-1.3588423202462743,6.063651843967441,11.103197422832917
test,observed,Last rate,175,6.3093169611634075,14.025133478563877,0.8455292263654874,-3.530351790500087,10.134764846978781,19.877726895116904
test,observed,Mean last 3 rates,175,7.558865694243676,17.49434096245966,0.7596592077031575,-5.178616104320473,12.788565830796136,25.645111732387928
test,observed,Kalman q=250,175,6.178819335365203,13.729172961416696,0.8519797722954694,-3.1537517074055748,10.013790804186106,19.407292133702406
test,hidden_truth,Last rate,175,5.939703452722376,13.88557982006521,0.847759408221955,-3.3437404957548904,8.864663495393494,19.822737484454287
test,hidden_truth,Mean last 3 rates,175,7.251302024764855,17.35620679201031,0.7621451251719015,-4.992004809575276,11.745479627921268,25.576290936777863
test,hidden_truth,Kalman q=250,175,5.814907191595151,13.558476246055125,0.8548476090220185,-2.9671404126603775,8.965784870542032,19.379033542508967
