split,horizon_bin_days,n,rate_median_mm_y,rate_p95_mm_y,rate_uncertainty_median_mm_y,target_noise_mae_mm
test,221-365,14,35.371272631094705,153.1687879701242,1.418554680279633,0.34394676533335755
test,91-150,72,25.17958872467851,141.92762993499994,3.9292780369246367,0.976264163035855
test,<=90,20,138.44872343303587,162.45345262542943,7.384033057470148,0.8253985668741926
test,>365,69,27.920557128769826,130.31097754458528,1.123465156626786,0.9348532036839728
train,151-220,682,28.646704086999982,65.64366587703122,2.462096206395013,0.9796910118712495
train,91-150,149,34.60392483857142,118.42397018527792,4.00755070004335,0.900821561919261
train,<=90,80,36.92650165543829,82.25467630316066,5.995750481302575,1.0222733693015094
validation,151-220,75,26.768442773015913,128.75137952146824,2.7204513339104412,0.9148698164283939
validation,91-150,27,37.092697965401776,153.67237092462042,4.6563786815338135,1.0639545307821563
validation,<=90,28,38.13608883437509,153.03235992718723,7.508952949832539,0.748355195391709
