feature,comparison,train_n,comparison_n,train_mean,comparison_mean,standardized_mean_difference,abs_smd
n_history,train_vs_test,911,175,7.549945115257958,14.68,2.611785143590163,2.611785143590163
days_since_previous_observation,train_vs_test,911,175,170.17453347969266,277.08,0.933300054047414,0.933300054047414
forecast_horizon_days,train_vs_test,911,175,159.34028540065862,242.44,0.706844580908986,0.706844580908986
missing_campaigns_since_previous,train_vs_test,911,175,0.7244785949506037,1.2228571428571429,0.671536199031189,0.671536199031189
terrain_TRI_relative__standard_uncertainty,train_vs_test,911,175,0.09999999999999999,0.09999999999999998,-0.6309375929484163,0.6309375929484163
terrain_roughness_relative__standard_uncertainty,train_vs_test,911,175,0.09999999999999999,0.09999999999999998,-0.6309375929484163,0.6309375929484163
profile_rate_std_mm_y,train_vs_test,911,175,20.90299336931065,32.528383329217135,0.6246065339984166,0.6246065339984166
profile_mean_rate_mm_y,train_vs_test,911,175,24.69794960533721,32.95758550458629,0.45608475393323145,0.45608475393323145
profile_n_observed,train_vs_test,911,175,8.646542261251373,8.337142857142856,-0.4218664127560373,0.4218664127560373
profile_mean_settlement_mm,train_vs_test,911,175,322.6604800282766,433.4898135154285,0.37656852952805864,0.37656852952805864
last_settlement_mm,train_vs_test,911,175,419.03183810283076,578.2585013313715,0.3634601093038416,0.3634601093038416
last_rate_mm_y,train_vs_test,911,175,31.97445301234346,44.04566060629017,0.32395416885545225,0.32395416885545225
recent_acceleration_mm_y2,train_vs_test,911,175,-0.3449458456357398,10.0750535317376,0.2879655180875917,0.2879655180875917
mean_last_3_rates_mm_y,train_vs_test,911,175,32.52054638551887,40.53052446953085,0.23229890146635807,0.23229890146635807
std_last_3_rates_mm_y,train_vs_test,911,175,4.071864236108276,5.303886026451201,0.21133852617358265,0.21133852617358265
current_standard_uncertainty_mm,train_vs_test,911,175,0.8650803177455544,0.9044450562805714,0.16142143434562897,0.16142143434562897
seismic_energy_J_m2__donor_distance_m,train_vs_test,911,175,17.636804742535674,13.57736712662857,-0.12847184304972634,0.12847184304972634
seismic_energy_J_m2__standard_uncertainty,train_vs_test,911,175,1.6087846045257954,1.5283213456228564,-0.11819786515202163,0.11819786515202163
fault_distance_m,train_vs_test,911,175,249.04783349469812,271.09809820068,0.09855028414785179,0.09855028414785179
kzt__donor_distance_m,train_vs_test,911,175,34.246822096816686,29.061635913028574,-0.09657760499834522,0.09657760499834522
kzt__standard_uncertainty,train_vs_test,911,175,0.048684760470439084,0.047072718888742864,-0.070795051161146,0.070795051161146
terrain_roughness_relative,train_vs_test,629,116,0.36838845766282985,0.3549583051615517,-0.06364369792788525,0.06364369792788525
kzt,train_vs_test,911,175,0.44103174109045,0.4320896263057143,-0.05855134888157437,0.05855134888157437
fill_density,train_vs_test,911,175,0.6273189941695697,0.6076505324114742,-0.05473321982998785,0.05473321982998785
lithology__donor_distance_m,train_vs_test,911,175,5.027784107189902,5.869418638571429,0.05329576710324807,0.05329576710324807
chainage_normalized_profile,train_vs_test,911,175,0.5005184234286497,0.5080532585885714,0.05254961019560712,0.05254961019560712
chainage_m,train_vs_test,911,175,270.15677130425905,279.09316999171426,0.04253129906186988,0.04253129906186988
terrain_TRI_relative,train_vs_test,629,116,0.25941529765432436,0.26724137931432757,0.03842825523621701,0.03842825523621701
ko__standard_uncertainty,train_vs_test,911,175,0.017051393320318336,0.016895725394628573,-0.022699220916380422,0.022699220916380422
fill_density__donor_distance_m,train_vs_test,911,175,19.22401544085071,19.068668980977144,-0.021491996178788116,0.021491996178788116
fault_distance_m__donor_distance_m,train_vs_test,911,175,19.22401544085071,19.068668980977144,-0.021491996178788116,0.021491996178788116
terrain_TRI_relative__donor_distance_m,train_vs_test,911,175,19.22401544085071,19.068668980977144,-0.021491996178788116,0.021491996178788116
terrain_roughness_relative__donor_distance_m,train_vs_test,911,175,19.22401544085071,19.068668980977144,-0.021491996178788116,0.021491996178788116
ko,train_vs_test,911,175,0.48985639832173444,0.4890490642388571,-0.007176894865908583,0.007176894865908583
seismic_energy_J_m2,train_vs_test,911,175,15.980650765565313,16.033333333314285,0.0054287159210625905,0.0054287159210625905
ko__donor_distance_m,train_vs_test,911,175,10.440948952568606,10.510362778057143,0.00267609702474599,0.00267609702474599
fill_density__standard_uncertainty,train_vs_test,911,175,0.08,0.08,,
fault_distance_m__standard_uncertainty,train_vs_test,911,175,25.0,25.0,,
n_history,train_vs_validation,911,130,7.549945115257958,13.569230769230769,2.331412291261666,2.331412291261666
profile_rate_std_mm_y,train_vs_validation,911,130,20.90299336931065,34.91921551427692,0.8594166929130318,0.8594166929130318
profile_mean_rate_mm_y,train_vs_validation,911,130,24.69794960533721,31.83161384468462,0.4966111691700972,0.4966111691700972
current_standard_uncertainty_mm,train_vs_validation,911,130,0.8650803177455544,0.9499096155546154,0.3584219028935833,0.3584219028935833
last_rate_mm_y,train_vs_validation,911,130,31.97445301234346,41.998235012036155,0.28480360977164887,0.28480360977164887
forecast_horizon_days,train_vs_validation,911,130,159.34028540065862,146.6769230769231,-0.264369717656309,0.264369717656309
std_last_3_rates_mm_y,train_vs_validation,911,130,4.071864236108276,5.4207887615430765,0.24966657441953086,0.24966657441953086
seismic_energy_J_m2,train_vs_validation,911,130,15.980650765565313,18.38251240523077,0.24578378904554213,0.24578378904554213
mean_last_3_rates_mm_y,train_vs_validation,911,130,32.52054638551887,40.33674510395,0.24167377107613025,0.24167377107613025
