campaign_id,date,campaign_type,point_id,profile_id,point_type,targeted,observed,membership_status,missing_reason,target_reason,selection_score,provenance
C005,2019-05-14,full,P-H04-REF-A,P-H04,REF,True,True,observed,,full_network_cycle,1.0,S
C005,2019-05-14,full,P-H04-W001,P-H04,WORK,True,True,observed,,full_network_cycle,1.0,S
C005,2019-05-14,full,P-H04-W002,P-H04,WORK,True,True,observed,,full_network_cycle,1.0,S
C005,2019-05-14,full,P-H04-W003,P-H04,WORK,True,True,observed,,full_network_cycle,1.0,S
C005,2019-05-14,full,P-H04-W004,P-H04,WORK,True,True,observed,,full_network_cycle,1.0,S
C005,2019-05-14,full,P-H04-W005,P-H04,WORK,True,True,observed,,full_network_cycle,1.0,S
C005,2019-05-14,full,P-H04-W006,P-H04,WORK,True,True,observed,,full_network_cycle,1.0,S
C005,2019-05-14,full,P-H04-W007,P-H04,WORK,True,True,observed,,full_network_cycle,1.0,S
C005,2019-05-14,full,P-H04-REF-B,P-H04,REF,True,True,observed,,full_network_cycle,1.0,S
C010,2020-10-20,full,P-H07-REF-A,P-H07,REF,True,True,observed,,full_network_cycle,1.0,S
C010,2020-10-20,full,P-H07-W001,P-H07,WORK,True,True,observed,,full_network_cycle,1.0,S
C010,2020-10-20,full,P-H07-W002,P-H07,WORK,True,True,observed,,full_network_cycle,1.0,S
C010,2020-10-20,full,P-H07-W003,P-H07,WORK,True,True,observed,,full_network_cycle,1.0,S
C010,2020-10-20,full,P-H07-W004,P-H07,WORK,True,True,observed,,full_network_cycle,1.0,S
C010,2020-10-20,full,P-H07-W005,P-H07,WORK,True,True,observed,,full_network_cycle,1.0,S
C010,2020-10-20,full,P-H07-W006,P-H07,WORK,True,True,observed,,full_network_cycle,1.0,S
C010,2020-10-20,full,P-H07-W007,P-H07,WORK,True,True,observed,,full_network_cycle,1.0,S
C010,2020-10-20,full,P-H07-REF-B,P-H07,REF,True,True,observed,,full_network_cycle,1.0,S
