feature,target,n,pearson,spearman
kzt,persistence_residual_observed_mm_y,1274,0.013487501135825388,0.010422020812937449
kzt,persistence_residual_true_mm_y,1274,0.010313539299398683,-0.013521515920999275
ko,persistence_residual_observed_mm_y,1274,0.06903553084065531,0.0019180164760225472
ko,persistence_residual_true_mm_y,1274,0.0786869038266142,0.0017908483959056714
seismic_energy_J_m2,persistence_residual_observed_mm_y,1274,-0.017178258310748734,0.018820241410363005
seismic_energy_J_m2,persistence_residual_true_mm_y,1274,-0.033774903846174514,0.012596389146962025
fill_density,persistence_residual_observed_mm_y,1274,-0.08020500199525116,0.013258930057169651
fill_density,persistence_residual_true_mm_y,1274,-0.0975593736006755,0.033395699356155266
fault_distance_m,persistence_residual_observed_mm_y,1274,-0.030009357612184477,0.019432234157234916
fault_distance_m,persistence_residual_true_mm_y,1274,-0.03799088975632641,0.04596038341353938
terrain_TRI_relative,persistence_residual_observed_mm_y,861,0.031159664605815648,0.014400875741486751
terrain_TRI_relative,persistence_residual_true_mm_y,861,0.037375683586609976,0.04077155323710192
terrain_roughness_relative,persistence_residual_observed_mm_y,861,-0.0011135914579936393,-0.0011070174474341284
terrain_roughness_relative,persistence_residual_true_mm_y,861,0.0039490303224822745,0.030669504726956193
recent_acceleration_mm_y2,persistence_residual_observed_mm_y,1274,-0.06430498926917697,-0.16775451445911618
recent_acceleration_mm_y2,persistence_residual_true_mm_y,1274,-0.04898622939506205,-0.1792656665058918
std_last_3_rates_mm_y,persistence_residual_observed_mm_y,1274,0.20645627756078958,0.0727399594800758
std_last_3_rates_mm_y,persistence_residual_true_mm_y,1274,0.21305451190515443,0.0231205796718349
profile_rate_std_mm_y,persistence_residual_observed_mm_y,1274,0.05411688028264772,-0.03392218435780953
profile_rate_std_mm_y,persistence_residual_true_mm_y,1274,0.05082279600742918,-0.0489625526300958
