point_id,profile_id,n_observations,first_date,last_date,median_uncertainty_mm,max_observed_settlement_mm,process_family
P-D01-W001,P-D01,19,2018-05-15,2025-11-04,0.7128764186,833.1029835,accelerating
P-D01-W002,P-D01,20,2018-05-15,2025-11-04,0.7302228884499999,556.1958267,decaying
P-D01-W003,P-D01,18,2018-05-15,2025-11-04,0.74294687205,443.904233,stable
P-D01-W004,P-D01,18,2018-05-15,2025-11-04,0.7494204123499999,440.7305991,stable
P-D01-W005,P-D01,20,2018-05-15,2025-11-04,0.74688353165,463.7899584,uniform_creep
P-D01-W006,P-D01,20,2018-05-15,2025-11-04,0.7370635937500001,812.0815806,reactivated
P-D01-W007,P-D01,20,2018-05-15,2025-11-04,0.7177249782999999,245.6601326,decaying
P-H01-W001,P-H01,16,2018-05-15,2025-11-04,0.7595866231999999,224.8651083,decaying
P-H01-W002,P-H01,18,2018-05-15,2025-11-04,0.7997535438,627.0229684,accelerating
P-H01-W003,P-H01,17,2018-05-15,2025-07-22,0.8339949087,660.6047021,step_change
P-H01-W004,P-H01,15,2018-05-15,2025-11-04,0.8384608563,276.19501,decaying
P-H01-W005,P-H01,18,2018-05-15,2025-11-04,0.8304758213500001,532.8984042,decaying
P-H01-W006,P-H01,17,2018-05-15,2025-11-04,0.8093004079,393.0562049,decaying
P-H01-W007,P-H01,17,2018-05-15,2025-11-04,0.7534085865,385.0178056,uniform_creep
P-H02-W001,P-H02,19,2018-05-15,2025-11-04,0.7243365742,408.9900894,decaying
P-H02-W002,P-H02,18,2018-05-15,2025-11-04,0.7521934430499999,853.617848,reactivated
P-H02-W003,P-H02,18,2018-05-15,2025-11-04,0.7685445019,693.317436,accelerating
P-H02-W004,P-H02,20,2018-05-15,2025-11-04,0.7672424486,557.2254982,reactivated
P-H02-W005,P-H02,19,2018-05-15,2025-11-04,0.7633763411,60.94528102,uniform_creep
P-H02-W006,P-H02,19,2018-05-15,2025-11-04,0.7568574681,603.7146459,reactivated
P-H02-W007,P-H02,18,2018-05-15,2025-11-04,0.73738692885,439.5506979,uniform_creep
P-H03-W001,P-H03,19,2018-05-15,2025-11-04,0.7091169123,446.5280105,decaying
P-H03-W002,P-H03,20,2018-05-15,2025-11-04,0.7403091323,535.7125653,decaying
P-H03-W003,P-H03,17,2018-05-15,2025-11-04,0.7472076115,511.9826738,decaying
P-H03-W004,P-H03,21,2018-05-15,2025-11-04,0.7525509997,791.4239706,decaying
P-H03-W005,P-H03,20,2018-05-15,2025-11-04,0.7494930395,553.5393383,decaying
P-H03-W006,P-H03,19,2018-05-15,2025-11-04,0.7442137242,566.9017337,decaying
P-H03-W007,P-H03,18,2018-05-15,2025-11-04,0.725472128,992.7642902,accelerating
P-H04-W001,P-H04,18,2018-05-15,2025-11-04,0.7709347331,434.1956101,reactivated
P-H04-W002,P-H04,15,2018-05-15,2023-11-07,0.7558706455,616.2345964,step_change
P-H04-W003,P-H04,20,2018-05-15,2025-11-04,0.7964192137,983.7089381,step_change
P-H04-W004,P-H04,17,2018-05-15,2025-07-22,0.7760900045,284.4629971,reactivated
P-H04-W005,P-H04,19,2018-05-15,2025-11-04,0.7829415869,358.1239837,step_change
P-H04-W006,P-H04,20,2018-05-15,2025-11-04,0.7863382389,588.0630214,accelerating
P-H04-W007,P-H04,17,2018-05-15,2025-11-04,0.7743927192,308.3509929,decaying
P-H05-W001,P-H05,15,2018-05-15,2025-11-04,0.760949444,1486.211284,uniform_creep
P-H05-W002,P-H05,14,2018-05-15,2025-11-04,0.7921760870500001,1366.565871,decaying
P-H05-W003,P-H05,11,2018-05-15,2023-05-16,0.8126811442,1392.780283,decaying
P-H05-W004,P-H05,14,2018-05-15,2025-11-04,0.81719189245,1933.828461,accelerating
P-H05-W005,P-H05,13,2018-05-15,2025-11-04,0.808249692,1508.352338,accelerating
P-H05-W006,P-H05,14,2018-05-15,2025-11-04,0.8479871386,1587.048408,accelerating
P-H05-W007,P-H05,15,2018-05-15,2025-11-04,0.7547795191,968.7021938,reactivated
P-H06-W001,P-H06,15,2018-05-15,2025-11-04,0.7500487935,344.2047366,stable
P-H06-W002,P-H06,14,2018-05-15,2025-11-04,0.78326447765,185.628577,stable
P-H06-W003,P-H06,13,2018-05-15,2024-05-14,0.7997873062,339.2739552,stable
P-H06-W004,P-H06,15,2018-05-15,2025-11-04,0.8005338282,342.869457,stable
P-H06-W005,P-H06,13,2018-05-15,2025-11-04,0.7951096871,164.8484831,stable
P-H06-W006,P-H06,14,2018-05-15,2025-11-04,0.7666223819,339.340057,stable
P-H06-W007,P-H06,14,2018-05-15,2025-11-04,0.7469206696999999,64.95627035,stable
P-H07-W001,P-H07,14,2018-05-15,2025-11-04,0.7248969194,328.7252656,uniform_creep
P-H07-W002,P-H07,14,2018-05-15,2025-11-04,0.73963506915,398.9892856,decaying
P-H07-W003,P-H07,14,2018-05-15,2025-11-04,0.75206499035,277.1862106,stable
P-H07-W004,P-H07,14,2018-05-15,2025-11-04,0.7530725008,418.2081455,uniform_creep
P-H07-W005,P-H07,13,2018-05-15,2025-07-22,0.7485541433,44.7064407,stable
P-H07-W006,P-H07,11,2018-10-16,2025-11-04,0.7312347569,165.6404364,uniform_creep
P-H07-W007,P-H07,12,2018-05-15,2025-11-04,0.7176217525499999,97.62892313,uniform_creep
P-V01-W001,P-V01,16,2018-05-15,2025-11-04,0.7371365330999999,284.6735688,uniform_creep
P-V01-W002,P-V01,15,2018-05-15,2025-11-04,0.7559829049,293.8110982,uniform_creep
P-V01-W003,P-V01,17,2018-05-15,2025-11-04,0.7744193617,222.3402416,decaying
P-V01-W004,P-V01,18,2018-05-15,2025-11-04,0.78005045795,273.6573916,decaying
P-V01-W005,P-V01,17,2018-05-15,2025-11-04,0.781779473,990.3840517,decaying
P-V01-W006,P-V01,16,2018-05-15,2025-11-04,0.76956730575,551.7136393,uniform_creep
P-V01-W007,P-V01,17,2018-05-15,2025-11-04,0.7369520043,522.0076013,decaying
P-V02-W001,P-V02,17,2018-05-15,2025-11-04,0.7654797349,415.1168346,decaying
P-V02-W002,P-V02,15,2018-05-15,2025-11-04,0.7836071149,416.115393,decaying
P-V02-W003,P-V02,17,2018-05-15,2025-11-04,0.7990366611,65.44954985,uniform_creep
P-V02-W004,P-V02,16,2018-05-15,2025-07-22,0.7805487037500001,129.6078788,uniform_creep
P-V02-W005,P-V02,17,2018-05-15,2025-11-04,0.8000967362,425.424786,decaying
P-V02-W006,P-V02,17,2018-05-15,2025-11-04,0.7865085693,482.4392096,step_change
P-V02-W007,P-V02,16,2018-05-15,2025-07-22,0.7476557623,183.3971988,uniform_creep
P-V03-W001,P-V03,15,2018-05-15,2025-11-04,0.697956077,601.307515,uniform_creep
P-V03-W002,P-V03,15,2018-05-15,2025-11-04,0.7104940328,632.8379897,uniform_creep
P-V03-W003,P-V03,15,2018-05-15,2025-11-04,0.7183684918,1503.232415,uniform_creep
P-V03-W004,P-V03,15,2018-05-15,2025-11-04,0.7218456326,1826.694333,accelerating
P-V03-W005,P-V03,15,2018-05-15,2025-11-04,0.7195888495,589.6451439,uniform_creep
P-V03-W006,P-V03,15,2018-05-15,2025-11-04,0.7121173834,546.3279274,uniform_creep
P-V03-W007,P-V03,15,2018-05-15,2025-11-04,0.7032933604,225.5338654,stable
P-V04-W001,P-V04,15,2018-05-15,2025-11-04,0.711885321,204.9646897,stable
P-V04-W002,P-V04,14,2018-05-15,2025-11-04,0.71835004585,204.4660617,stable
P-V04-W003,P-V04,14,2018-05-15,2025-11-04,0.7262211190000001,206.2475027,stable
P-V04-W004,P-V04,15,2018-05-15,2025-11-04,0.7370747295,343.479441,stable
P-V04-W005,P-V04,13,2018-05-15,2025-11-04,0.7355954295,342.3070404,stable
P-V04-W006,P-V04,15,2018-05-15,2025-11-04,0.7309336826,244.2326475,stable
P-V04-W007,P-V04,14,2018-05-15,2025-11-04,0.723372092,468.8047378,uniform_creep
P-V05-W001,P-V05,12,2018-10-16,2025-11-04,0.72945635955,1415.909825,accelerating
P-V05-W002,P-V05,15,2018-05-15,2025-11-04,0.737364673,1544.550035,decaying
P-V05-W003,P-V05,13,2018-05-15,2025-11-04,0.7398348268,1603.859174,uniform_creep
P-V05-W004,P-V05,14,2018-05-15,2025-11-04,0.7534341206499999,1507.029127,uniform_creep
P-V05-W005,P-V05,12,2018-10-16,2025-11-04,0.7493462417500001,1589.916296,uniform_creep
P-V05-W006,P-V05,14,2018-05-15,2025-11-04,0.7357105103,1592.427174,accelerating
P-V05-W007,P-V05,15,2018-05-15,2025-11-04,0.7181792069,1857.49355,uniform_creep
P-V06-W001,P-V06,15,2018-05-15,2025-11-04,0.7751686079,91.72176255,uniform_creep
P-V06-W002,P-V06,15,2018-10-16,2025-11-04,0.7990467408,324.1608696,accelerating
P-V06-W003,P-V06,14,2018-05-15,2025-11-04,0.8557639978,330.59263,step_change
P-V06-W004,P-V06,16,2018-05-15,2025-11-04,0.83883806855,302.7740936,reactivated
P-V06-W005,P-V06,15,2018-05-15,2025-11-04,0.8666472901,401.898114,decaying
P-V06-W006,P-V06,16,2018-05-15,2025-11-04,0.81459270935,202.2850933,decaying
P-V06-W007,P-V06,16,2018-05-15,2025-11-04,0.79748130155,200.5728338,decaying
