process_family,regime_stage,n_months,n_points,velocity_median_mm_y,velocity_mean_mm_y,velocity_p95_mm_y,acceleration_median_mm_y2
stable,stable,1728,18,2.2017251945,2.357600224513197,5.3967153662,0.0
decaying,residual,672,28,21.905429429999998,21.355218439193454,32.82677949099999,-2.00986151
reactivated,quiescent,279,8,22.47841812,24.5947477237276,42.40408940799999,6.618725814
accelerating,background,791,12,22.65700331,23.759227747485465,40.064088295,4.634330136
step_change,background,425,6,30.17845628,29.932248717247056,35.539354054,0.6532792252
uniform_creep,startup,312,26,32.40384085,29.49763091642949,40.7793945575,-0.61655962
reactivated,decaying,192,8,32.91396295,33.19613908578125,44.1157727115,-9.2394623015
uniform_creep,uniform,2184,26,33.18116318,29.77910790676145,40.804500629,-0.09589665024499999
decaying,decaying,1680,28,38.908031085000005,41.10497296646905,72.075966853,-8.41022132
reactivated,active_initial,96,8,52.09369183,52.8075181065625,62.72489034749999,-18.109526340000002
step_change,post_step,131,6,76.12428553,75.77610265839695,82.14716909500001,-1.089742307
decaying,active,336,28,82.44884389,78.48330010764882,101.051384625,-21.511468605
accelerating,accelerating,138,12,88.89180503,90.13475983195652,126.49519436,71.68291948000001
reactivated,reactivated,79,8,90.0629623,89.09902096506329,123.48621935999999,90.9911369
accelerating,elevated,223,9,140.1361158,139.10228804304933,151.28637296,7.887560395
reactivated,active_secondary,122,7,151.86881245,148.14618359836066,157.836305335,15.20977906
step_change,step_transition,20,6,183.5181962,183.51329069000002,192.444317835,-6.7532027995
