feature,target,n,pearson,spearman,abs_spearman
std_last_3_rates_mm_y,early_acceleration_label,1274,0.25808991571579126,0.2238224538887281,0.2238224538887281
recent_acceleration_mm_y2,early_acceleration_label,1274,0.22576361903259268,0.2225460684822818,0.2225460684822818
profile_rate_std_mm_y,early_acceleration_label,1274,0.14019649756677574,0.15636517614387935,0.15636517614387935
last_rate_mm_y,early_acceleration_label,1274,0.11106470748628051,0.14741660525284736,0.14741660525284736
profile_mean_rate_mm_y,early_acceleration_label,1274,0.13034567392216284,0.14020923375404654,0.14020923375404654
n_history,early_acceleration_label,1274,0.12570633463992578,0.13465608939317097,0.13465608939317097
kzt,early_acceleration_label,1274,0.12324683854601136,0.11787797040845542,0.11787797040845542
fault_distance_m,early_acceleration_label,1274,-0.09715841821116039,-0.10784446741400817,0.10784446741400817
ko,early_acceleration_label,1274,0.09722665129645794,0.0871099354467686,0.0871099354467686
kzt__standard_uncertainty,early_acceleration_label,1274,-0.07547640122923902,-0.07855279230731797,0.07855279230731797
kzt__donor_distance_m,early_acceleration_label,1274,-0.07134905820481888,-0.07855279230731797,0.07855279230731797
mean_last_3_rates_mm_y,early_acceleration_label,1274,0.03659960153301338,0.06891890275640192,0.06891890275640192
profile_mean_settlement_mm,early_acceleration_label,1274,0.014355652304393365,0.060930476218568466,0.060930476218568466
terrain_roughness_relative,early_acceleration_label,861,-0.05732060442972849,-0.057966624362222656,0.057966624362222656
seismic_energy_J_m2,early_acceleration_label,1274,0.04645997720913943,0.054218213701269266,0.054218213701269266
terrain_TRI_relative,early_acceleration_label,861,-0.04442161375141596,-0.053076462354950935,0.053076462354950935
seismic_energy_J_m2__standard_uncertainty,early_acceleration_label,1274,-0.051257491874991054,-0.052455149035237326,0.052455149035237326
seismic_energy_J_m2__donor_distance_m,early_acceleration_label,1274,-0.056590406912492945,-0.052455149035237326,0.052455149035237326
current_standard_uncertainty_mm,early_acceleration_label,1274,0.016935092087787654,0.05125041958383555,0.05125041958383555
ko__standard_uncertainty,early_acceleration_label,1274,-0.05049234178230319,-0.048969619665343384,0.048969619665343384
ko__donor_distance_m,early_acceleration_label,1274,-0.05007961051470156,-0.048969619665343384,0.048969619665343384
last_settlement_mm,early_acceleration_label,1274,0.016483982633347865,0.040022955360465594,0.040022955360465594
profile_n_observed,early_acceleration_label,1274,-0.058089005013004624,-0.03974646638829469,0.03974646638829469
forecast_horizon_days,early_acceleration_label,1274,-0.013199614762560135,-0.0396041422633448,0.0396041422633448
days_since_previous_observation,early_acceleration_label,1274,0.0005523487742336089,-0.0392401701373021,0.0392401701373021
fill_density,early_acceleration_label,1274,-0.05714158984760459,-0.03790340334893825,0.03790340334893825
lithology__donor_distance_m,early_acceleration_label,1274,-0.038365215250506034,-0.03735808899231435,0.03735808899231435
chainage_normalized_profile,early_acceleration_label,1274,-0.024329209201008905,-0.0227044030147969,0.0227044030147969
missing_campaigns_since_previous,early_acceleration_label,1274,0.016470583424757098,-0.018080756116539524,0.018080756116539524
chainage_m,early_acceleration_label,1274,-0.007867413683694752,0.002994637915974739,0.002994637915974739
fill_density__donor_distance_m,early_acceleration_label,1274,-0.005210416305597587,-0.0018792296092413883,0.0018792296092413883
fault_distance_m__donor_distance_m,early_acceleration_label,1274,-0.005210416305597587,-0.0018792296092413883,0.0018792296092413883
terrain_TRI_relative__donor_distance_m,early_acceleration_label,1274,-0.005210416305597587,-0.0018792296092413883,0.0018792296092413883
terrain_roughness_relative__donor_distance_m,early_acceleration_label,1274,-0.005210416305597587,-0.0018792296092413883,0.0018792296092413883
fill_density__standard_uncertainty,early_acceleration_label,1274,,,
fault_distance_m__standard_uncertainty,early_acceleration_label,1274,,,
lithology__standard_uncertainty,early_acceleration_label,0,,,
terrain_TRI_relative__standard_uncertainty,early_acceleration_label,1274,,,
terrain_roughness_relative__standard_uncertainty,early_acceleration_label,1274,,,
last_rate_mm_y,hidden_true_next_rate_mm_y,1274,0.9407990650712045,0.9340343995077205,0.9340343995077205
mean_last_3_rates_mm_y,hidden_true_next_rate_mm_y,1274,0.8921830512683475,0.9143451880045016,0.9143451880045016
profile_mean_rate_mm_y,hidden_true_next_rate_mm_y,1274,0.5837205711625807,0.5587812862144583,0.5587812862144583
profile_rate_std_mm_y,hidden_true_next_rate_mm_y,1274,0.5370843623090767,0.49605527762749185,0.49605527762749185
std_last_3_rates_mm_y,hidden_true_next_rate_mm_y,1274,0.5864072912160283,0.4552361494381673,0.4552361494381673
ko,hidden_true_next_rate_mm_y,1274,0.3161790289526132,0.37386979417599187,0.37386979417599187
fault_distance_m,hidden_true_next_rate_mm_y,1274,-0.3377776886465232,-0.3698677848947883,0.3698677848947883
kzt,hidden_true_next_rate_mm_y,1274,0.3144648906508261,0.35053314977021355,0.35053314977021355
last_settlement_mm,hidden_true_next_rate_mm_y,1274,0.1692389851311432,0.327010636480244,0.327010636480244
profile_mean_settlement_mm,hidden_true_next_rate_mm_y,1274,0.09292077009306873,0.251691964259745,0.251691964259745
terrain_TRI_relative,hidden_true_next_rate_mm_y,861,-0.20388412199676,-0.2266412218580853,0.2266412218580853
missing_campaigns_since_previous,hidden_true_next_rate_mm_y,1274,-0.13486099336699559,-0.18518864178606642,0.18518864178606642
forecast_horizon_days,hidden_true_next_rate_mm_y,1274,-0.13052606841550368,-0.1561503842904278,0.1561503842904278
days_since_previous_observation,hidden_true_next_rate_mm_y,1274,-0.07522687521158593,-0.15343059141880863,0.15343059141880863
fill_density,hidden_true_next_rate_mm_y,1274,-0.04218301958120317,-0.11139932290537113,0.11139932290537113
fill_density__donor_distance_m,hidden_true_next_rate_mm_y,1274,-0.057163150762929216,-0.10054539721586994,0.10054539721586994
fault_distance_m__donor_distance_m,hidden_true_next_rate_mm_y,1274,-0.057163150762929216,-0.10054539721586994,0.10054539721586994
terrain_TRI_relative__donor_distance_m,hidden_true_next_rate_mm_y,1274,-0.057163150762929216,-0.10054539721586994,0.10054539721586994
terrain_roughness_relative__donor_distance_m,hidden_true_next_rate_mm_y,1274,-0.057163150762929216,-0.10054539721586994,0.10054539721586994
kzt__standard_uncertainty,hidden_true_next_rate_mm_y,1274,-0.06890439962853485,-0.0962178051379179,0.0962178051379179
kzt__donor_distance_m,hidden_true_next_rate_mm_y,1274,0.011874280628125145,-0.0962178051379179,0.0962178051379179
ko__standard_uncertainty,hidden_true_next_rate_mm_y,1274,0.0781558686465965,0.09043045162929812,0.09043045162929812
ko__donor_distance_m,hidden_true_next_rate_mm_y,1274,0.03808347789420052,0.09043045162929812,0.09043045162929812
n_history,hidden_true_next_rate_mm_y,1274,0.24362266268701874,0.08197978057193792,0.08197978057193792
chainage_normalized_profile,hidden_true_next_rate_mm_y,1274,-0.07832238230884422,-0.07948941014146226,0.07948941014146226
seismic_energy_J_m2,hidden_true_next_rate_mm_y,1274,0.0015481454825906208,-0.06600223740179034,0.06600223740179034
chainage_m,hidden_true_next_rate_mm_y,1274,-0.04336549126364147,-0.05863335572115782,0.05863335572115782
profile_n_observed,hidden_true_next_rate_mm_y,1274,-0.11273344145670101,-0.05496831193080104,0.05496831193080104
terrain_roughness_relative,hidden_true_next_rate_mm_y,861,-0.0032171019166347074,0.026124197653464454,0.026124197653464454
