sample_id,point_id,profile_id,current_date,label_horizon_days,label_horizon_end,split_by_horizon_end,horizon_complete,label_status,activity_180d,onset_180d,ongoing_acceleration_180d,current_true_rate_mm_y,max_delta_rate_next_180d_mm_y,max_acceleration_next_180d_mm_y2,sustained_two_months,current_regime_stage,first_onset_date,use_class
P-D01-W001::C005::C007,P-D01-W001,P-D01,2019-05-14,180,2019-11-10,train,True,complete,0.0,0.0,0.0,20.66884151612903,1.8456818538709676,8.203680778,False,background,,evaluation_only
P-D01-W001::C007::C008,P-D01-W001,P-D01,2019-11-05,180,2020-05-03,train,True,complete,0.0,0.0,0.0,19.01424460533333,6.16294606466667,21.93148325,False,background,,evaluation_only
P-D01-W001::C008::C009,P-D01-W001,P-D01,2020-04-21,180,2020-10-18,train,True,complete,0.0,0.0,0.0,24.569411783333333,12.807982746666664,36.85919656,False,background,,evaluation_only
P-D01-W001::C009::C010,P-D01-W001,P-D01,2020-06-02,180,2020-11-29,train,True,complete,0.0,0.0,0.0,27.027028542,12.382996907999999,37.95496485,False,background,,evaluation_only
P-D01-W001::C010::C012,P-D01-W001,P-D01,2020-10-20,180,2021-04-18,train,True,complete,1.0,1.0,0.0,38.62320057774193,31.99813394225807,99.13654849,True,background,2021-02-01,evaluation_only
P-D01-W001::C012::C014,P-D01-W001,P-D01,2021-05-18,180,2021-11-14,train,True,complete,1.0,0.0,1.0,83.69850538290324,35.45589081709676,96.38347683,True,accelerating,,evaluation_only
P-D01-W001::C014::C015,P-D01-W001,P-D01,2021-11-02,180,2022-05-01,train,True,complete,0.0,0.0,0.0,119.29231404666666,22.08461795333335,56.29778736,False,accelerating,,evaluation_only
P-D01-W001::C015::C017,P-D01-W001,P-D01,2022-03-01,180,2022-08-28,train,True,complete,0.0,0.0,0.0,135.2791779,10.9791223,36.58652471,False,elevated,,evaluation_only
P-D01-W001::C017::C018,P-D01-W001,P-D01,2022-07-19,180,2023-01-15,train,True,complete,0.0,0.0,0.0,145.7056585419355,1.949920258064509,8.38367148,False,elevated,,evaluation_only
P-D01-W001::C018::C020,P-D01-W001,P-D01,2022-10-18,180,2023-04-16,train,True,complete,0.0,0.0,0.0,146.77400228709678,2.3191517129032206,16.78140417,False,elevated,,evaluation_only
P-D01-W001::C020::C022,P-D01-W001,P-D01,2023-05-16,180,2023-11-12,train,True,complete,0.0,0.0,0.0,150.38436680967743,1.1595688903225607,9.643976933,False,elevated,,evaluation_only
P-D01-W001::C022::C023,P-D01-W001,P-D01,2023-11-07,180,2024-05-05,validation,True,complete,0.0,0.0,0.0,149.93975358,1.1284519200000034,15.58258201,False,elevated,,evaluation_only
