sample_id,point_id,profile_id,current_date,split,use_class,available_90d,target_date_90d,true_increment_90d_mm,true_rate_90d_mm_y,available_180d,target_date_180d,true_increment_180d_mm,true_rate_180d_mm_y,available_365d,target_date_365d,true_increment_365d_mm,true_rate_365d_mm_y
P-D01-W001::C005::C007,P-D01-W001,P-D01,2019-05-14,train,synthetic_evaluation_only,True,2019-08-12,5.316176345161296,21.57481566744626,True,2019-11-10,10.366952108387096,21.036273653268818,True,2020-05-13,21.249848287096768,21.264402977704368
P-D01-W001::C007::C008,P-D01-W001,P-D01,2019-11-05,train,synthetic_evaluation_only,True,2020-02-03,4.834742575632191,19.620996952773975,True,2020-05-03,10.431503013118288,21.167258197452526,True,2020-11-04,26.855463806666677,26.873857959958915
P-D01-W001::C008::C009,P-D01-W001,P-D01,2020-04-21,train,synthetic_evaluation_only,True,2020-07-20,6.778167941935493,27.508064897688207,True,2020-10-18,15.418070822580631,31.28583537748653,True,2021-04-21,43.142563233333334,43.17211293417808
P-D01-W001::C009::C010,P-D01-W001,P-D01,2020-06-02,train,synthetic_evaluation_only,True,2020-08-31,7.594280901290318,30.820123324403205,True,2020-11-29,17.122021973333318,34.74343625422219,True,2021-06-02,49.56092595999999,49.59487179969862
P-D01-W001::C010::C012,P-D01-W001,P-D01,2020-10-20,train,synthetic_evaluation_only,True,2021-01-18,11.133195648387101,45.182219006370985,True,2021-04-18,26.898847513978524,54.58224474711475,True,2021-10-20,76.69518983225808,76.74772078419798
P-D01-W001::C012::C014,P-D01-W001,P-D01,2021-05-18,train,synthetic_evaluation_only,True,2021-08-16,23.403539241935505,94.97936342352159,True,2021-11-14,51.4032581043011,104.30577790331098,True,2022-05-18,118.81278787419356,118.89416649602519
P-D01-W001::C014::C015,P-D01-W001,P-D01,2021-11-02,train,synthetic_evaluation_only,True,2022-01-31,31.03842703118275,125.96428303488332,True,2022-05-01,64.77666866666667,131.4426568361111,True,2022-11-02,138.36264321333337,138.45741214704114
P-D01-W001::C015::C017,P-D01-W001,P-D01,2022-03-01,train,synthetic_evaluation_only,True,2022-05-30,34.39595282903224,139.5902418978225,True,2022-08-28,70.16310168387093,142.37262716685476,True,2023-03-01,144.32934410000001,144.428199815137
P-D01-W001::C017::C018,P-D01-W001,P-D01,2022-07-19,train,synthetic_evaluation_only,True,2022-10-17,36.096191841935536,146.4903785585217,True,2023-01-15,72.04713722580647,146.19564928736563,True,2023-07-19,147.6979654967742,147.7991284868405
P-D01-W001::C018::C020,P-D01-W001,P-D01,2022-10-18,train,synthetic_evaluation_only,True,2023-01-16,35.94898864516125,145.8929789182794,True,2023-04-16,72.44211091935477,146.99711674052406,True,2023-10-18,148.72830604838708,148.83017475115994
P-D01-W001::C020::C022,P-D01-W001,P-D01,2023-05-16,train,synthetic_evaluation_only,True,2023-08-14,37.1856016064516,150.91156651951607,True,2023-11-12,74.20235901655906,150.5689535044344,True,2024-05-15,150.01419807741934,150.11694752815728
P-D01-W001::C022::C023,P-D01-W001,P-D01,2023-11-07,validation,synthetic_evaluation_only,True,2024-02-05,36.77642760965523,149.25100204918414,True,2024-05-05,73.70072695548401,149.55105844716965,True,2024-11-06,150.75716775333342,150.86042608741104
P-D01-W001::C023::C024,P-D01-W001,P-D01,2024-01-30,validation,synthetic_evaluation_only,True,2024-04-29,36.88201391591406,149.67950647541787,True,2024-07-28,74.44401856129036,151.05932099728503,True,2025-01-29,150.49296882580643,150.5960462017145
P-D01-W001::C024::C026,P-D01-W001,P-D01,2024-05-14,validation,synthetic_evaluation_only,True,2024-08-12,37.603713500000026,152.60840395416676,True,2024-11-10,74.94253612967736,152.07089622980365,True,2025-05-14,150.5320353129032,150.63513944667915
P-D01-W001::C026::C027,P-D01-W001,P-D01,2024-09-03,test,synthetic_evaluation_only,True,2024-12-02,37.097763554193534,150.55509042410208,True,2025-03-02,73.61392653806445,149.37492593348912,True,2025-09-03,149.95685790666664,150.05956808331504
P-D01-W001::C027::C029,P-D01-W001,P-D01,2025-07-22,test,synthetic_evaluation_only,True,2025-10-20,36.990452451612896,150.11958619946233,False,2026-01-18,,,False,2026-07-22,,
P-D01-W002::C005::C007,P-D01-W002,P-D01,2019-05-14,train,synthetic_evaluation_only,True,2019-08-12,18.013254699999976,73.10379199083324,True,2019-11-10,35.97778989645164,73.00493199821645,True,2020-05-13,71.34152263225806,71.3903866888555
P-D01-W002::C007::C008,P-D01-W002,P-D01,2019-11-05,train,synthetic_evaluation_only,True,2020-02-03,17.34387514390812,70.3872266256938,True,2020-05-03,34.47770459763444,69.9610089126999,True,2020-11-04,64.9214397566667,64.96590649622605
P-D01-W002::C008::C009,P-D01-W002,P-D01,2020-04-21,train,synthetic_evaluation_only,True,2020-07-20,16.106402021505346,65.36514820394252,True,2020-10-18,30.182158350537634,61.24462965296595,True,2021-04-21,56.1990763,56.2375688180137
