sample_id,point_id,profile_id,current_campaign_id,current_date,target_campaign_id,target_date,split,forecast_horizon_days,observed_next_increment_mm,observed_next_rate_mm_y,hidden_true_next_increment_mm,hidden_true_next_rate_mm_y,target_sigma_increment_mm,target_sigma_rate_mm_y
P-D01-W001::C005::C007,P-D01-W001,P-D01,C005,2019-05-14,C007,2019-11-05,train,175,9.963895854,20.79607406099143,10.10478925,21.0901387,1.0937344346337072,2.2827800128569233
P-D01-W001::C007::C008,P-D01-W001,P-D01,C007,2019-11-05,C008,2020-04-21,train,168,7.771222139,16.895469561129463,9.624438001,20.9245594,1.4305266882563819,3.110118290985973
P-D01-W001::C008::C009,P-D01-W001,P-D01,C008,2020-04-21,C009,2020-06-02,train,42,5.436488091,47.27803036280357,2.953399652,25.68402912,1.3622212137948115,11.846459484251307
P-D01-W001::C009::C010,P-D01-W001,P-D01,C009,2020-06-02,C010,2020-10-20,train,140,11.72155979,30.580712237839286,12.67490363,33.06791821,1.0183222423054936,2.6567299928720107
P-D01-W001::C010::C012,P-D01-W001,P-D01,C010,2020-10-20,C012,2021-05-18,train,210,32.80914291,57.06447356132143,33.44290824,58.16677255,1.0148069588702022,1.765039246320673
P-D01-W001::C012::C014,P-D01-W001,P-D01,C012,2021-05-18,C014,2021-11-02,train,168,48.8292616,106.160046425,47.42056686,103.0973931,1.004098214592484,2.183017100475624
P-D01-W001::C014::C015,P-D01-W001,P-D01,C014,2021-11-02,C015,2022-03-01,train,119,41.21827747,126.5124020665336,41.66606983,127.8868236,1.000199143203923,3.069938966850696
P-D01-W001::C015::C017,P-D01-W001,P-D01,C015,2022-03-01,C017,2022-07-19,train,140,53.89157609,140.59927262051787,54.17043217,141.3267882,0.9892625398157078,2.580915304769195
P-D01-W001::C017::C018,P-D01-W001,P-D01,C017,2022-07-19,C018,2022-10-18,train,91,37.74460909,151.4969062650824,36.49825008,146.4943499,0.9990800433327811,4.010043800299981
P-D01-W001::C018::C020,P-D01-W001,P-D01,C018,2022-10-18,C020,2023-05-16,train,210,85.61938646,148.91657573578573,84.78004372,147.4567189,0.99623501213882,1.732737324684305
P-D01-W001::C020::C022,P-D01-W001,P-D01,C020,2023-05-16,C022,2023-11-07,train,175,69.71393936,145.5029505785143,72.15288531,150.5933792,1.0030459320731098,2.0935001525125907
P-D01-W001::C022::C023,P-D01-W001,P-D01,C022,2023-11-07,C023,2024-01-30,validation,84,35.06737376,152.48045554571428,34.329472,149.2719006,1.012236187656209,4.401419851683695
P-D01-W001::C023::C024,P-D01-W001,P-D01,C023,2024-01-30,C024,2024-05-14,validation,105,43.79987016,152.3609769137143,43.11578214,149.9813279,0.9916477403373458,3.4495174967449103
P-D01-W001::C024::C026,P-D01-W001,P-D01,C024,2024-05-14,C026,2024-09-03,validation,112,46.72888262,152.3903962228125,46.80959458,152.6536109,1.4778990616479581,4.8196663595260425
P-D01-W001::C026::C027,P-D01-W001,P-D01,C026,2024-09-03,C027,2025-07-22,test,322,132.3192103,150.0918992611025,132.240093,150.0021551,1.4903400670528901,1.690517731338721
P-D01-W001::C027::C029,P-D01-W001,P-D01,C027,2025-07-22,C029,2025-11-04,test,105,41.42474882,144.098947681,43.12358799,150.0084811,1.1443565320830118,3.9807259366030485
P-D01-W002::C005::C007,P-D01-W002,P-D01,C005,2019-05-14,C007,2019-11-05,train,175,34.70882599,72.44227824484285,35.00787071,73.06642731,1.1183631396540963,2.3341836386209067
P-D01-W002::C007::C008,P-D01-W002,P-D01,C007,2019-11-05,C008,2020-04-21,train,168,30.57035635,66.46323010022321,32.25622054,70.12847947,1.4645748081052588,3.1841425515502726
P-D01-W002::C008::C009,P-D01-W002,P-D01,C008,2020-04-21,C009,2020-06-02,train,42,10.24170672,89.06627094,7.781714737,67.67312637,1.3942298092398662,12.12481994821098
P-D01-W002::C009::C010,P-D01-W002,P-D01,C009,2020-06-02,C010,2020-10-20,train,140,21.57899677,56.29806121601786,22.69341686,59.20550364,1.0370373015683407,2.705556245698832
P-D01-W002::C010::C012,P-D01-W002,P-D01,C010,2020-10-20,C012,2021-05-18,train,210,29.02630439,50.48503656403572,29.06657248,50.55507428,1.0371183676514866,1.8038451608795498
P-D01-W002::C012::C014,P-D01-W002,P-D01,C012,2021-05-18,C014,2021-11-02,train,168,21.49319241,46.728503141383925,20.34830801,44.2394018,1.0276684355880512,2.234261286300808
P-D01-W002::C014::C015,P-D01-W002,P-D01,C014,2021-11-02,C015,2022-03-01,train,119,14.95465211,45.90072843006302,15.29954044,46.95930374,1.0222142668050758,3.137510596223142
P-D01-W002::C015::C016,P-D01-W002,P-D01,C015,2022-03-01,C016,2022-05-17,train,77,9.519046653,45.15365961049675,9.900519841,46.96318015,1.0402062825271354,4.934225255753717
P-D01-W002::C016::C017,P-D01-W002,P-D01,C016,2022-05-17,C017,2022-07-19,train,63,7.76525231,45.01997470202381,8.097772009,46.94779724,1.0387648380733556,6.022362811211003
P-D01-W002::C017::C018,P-D01-W002,P-D01,C017,2022-07-19,C018,2022-10-18,train,91,11.46044156,45.999189887802196,10.34543687,41.52385514,1.0249997720192758,4.1140787552751705
P-D01-W002::C018::C020,P-D01-W002,P-D01,C018,2022-10-18,C020,2023-05-16,train,210,28.11929669,48.90749102867857,26.35236004,45.83428336,1.0218923397892268,1.7773627481334051
P-D01-W002::C020::C022,P-D01-W002,P-D01,C020,2023-05-16,C022,2023-11-07,train,175,16.18253972,33.77527218702858,19.31520826,40.31359896,1.0280514033989656,2.145690143379841
P-D01-W002::C022::C023,P-D01-W002,P-D01,C022,2023-11-07,C023,2024-01-30,validation,84,8.601645775,37.40179903950893,8.162911528,35.49408852,1.0368206837951353,4.508318509002061
