sample_id,point_id,current_date,target_date,true_current_settlement_mm,true_target_settlement_mm,true_increment_mm,true_rate_mm_y,process_family,use_class
P-D01-W001::C005::C007,P-D01-W001,2019-05-14,2019-11-05,128.9077755516129,139.01256479333333,10.104789241720425,21.090138688790773,accelerating,evaluation_only
P-D01-W001::C007::C008,P-D01-W001,2019-11-05,2020-04-21,139.01256479333333,148.6370028,9.62443800666668,20.924559416279788,accelerating,evaluation_only
P-D01-W001::C008::C009,P-D01-W001,2020-04-21,2020-06-02,148.6370028,151.59040246,2.9533996600000023,25.68402918607145,accelerating,evaluation_only
P-D01-W001::C009::C010,P-D01-W001,2020-06-02,2020-10-20,151.59040246,164.26530611935482,12.674903659354811,33.06791829699532,accelerating,evaluation_only
P-D01-W001::C010::C012,P-D01-W001,2020-10-20,2021-05-18,164.26530611935482,197.70821432903224,33.44290820967743,58.16677249326038,accelerating,evaluation_only
P-D01-W001::C012::C014,P-D01-W001,2021-05-18,2021-11-02,197.70821432903224,245.12878123333334,47.4205669043011,103.09739322497606,accelerating,evaluation_only
P-D01-W001::C014::C015,P-D01-W001,2021-11-02,2022-03-01,245.12878123333334,286.794851,41.66606976666665,127.88682338046215,accelerating,evaluation_only
P-D01-W001::C015::C017,P-D01-W001,2022-03-01,2022-05-17,286.794851,316.13185206774193,29.337001067741937,139.1602550648408,accelerating,evaluation_only
P-D01-W001::C017::C018,P-D01-W001,2022-07-19,2022-10-18,340.9652831516129,377.4635332806452,36.49825012903233,146.49435010581382,accelerating,evaluation_only
P-D01-W001::C018::C020,P-D01-W001,2022-10-18,2023-05-16,377.4635332806452,462.2435769967742,84.780043716129,147.45671889198152,accelerating,evaluation_only
P-D01-W001::C020::C022,P-D01-W001,2023-05-16,2023-11-07,462.2435769967742,534.3964622799999,72.15288528322571,150.59337914113254,accelerating,evaluation_only
P-D01-W001::C022::C023,P-D01-W001,2023-11-07,2024-01-30,534.3964622799999,568.7259342774194,34.32947199741943,149.2719005602077,accelerating,evaluation_only
P-D01-W001::C023::C024,P-D01-W001,2024-01-30,2024-05-14,568.7259342774194,611.8417164903226,43.11578221290324,149.9813281263134,accelerating,evaluation_only
