sample_id,point_id,profile_id,current_campaign_id,current_date,target_campaign_id,target_date,target_campaign_type,split,forecast_horizon_days,label_status,target_available,missing_reason,current_observed_settlement_mm,target_observed_settlement_mm,observed_increment_mm,observed_rate_mm_y,current_standard_uncertainty_mm,target_standard_uncertainty_mm,sigma_increment_mm,sigma_rate_mm_y,training_weight
P-D01-W001::C005::C007,P-D01-W001,P-D01,C005,2019-05-14,C007,2019-11-05,full,train,175,observed,True,,129.043539,139.0074349,9.963895899999983,20.796074156999964,0.7051966072,0.8360339459,1.0937344346337072,2.2827800128569233,1.2354957513677185
P-D01-W001::C007::C008,P-D01-W001,P-D01,C007,2019-11-05,C008,2020-04-21,full,train,168,observed,True,,139.0074349,146.778657,7.771222100000017,16.895469476339322,0.8360339459,1.160798797,1.4305266882563819,3.110118290985973,0.6656034498257398
P-D01-W001::C008::C009,P-D01-W001,P-D01,C008,2020-04-21,C009,2020-06-02,focused,train,42,observed,True,,146.778657,152.2151451,5.436488099999991,47.27803044107135,1.160798797,0.7128764186,1.3622212137948115,11.846459484251307,0.20726567062393048
P-D01-W001::C009::C010,P-D01-W001,P-D01,C009,2020-06-02,C010,2020-10-20,full,train,140,observed,True,,152.2151451,163.9367049,11.721559799999994,30.580712263928557,0.7128764186,0.7271776956,1.0183222423054936,2.6567299928720107,0.9121673889106429
P-D01-W001::C010::C012,P-D01-W001,P-D01,C010,2020-10-20,C012,2021-05-18,full,train,210,observed,True,,163.9367049,196.7458478,32.80914290000001,57.06447354392859,0.7271776956,0.7078458609,1.0148069588702022,1.765039246320673,2.066620085437632
P-D01-W001::C012::C014,P-D01-W001,P-D01,C012,2021-05-18,C014,2021-11-02,full,train,168,observed,True,,196.7458478,245.5751094,48.829261599999995,106.160046425,0.7078458609,0.7121569081,1.004098214592484,2.183017100475624,1.3509992364826715
P-D01-W001::C014::C015,P-D01-W001,P-D01,C014,2021-11-02,C015,2022-03-01,focused,train,119,observed,True,,245.5751094,286.7933869,41.21827749999997,126.51240215861336,0.7121569081,0.7023039686,1.000199143203923,3.069938966850696,0.6831402844847418
P-D01-W001::C015::C017,P-D01-W001,P-D01,C015,2022-03-01,C016,2022-05-17,full,train,77,censored_access,False,access,286.7933869,,,,0.7023039686,,,,
P-D01-W001::C017::C018,P-D01-W001,P-D01,C017,2022-07-19,C018,2022-10-18,full,train,91,observed,True,,340.684963,378.429572,37.744609000000025,151.49690590384625,0.6967133617,0.7160666342,0.9990800433327811,4.010043800299981,0.40037886718119725
P-D01-W001::C018::C020,P-D01-W001,P-D01,C018,2022-10-18,C020,2023-05-16,full,train,210,observed,True,,378.429572,464.0489585,85.61938650000002,148.91657580535718,0.7160666342,0.692627443,0.99623501213882,1.732737324684305,2.1443907138897274
