sample_id,profile_id,current_campaign_id,current_date,target_campaign_id,target_date,forecast_horizon_days,split,current_coverage,target_coverage,target_max_settlement_mm,target_mean_settlement_mm,target_max_rate_mm_y,target_max_abs_tilt_mm_m,target_max_abs_curvature_mm_m2,target_max_abs_horizontal_strain,derivation
P-D01::C001::C003,P-D01,C001,2018-05-15,C003,2018-10-16,154,train,1.0,0.8888888888888888,422.0510993,205.5162461,88.75689176,3.396455409,0.04168087581,0.000231204988,derived_from_point_level_forecasts_preferred
P-D01::C003::C005,P-D01,C003,2018-10-16,C005,2019-05-14,210,train,0.8888888888888888,1.0,423.4056354,197.5729237,82.44087839,2.849419037,0.03603230817,0.0001882624945,derived_from_point_level_forecasts_preferred
P-D01::C005::C007,P-D01,C005,2019-05-14,C007,2019-11-05,175,train,1.0,1.0,425.1970884,209.4609615,72.44227825,2.628613382,0.03345766766,0.0001753357051,derived_from_point_level_forecasts_preferred
P-D01::C007::C008,P-D01,C007,2019-11-05,C008,2020-04-21,168,train,1.0,1.0,424.9194025,217.9357833,66.46323011,2.430251266,0.0307507186,0.0002034961251,derived_from_point_level_forecasts_preferred
P-D01::C008::C010,P-D01,C008,2020-04-21,C010,2020-10-20,182,train,1.0,1.0,427.1755913,228.8436278,56.29806123,2.437175234,0.02763851103,0.0001825627674,derived_from_point_level_forecasts_preferred
P-D01::C010::C012,P-D01,C010,2020-10-20,C012,2021-05-18,210,train,1.0,1.0,428.4599073,242.2212559,57.06447356,2.387889652,0.02327630383,0.0001734285578,derived_from_point_level_forecasts_preferred
P-D01::C012::C014,P-D01,C012,2021-05-18,C014,2021-11-02,168,train,1.0,1.0,430.5222889,254.8739913,106.1600464,2.031735379,0.02248520192,0.0001946565351,derived_from_point_level_forecasts_preferred
P-D01::C014::C016,P-D01,C014,2021-11-02,C016,2022-05-17,196,train,1.0,0.8888888888888888,431.1289079,266.6704997,61.19684164,1.622426848,0.01837384152,0.0002005729433,derived_from_point_level_forecasts_preferred
P-D01::C016::C018,P-D01,C016,2022-05-17,C018,2022-10-18,154,train,0.8888888888888888,1.0,445.217202,289.0188356,151.4969063,1.950993904,0.02458174318,0.0001890505176,derived_from_point_level_forecasts_preferred
P-D01::C018::C020,P-D01,C018,2022-10-18,C020,2023-05-16,210,train,1.0,1.0,473.3364987,314.8352395,148.9165757,2.719758247,0.03958833332,0.0001792064867,derived_from_point_level_forecasts_preferred
P-D01::C020::C022,P-D01,C020,2023-05-16,C022,2023-11-07,175,train,1.0,1.0,533.7628979,334.3448959,148.3317664,3.538799243,0.05592682635,0.0002151199311,derived_from_point_level_forecasts_preferred
P-D01::C022::C024,P-D01,C022,2023-11-07,C024,2024-05-14,189,validation,1.0,1.0,612.6301418,358.6574136,156.2241939,4.425879864,0.07343590752,0.0002175198236,derived_from_point_level_forecasts_preferred
P-D01::C024::C027,P-D01,C024,2024-05-14,C027,2025-07-22,434,test,1.0,1.0,791.6782347,409.3131161,151.3889814,6.497909089,0.114728443,0.000205900898,derived_from_point_level_forecasts_preferred
P-D01::C027::C029,P-D01,C027,2025-07-22,C029,2025-11-04,105,test,1.0,1.0,833.1029835,421.7505949,160.2642776,7.013554695,0.1251270075,0.0002117083449,derived_from_point_level_forecasts_preferred
P-H01::C001::C003,P-H01,C001,2018-05-15,C003,2018-10-16,154,train,1.0,0.8888888888888888,256.410473,102.6744883,86.40862304,1.398460175,0.01708700078,5.656652995e-05,derived_from_point_level_forecasts_preferred
P-H01::C003::C005,P-H01,C003,2018-10-16,C005,2019-05-14,210,train,0.8888888888888888,1.0,274.1554551,124.2010326,72.07387096,1.309264212,0.01688736934,4.138731946e-05,derived_from_point_level_forecasts_preferred
P-H01::C005::C007,P-H01,C005,2019-05-14,C007,2019-11-05,175,train,1.0,1.0,293.3652132,139.7844601,68.85716641,1.33637117,0.01671384923,4.848912366e-05,derived_from_point_level_forecasts_preferred
P-H01::C007::C008,P-H01,C007,2019-11-05,C008,2020-04-21,168,train,1.0,0.8888888888888888,323.5629238,140.3555083,65.65305821,1.376408286,0.01679248419,5.620004921e-05,derived_from_point_level_forecasts_preferred
P-H01::C008::C010,P-H01,C008,2020-04-21,C010,2020-10-20,182,train,0.8888888888888888,1.0,352.270999,166.4539308,57.61332129,1.386712996,0.01652492884,7.955754453e-05,derived_from_point_level_forecasts_preferred
P-H01::C010::C012,P-H01,C010,2020-10-20,C012,2021-05-18,210,train,1.0,1.0,385.6129522,183.7679593,57.99118286,1.355939923,0.01613551514,5.038543275e-05,derived_from_point_level_forecasts_preferred
P-H01::C012::C014,P-H01,C012,2021-05-18,C014,2021-11-02,168,train,1.0,1.0,404.8924093,199.1804036,92.57859807,1.435917107,0.01824884825,6.217541112e-05,derived_from_point_level_forecasts_preferred
P-H01::C014::C016,P-H01,C014,2021-11-02,C016,2022-05-17,196,train,1.0,1.0,427.1992098,220.0885673,100.9477933,1.696486548,0.02054034782,0.0001029248702,derived_from_point_level_forecasts_preferred
P-H01::C016::C018,P-H01,C016,2022-05-17,C018,2022-10-18,154,train,1.0,0.8888888888888888,454.8063924,237.6756119,124.3371144,1.292652546,0.006173682941,5.72611601e-05,derived_from_point_level_forecasts_preferred
P-H01::C018::C020,P-H01,C018,2022-10-18,C020,2023-05-16,210,train,0.8888888888888888,1.0,496.7593738,257.6058512,139.7444448,2.096438736,0.02391893247,9.185814606e-05,derived_from_point_level_forecasts_preferred
P-H01::C020::C022,P-H01,C020,2023-05-16,C022,2023-11-07,175,train,1.0,1.0,534.4645904,276.1315873,138.5381687,2.3054777,0.02555419659,7.604406018e-05,derived_from_point_level_forecasts_preferred
P-H01::C022::C024,P-H01,C022,2023-11-07,C024,2024-05-14,189,validation,1.0,0.8888888888888888,570.1967635,298.2518259,137.6283453,1.507154435,0.004389867523,6.340989247e-05,derived_from_point_level_forecasts_preferred
P-H01::C024::C027,P-H01,C024,2024-05-14,C027,2025-07-22,434,test,0.8888888888888888,0.8888888888888888,660.6047021,352.0483137,134.9300482,3.105088006,0.03196094407,8.681092357e-05,derived_from_point_level_forecasts_preferred
P-H01::C027::C029,P-H01,C027,2025-07-22,C029,2025-11-04,105,test,0.8888888888888888,0.8888888888888888,627.0229684,304.9912039,131.6624144,2.719888226,0.01681964072,0.0001162811763,derived_from_point_level_forecasts_preferred
P-H02::C001::C003,P-H02,C001,2018-05-15,C003,2018-10-16,154,train,1.0,0.8888888888888888,304.3193836,106.4911176,85.11903999,2.316898502,0.04460320244,8.222764698e-05,derived_from_point_level_forecasts_preferred
P-H02::C003::C005,P-H02,C003,2018-10-16,C005,2019-05-14,210,train,0.8888888888888888,0.8888888888888888,329.3968776,135.7477556,67.36465207,3.644808695,0.04980934253,7.803794359e-05,derived_from_point_level_forecasts_preferred
P-H02::C005::C007,P-H02,C005,2019-05-14,C007,2019-11-05,175,train,0.8888888888888888,1.0,348.9074231,148.4409061,62.23787388,3.820916769,0.05311716901,0.0001451907617,derived_from_point_level_forecasts_preferred
P-H02::C007::C008,P-H02,C007,2019-11-05,C008,2020-04-21,168,train,1.0,0.8888888888888888,365.3918315,148.4175873,35.83887009,3.973445472,0.05595676041,0.0001031262271,derived_from_point_level_forecasts_preferred
P-H02::C008::C010,P-H02,C008,2020-04-21,C010,2020-10-20,182,train,0.8888888888888888,0.8888888888888888,280.3947425,144.703037,49.93377984,4.106699061,0.05836367862,0.0001358327883,derived_from_point_level_forecasts_preferred
P-H02::C010::C012,P-H02,C010,2020-10-20,C012,2021-05-18,210,train,0.8888888888888888,1.0,397.1879634,182.5882001,40.26384475,4.272574156,0.06131102048,9.163936914e-05,derived_from_point_level_forecasts_preferred
P-H02::C012::C014,P-H02,C012,2021-05-18,C014,2021-11-02,168,train,1.0,0.8888888888888888,310.0310312,165.9622946,46.21176323,4.332287621,0.06270350849,0.0001366116145,derived_from_point_level_forecasts_preferred
P-H02::C014::C016,P-H02,C014,2021-11-02,C016,2022-05-17,196,train,0.8888888888888888,1.0,427.2508691,205.4310631,67.31846991,4.424406293,0.06440060703,0.0001010925013,derived_from_point_level_forecasts_preferred
P-H02::C016::C018,P-H02,C016,2022-05-17,C018,2022-10-18,154,train,1.0,0.8888888888888888,446.9045261,239.0952096,93.99135738,2.016349146,0.03582347974,0.0001745889262,derived_from_point_level_forecasts_preferred
P-H02::C018::C020,P-H02,C018,2022-10-18,C020,2023-05-16,210,train,0.8888888888888888,1.0,493.1677991,237.7581468,118.5354675,4.628671514,0.06902425267,0.0001873066225,derived_from_point_level_forecasts_preferred
P-H02::C020::C022,P-H02,C020,2023-05-16,C022,2023-11-07,175,train,1.0,1.0,552.2701426,262.231285,130.3571306,4.894995104,0.07577901004,0.0001592365235,derived_from_point_level_forecasts_preferred
P-H02::C022::C024,P-H02,C022,2023-11-07,C024,2024-05-14,189,validation,1.0,1.0,626.1417791,293.8432635,142.759869,5.555023822,0.08923349407,0.0002197772164,derived_from_point_level_forecasts_preferred
