profile_id,point_type,chainage_m,chainage_normalized_profile,kzt,kzt__standard_uncertainty,kzt__donor_distance_m,kzt__provenance,ko,ko__standard_uncertainty,ko__donor_distance_m,ko__provenance,seismic_energy_J_m2,seismic_energy_J_m2__standard_uncertainty,seismic_energy_J_m2__donor_distance_m,seismic_energy_J_m2__provenance,fill_density,fill_density__standard_uncertainty,fill_density__donor_distance_m,fill_density__provenance,fault_distance_m,fault_distance_m__standard_uncertainty,fault_distance_m__donor_distance_m,fault_distance_m__provenance,lithology,lithology__standard_uncertainty,lithology__donor_distance_m,lithology__provenance,terrain_TRI_relative,terrain_TRI_relative__standard_uncertainty,terrain_TRI_relative__donor_distance_m,terrain_TRI_relative__provenance,terrain_roughness_relative,terrain_roughness_relative__standard_uncertainty,terrain_roughness_relative__donor_distance_m,terrain_roughness_relative__provenance,scenario_id,stress_zone_class,unseen_spatial,point_id
P-H02,WORK,250.8248981,0.486788581,0.605027933,0.032,0,D,0.5150837989,0.014,0,D,27.5,1.2,0,D,0.8842975497,0.08,23.79921495,C/R,31.83749187,25,23.79921495,C/R,mixed_salts,,0,D,,0.1,23.79921495,C/R,,0.1,23.79921495,C/R,ST-001,background,False,
P-V06,WORK,0,0.287816148,0.2878034367,0.06950877302,34.42983138,R,0.65,0.014,0,D,7.5,1.2,0,D,0,0.08,30.04908765,C/R,107.3853241,25,30.04908765,C/R,sylvinite,,0,D,,0.1,30.04908765,C/R,,0.1,30.04908765,C/R,ST-002,background,False,
P-V01,WORK,104.4516584,0.348366823,0.587150838,0.032,0,D,0.3879888268,0.014,0,D,27.5,1.2,0,D,0.8842975497,0.08,12.51948061,C/R,171.4393432,25,12.51948061,C/R,carnallite,,0,D,,0.1,12.51948061,C/R,,0.1,12.51948061,C/R,ST-003,background,False,
P-V02,WORK,412.8432611,0.6854903002,0.5379888268,0.032,0,D,0.4075418994,0.014,0,D,7.5,1.2,0,D,0.9256198406,0.08,26.85512828,C/R,101.7967622,25,26.85512828,C/R,carnallite,,0,D,0.3222222222,0.1,26.85512828,C/R,0.6156862745,0.1,26.85512828,C/R,ST-004,background,False,
P-H06,WORK,142.9683477,0.3416935915,0.2871314841,0.072,50,R,0.3762569832,0.014,0,D,22.5,1.2,0,D,0.9504132271,0.08,19.52878382,C/R,811.5549471,25,19.52878382,C/R,carnallite,,0,D,0.4833333333,0.1,19.52878382,C/R,0.1660130719,0.1,19.52878382,C/R,ST-005,background,False,
P-H04,WORK,398.7020552,0.5761594342,0.5156424581,0.032,0,D,0.4955307263,0.014,0,D,7.5,1.2,0,D,0,0.08,20.5403593,C/R,36.91877662,25,20.5403593,C/R,sylvinite,,0,D,,0.1,20.5403593,C/R,,0.1,20.5403593,C/R,ST-006,background,False,
P-H07,WORK,406.6065097,0.6417289371,0.2832402235,0.088,150,R,0.4899856712,0.035,100,R,7.5,1.2,0,D,0.4380165339,0.08,23.68703889,C/R,234.8947038,25,23.68703889,C/R,sylvinite,,0,D,,0.1,23.68703889,C/R,,0.1,23.68703889,C/R,ST-007,background,False,
P-V04,WORK,114.3582287,0.4419906873,0.238547486,0.032,0,D,0.3273743017,0.014,0,D,27.5,1.2,0,D,0.8264462948,0.08,6.570205917,C/R,513.6356685,25,6.570205917,C/R,carnallite,,0,D,0.5055555556,0.1,6.570205917,C/R,0.3594771242,0.1,6.570205917,C/R,ST-008,background,False,
P-V06,WORK,516.0540763,0.712183852,0.28440192,0.08314253185,119.640824,R,0.65,0.014,0,D,7.5,1.2,0,D,0.04132231325,0.08,9.352916935,C/R,290.2495252,25,9.352916935,C/R,replacement_rock_salt,,80.94289744,R,0.4555555556,0.1,9.352916935,C/R,0.1673202614,0.1,9.352916935,C/R,ST-009,background,False,
P-H01,WORK,457.948272,0.4882785411,0.587150838,0.032,0,D,0.4720670391,0.014,0,D,27.5,1.2,0,D,0.9090909362,0.08,12.04504994,C/R,37.01547664,25,12.04504994,C/R,carnallite,,0,D,,0.1,12.04504994,C/R,,0.1,12.04504994,C/R,ST-010,background,False,
