task,split,feature,rows,missing_count,missing_fraction
T1,train,n_history,911,0,0.0
T1,train,last_settlement_mm,911,0,0.0
T1,train,last_rate_mm_y,911,0,0.0
T1,train,mean_last_3_rates_mm_y,911,0,0.0
T1,train,std_last_3_rates_mm_y,911,0,0.0
T1,train,recent_acceleration_mm_y2,911,0,0.0
T1,train,current_standard_uncertainty_mm,911,0,0.0
T1,train,days_since_previous_observation,911,0,0.0
T1,train,forecast_horizon_days,911,0,0.0
T1,train,current_campaign_type,911,0,0.0
T1,train,missing_campaigns_since_previous,911,0,0.0
T1,train,profile_mean_settlement_mm,911,0,0.0
T1,train,profile_mean_rate_mm_y,911,0,0.0
T1,train,profile_rate_std_mm_y,911,0,0.0
T1,train,profile_n_observed,911,0,0.0
T1,train,chainage_m,911,0,0.0
T1,train,chainage_normalized_profile,911,0,0.0
T1,train,kzt,911,0,0.0
T1,train,kzt__standard_uncertainty,911,0,0.0
T1,train,kzt__donor_distance_m,911,0,0.0
T1,train,kzt__provenance,911,0,0.0
T1,train,ko,911,0,0.0
T1,train,ko__standard_uncertainty,911,0,0.0
T1,train,ko__donor_distance_m,911,0,0.0
T1,train,ko__provenance,911,0,0.0
T1,train,seismic_energy_J_m2,911,0,0.0
T1,train,seismic_energy_J_m2__standard_uncertainty,911,0,0.0
T1,train,seismic_energy_J_m2__donor_distance_m,911,0,0.0
T1,train,seismic_energy_J_m2__provenance,911,0,0.0
T1,train,fill_density,911,0,0.0
T1,train,fill_density__standard_uncertainty,911,0,0.0
T1,train,fill_density__donor_distance_m,911,0,0.0
T1,train,fill_density__provenance,911,0,0.0
T1,train,fault_distance_m,911,0,0.0
T1,train,fault_distance_m__standard_uncertainty,911,0,0.0
T1,train,fault_distance_m__donor_distance_m,911,0,0.0
T1,train,fault_distance_m__provenance,911,0,0.0
T1,train,lithology,911,0,0.0
T1,train,lithology__standard_uncertainty,911,911,1.0
T1,train,lithology__donor_distance_m,911,0,0.0
T1,train,lithology__provenance,911,0,0.0
T1,train,terrain_TRI_relative,911,282,0.30954994511525796
T1,train,terrain_TRI_relative__standard_uncertainty,911,0,0.0
T1,train,terrain_TRI_relative__donor_distance_m,911,0,0.0
T1,train,terrain_TRI_relative__provenance,911,0,0.0
T1,train,terrain_roughness_relative,911,282,0.30954994511525796
T1,train,terrain_roughness_relative__standard_uncertainty,911,0,0.0
T1,train,terrain_roughness_relative__donor_distance_m,911,0,0.0
T1,train,terrain_roughness_relative__provenance,911,0,0.0
T1,train,target_campaign_type,911,0,0.0
T1,validation,n_history,130,0,0.0
T1,validation,last_settlement_mm,130,0,0.0
T1,validation,last_rate_mm_y,130,0,0.0
T1,validation,mean_last_3_rates_mm_y,130,0,0.0
T1,validation,std_last_3_rates_mm_y,130,0,0.0
T1,validation,recent_acceleration_mm_y2,130,0,0.0
T1,validation,current_standard_uncertainty_mm,130,0,0.0
T1,validation,days_since_previous_observation,130,0,0.0
T1,validation,forecast_horizon_days,130,0,0.0
T1,validation,current_campaign_type,130,0,0.0
T1,validation,missing_campaigns_since_previous,130,0,0.0
T1,validation,profile_mean_settlement_mm,130,0,0.0
T1,validation,profile_mean_rate_mm_y,130,0,0.0
T1,validation,profile_rate_std_mm_y,130,0,0.0
T1,validation,profile_n_observed,130,0,0.0
T1,validation,chainage_m,130,0,0.0
T1,validation,chainage_normalized_profile,130,0,0.0
T1,validation,kzt,130,0,0.0
T1,validation,kzt__standard_uncertainty,130,0,0.0
T1,validation,kzt__donor_distance_m,130,0,0.0
T1,validation,kzt__provenance,130,0,0.0
T1,validation,ko,130,0,0.0
T1,validation,ko__standard_uncertainty,130,0,0.0
T1,validation,ko__donor_distance_m,130,0,0.0
T1,validation,ko__provenance,130,0,0.0
T1,validation,seismic_energy_J_m2,130,0,0.0
T1,validation,seismic_energy_J_m2__standard_uncertainty,130,0,0.0
T1,validation,seismic_energy_J_m2__donor_distance_m,130,0,0.0
T1,validation,seismic_energy_J_m2__provenance,130,0,0.0
T1,validation,fill_density,130,0,0.0
T1,validation,fill_density__standard_uncertainty,130,0,0.0
T1,validation,fill_density__donor_distance_m,130,0,0.0
T1,validation,fill_density__provenance,130,0,0.0
T1,validation,fault_distance_m,130,0,0.0
T1,validation,fault_distance_m__standard_uncertainty,130,0,0.0
T1,validation,fault_distance_m__donor_distance_m,130,0,0.0
T1,validation,fault_distance_m__provenance,130,0,0.0
T1,validation,lithology,130,0,0.0
T1,validation,lithology__standard_uncertainty,130,130,1.0
T1,validation,lithology__donor_distance_m,130,0,0.0
T1,validation,lithology__provenance,130,0,0.0
T1,validation,terrain_TRI_relative,130,46,0.35384615384615387
T1,validation,terrain_TRI_relative__standard_uncertainty,130,0,0.0
T1,validation,terrain_TRI_relative__donor_distance_m,130,0,0.0
T1,validation,terrain_TRI_relative__provenance,130,0,0.0
T1,validation,terrain_roughness_relative,130,46,0.35384615384615387
T1,validation,terrain_roughness_relative__standard_uncertainty,130,0,0.0
T1,validation,terrain_roughness_relative__donor_distance_m,130,0,0.0
T1,validation,terrain_roughness_relative__provenance,130,0,0.0
T1,validation,target_campaign_type,130,0,0.0
T1,test,n_history,175,0,0.0
T1,test,last_settlement_mm,175,0,0.0
T1,test,last_rate_mm_y,175,0,0.0
T1,test,mean_last_3_rates_mm_y,175,0,0.0
T1,test,std_last_3_rates_mm_y,175,0,0.0
T1,test,recent_acceleration_mm_y2,175,0,0.0
T1,test,current_standard_uncertainty_mm,175,0,0.0
T1,test,days_since_previous_observation,175,0,0.0
T1,test,forecast_horizon_days,175,0,0.0
T1,test,current_campaign_type,175,0,0.0
T1,test,missing_campaigns_since_previous,175,0,0.0
T1,test,profile_mean_settlement_mm,175,0,0.0
T1,test,profile_mean_rate_mm_y,175,0,0.0
T1,test,profile_rate_std_mm_y,175,0,0.0
T1,test,profile_n_observed,175,0,0.0
T1,test,chainage_m,175,0,0.0
T1,test,chainage_normalized_profile,175,0,0.0
T1,test,kzt,175,0,0.0
