campaign_id,date,campaign_type,point_id,profile_id,point_type,membership_status,adjusted_leveling_present,target_origin_sample_id,target_campaign_id,target_date,label_status,target_available,maps_to_unlabeled_origin,mapping_reason
C005,2019-05-14,full,P-H04-REF-A,P-H04,REF,observed,False,,,,,,False,reference_point_outside_WORK_model_universe
C005,2019-05-14,full,P-H04-REF-B,P-H04,REF,observed,False,,,,,,False,reference_point_outside_WORK_model_universe
C005,2019-05-14,full,P-H04-W001,P-H04,WORK,observed,False,,,,,,False,no_eligible_prior_origin_in_canonical_candidate_frame
C005,2019-05-14,full,P-H04-W002,P-H04,WORK,observed,False,,,,,,False,no_eligible_prior_origin_in_canonical_candidate_frame
C005,2019-05-14,full,P-H04-W003,P-H04,WORK,observed,False,,,,,,False,no_eligible_prior_origin_in_canonical_candidate_frame
C005,2019-05-14,full,P-H04-W004,P-H04,WORK,observed,False,,,,,,False,no_eligible_prior_origin_in_canonical_candidate_frame
C005,2019-05-14,full,P-H04-W005,P-H04,WORK,observed,False,,,,,,False,no_eligible_prior_origin_in_canonical_candidate_frame
C005,2019-05-14,full,P-H04-W006,P-H04,WORK,observed,False,,,,,,False,no_eligible_prior_origin_in_canonical_candidate_frame
C005,2019-05-14,full,P-H04-W007,P-H04,WORK,observed,False,,,,,,False,no_eligible_prior_origin_in_canonical_candidate_frame
C010,2020-10-20,full,P-H07-REF-A,P-H07,REF,observed,False,,,,,,False,reference_point_outside_WORK_model_universe
C010,2020-10-20,full,P-H07-REF-B,P-H07,REF,observed,False,,,,,,False,reference_point_outside_WORK_model_universe
C010,2020-10-20,full,P-H07-W001,P-H07,WORK,observed,False,P-H07-W001::C008::C012,C010,2020-10-20,observed_but_no_adjusted_leveling,False,True,maps_to_unlabeled_model_origin
C010,2020-10-20,full,P-H07-W002,P-H07,WORK,observed,False,P-H07-W002::C008::C012,C010,2020-10-20,observed_but_no_adjusted_leveling,False,True,maps_to_unlabeled_model_origin
C010,2020-10-20,full,P-H07-W003,P-H07,WORK,observed,False,P-H07-W003::C008::C012,C010,2020-10-20,observed_but_no_adjusted_leveling,False,True,maps_to_unlabeled_model_origin
C010,2020-10-20,full,P-H07-W004,P-H07,WORK,observed,False,P-H07-W004::C008::C012,C010,2020-10-20,observed_but_no_adjusted_leveling,False,True,maps_to_unlabeled_model_origin
C010,2020-10-20,full,P-H07-W005,P-H07,WORK,observed,False,P-H07-W005::C008::C012,C010,2020-10-20,observed_but_no_adjusted_leveling,False,True,maps_to_unlabeled_model_origin
C010,2020-10-20,full,P-H07-W006,P-H07,WORK,observed,False,,,,,,False,no_eligible_prior_origin_in_canonical_candidate_frame
C010,2020-10-20,full,P-H07-W007,P-H07,WORK,observed,False,P-H07-W007::C008::C012,C010,2020-10-20,observed_but_no_adjusted_leveling,False,True,maps_to_unlabeled_model_origin
