quantity,statistic,old,new
latent_settlement_mm,n,73080.000000000,779520.000000000
latent_settlement_mm,min,0.000000000,0.000000000
latent_settlement_mm,q05,0.353459841,0.153667607
latent_settlement_mm,q50,114.578995144,94.849230728
latent_settlement_mm,mean,119.080878187,119.881190977
latent_settlement_mm,q95,275.371958488,329.411485051
latent_settlement_mm,q99,332.772718902,483.666672998
latent_settlement_mm,max,401.137378769,892.265088846
observed_settlement_mm,n,38464.000000000,395334.000000000
observed_settlement_mm,min,-20.252903757,-50.908771701
observed_settlement_mm,q05,0.102410626,-0.290585305
observed_settlement_mm,q50,103.876192659,82.398900413
observed_settlement_mm,mean,113.197687609,110.670181326
observed_settlement_mm,q95,275.969539720,324.755552156
observed_settlement_mm,q99,336.479845837,476.206627200
observed_settlement_mm,max,413.298301590,905.603336636
latent_interval_rate_mm_y,n,70560.000000000,752640.000000000
latent_interval_rate_mm_y,min,0.208797060,0.000000000
latent_interval_rate_mm_y,q05,2.991226920,3.985480629
latent_interval_rate_mm_y,q50,27.252751882,25.769421868
latent_interval_rate_mm_y,mean,33.596244451,31.568096723
latent_interval_rate_mm_y,q95,82.844335904,72.709400496
latent_interval_rate_mm_y,q99,107.553243576,137.021147178
latent_interval_rate_mm_y,max,137.744030471,730.073302319
latent_interval_acceleration_mm_y2,n,68040.000000000,725760.000000000
latent_interval_acceleration_mm_y2,min,-168.700501621,-1575.693160151
latent_interval_acceleration_mm_y2,q05,-44.534554179,-27.387212945
latent_interval_acceleration_mm_y2,q50,0.000000000,0.000000000
latent_interval_acceleration_mm_y2,mean,-0.895706346,-0.212140993
latent_interval_acceleration_mm_y2,q95,31.561892742,23.098307450
latent_interval_acceleration_mm_y2,q99,101.924789973,117.262785051
latent_interval_acceleration_mm_y2,max,165.562141664,1524.341360227
target_observed_rate_mm_y,n,27799.000000000,271684.000000000
target_observed_rate_mm_y,min,-176.110542655,-339.356512454
target_observed_rate_mm_y,q05,2.864353997,0.593619599
target_observed_rate_mm_y,q50,28.529841976,26.456091624
target_observed_rate_mm_y,mean,33.230049181,31.301747673
target_observed_rate_mm_y,q95,79.536409941,77.123864124
target_observed_rate_mm_y,q99,103.051207440,159.121956095
target_observed_rate_mm_y,max,267.663483888,663.212493717
target_latent_rate_mm_y,n,31134.000000000,321766.000000000
target_latent_rate_mm_y,min,0.580195426,0.000000000
target_latent_rate_mm_y,q05,3.790718990,4.093525838
target_latent_rate_mm_y,q50,27.334932009,26.271172922
target_latent_rate_mm_y,mean,32.793274574,32.108380321
target_latent_rate_mm_y,q95,76.368264291,72.511875908
target_latent_rate_mm_y,q99,99.342178855,142.632413275
target_latent_rate_mm_y,max,127.030570814,649.970849882
reported_uncertainty_mm,n,38464.000000000,395334.000000000
reported_uncertainty_mm,min,0.800000000,0.400000000
reported_uncertainty_mm,q05,0.800000000,0.400000000
reported_uncertainty_mm,q50,0.800000000,0.800000000
reported_uncertainty_mm,mean,0.822946131,0.863225779
reported_uncertainty_mm,q95,1.000000000,1.600000000
reported_uncertainty_mm,q99,1.000000000,2.000000000
reported_uncertainty_mm,max,1.000000000,2.000000000
observed_history_gap_days,n,31134.000000000,321766.000000000
observed_history_gap_days,min,35.000000000,35.000000000
observed_history_gap_days,q05,70.000000000,70.000000000
observed_history_gap_days,q50,175.000000000,182.000000000
observed_history_gap_days,mean,197.692137213,204.671997663
observed_history_gap_days,q95,433.000000000,433.000000000
observed_history_gap_days,q99,574.000000000,574.000000000
observed_history_gap_days,max,1162.000000000,1525.000000000
forecast_horizon_days,n,31134.000000000,321766.000000000
forecast_horizon_days,min,35.000000000,35.000000000
forecast_horizon_days,q05,63.000000000,63.000000000
forecast_horizon_days,q50,175.000000000,168.000000000
forecast_horizon_days,mean,171.478191045,171.423052777
forecast_horizon_days,q95,434.000000000,434.000000000
forecast_horizon_days,q99,434.000000000,434.000000000
forecast_horizon_days,max,434.000000000,434.000000000
