design,fold_id,held_out_group,train_rows,validation_rows,train_target_date_max,validation_target_date_min,validation_target_date_max,train_sample_ids_sha256,validation_sample_ids_sha256
temporal_holdout,temporal_validation_2024,,911,130,2023-11-07,2024-01-30,2024-09-03,2cd9ef9d27536d6d4e63ef0a56ad51002823d1306ff7c39ac6538586596b6a8c,f72ce0a50c16bccca3ca87df4f4a7465b4d9eca2933e0dec9b3bd39e7336a62e
rolling_origin,rolling_01,,823,88,2023-07-25,2023-11-07,2023-11-07,7ca94bfee9c05afaff4ff2480ac6104ebcb2c05c35614d4939bc437075c61ebb,6c8eebd6fa8419c9e7ac6945343b9a34a300c185cf77c3d37cada060b334893c
rolling_origin,rolling_02,,911,14,2023-11-07,2024-01-30,2024-01-30,2cd9ef9d27536d6d4e63ef0a56ad51002823d1306ff7c39ac6538586596b6a8c,b20b5bc8b39efed506c025f56569e19f41cdd83eac718aaa583257dda372244d
rolling_origin,rolling_03,,925,88,2024-01-30,2024-05-14,2024-05-14,686237bc74e73f1828459b8bdba9942c886b88e5acc7cf614f424ea513947f69,ecb9b74de9c4fb244c8a267313151ae002612ad83277182c0c2879152410b8ad
rolling_origin,rolling_04,,1013,14,2024-05-14,2024-07-09,2024-07-09,669c63c27d719990f96d36a181f3a8eaff5572e9d91db8d532f1c562011c5796,9b3c75cd9dca28f54b2b2d5658f7018533744e27a7e6dac7c8a78b20bb0b8993
rolling_origin,rolling_05,,1027,14,2024-07-09,2024-09-03,2024-09-03,bc199a378f30fe9fbd47539b1e60ec6a9fb9e836b70794e81c8f90efacd098e1,1a8a591e87f4629980e226845b3b59929fd5bf32198db80c3b1de9d0f685e459
leave_profile_out,leave_profile_out_P-D01,P-D01,833,21,2023-11-07,2024-01-30,2024-09-03,008aaf57cd145ec8662b561bad67e5ccc4dc9beda5e20f26dc4363821de8bb68,cda6cedd04b08ddd51ba1bf8d2b477d5cf9c76c761f19792e9a167d288ce3078
leave_profile_out,leave_profile_out_P-H01,P-H01,846,18,2023-11-07,2024-01-30,2024-07-09,74513de57b4a04e9885259abb09eb0dcf6e98ef1cf64f1368a52b41ac9fe532c,af4e7db82436f04939fc754df25e27bc69befd32efa7ec414849e7aa631c8f50
leave_profile_out,leave_profile_out_P-H02,P-H02,839,14,2023-11-07,2024-05-14,2024-09-03,5a2f37da60e4e5b514d41622a29232ca90151e01f593722386f4894b83491483,b6ec00dc3d88107465ddd1f3e833518381265560ed3a85b64d3abe1d10b0313a
leave_profile_out,leave_profile_out_P-H03,P-H03,824,12,2023-11-07,2024-05-14,2024-07-09,9ee5c1a1455e3afc05a8c2abde775660536344c3f4a4ea3b7f7d81ff6f8ac1ba,06cae25ce23980a7adb8768bf50c9d292342aa310434cabaf312b989833bcd57
leave_profile_out,leave_profile_out_P-H04,P-H04,830,9,2023-11-07,2024-05-14,2024-07-09,4a47bc79a0fc747982615585e0ac129ddd7779bd0f3d9ffb9225ce16d0d556ab,31a1d27b34ebafaeffcec75ab3b3542cdfbf4e160073ad819c8161bdfe74a919
leave_profile_out,leave_profile_out_P-H05,P-H05,858,5,2023-11-07,2024-05-14,2024-05-14,0b4d143897bc699b51595550ece106c2e6300c617eae5f01b1ff8ea1a87b9d50,6dff1779cd6463293c84eccbd77b6ab726dd35fea4644564ac6c9d939af27f44
leave_profile_out,leave_profile_out_P-H06,P-H06,855,6,2023-11-07,2024-05-14,2024-05-14,8c0d9f6dbd9468c538e02c591631011b1cf1c60b13af272cf0273ba29e109729,fdda1e4bd2fbd8376f594c79ddd772aa14c782dac66a212c8a346c0a601fff71
leave_profile_out,leave_profile_out_P-H07,P-H07,867,7,2023-11-07,2024-05-14,2024-05-14,a171e1e811aba7da3fa5d3a8552a6aaf751c1f87bd6d419a10d44b462dbf224f,e98417cdd93d758dc9f65ae872ee7dc22f57b6cf8a959196691910366756e1b2
leave_profile_out,leave_profile_out_P-V01,P-V01,840,6,2023-11-07,2024-05-14,2024-05-14,afc8223679e3b257437acd004552c9fbb109e3de4603d34dee0e84c22fefa835,4dd51c6b4f65c4c4d78283465e7a8b3965fce57dba66b783ffdee417ed5bc7ac
leave_profile_out,leave_profile_out_P-V02,P-V02,837,7,2023-11-07,2024-05-14,2024-05-14,2073757290af688a54d8e0148c8ddae69bc14aa69057ac9dcdd81fb81df94a28,6a47cf712d22422afc84a679f316cb3d1d4858d060fbcd2bf0d444a092173da3
leave_profile_out,leave_profile_out_P-V03,P-V03,848,7,2023-11-07,2024-05-14,2024-05-14,04f2d36e9594320659b98143e20f448fd5f92c6401cabe7ca7c9775003b5f578,63e12453f053d659e3a2ce426fd0f72a65a4b5b0d2df03f56cf407343cf5910a
leave_profile_out,leave_profile_out_P-V04,P-V04,856,7,2023-11-07,2024-05-14,2024-05-14,37611bda531860851736d366f7d45eca3eab535ab6bca8009bd83346ff500e36,f0e0b689ff60e2d3944e7de6390f0393aba31b323d6d01b1e57f2bd7ef766f2a
leave_profile_out,leave_profile_out_P-V05,P-V05,860,4,2023-11-07,2024-05-14,2024-05-14,0db2edf67d3e189d9422bdd5c6a8015c28da55af88a4ea9acebe1d7712ee3c21,44628acfe75b83fc892400dc926cdc84be5deb2df04182277de3da1534073245
leave_profile_out,leave_profile_out_P-V06,P-V06,850,7,2023-11-07,2024-05-14,2024-05-14,2a77e87731c6a9c60cd7d0a5ffcd18a6de00b3d1388bf4d3a32d1b1a307dbd5a,945072f1193d1ae2edf7ca017c92952b39eabed41e7453d4470c76b6b1671877
leave_zone_out,leave_zone_out_GEO_NE,GEO_NE,596,35,2023-11-07,2024-05-14,2024-05-14,ce64431b0fe6e7f47e72c5887ddf2a712665170e04e7ae997e8478bfc8ad0974,ac315b0753ce05015ef4f5a0c7cd6cecb17aa2e5ce557b1a3b51d2b55d6e1c37
leave_zone_out,leave_zone_out_GEO_NW,GEO_NW,829,8,2023-11-07,2024-05-14,2024-05-14,607372805656947332a8a5d904a1a39ed3c889f3283ac0703ed8512bf4b49896,5432f8cafe391425b371409da3c6dbf68bfa17869e52d15ae96f023524c26c84
leave_zone_out,leave_zone_out_GEO_SE,GEO_SE,819,13,2023-11-07,2024-05-14,2024-07-09,ade0f5df02093b907ee8809de3f3a428187d93bac9c4c664882a6c5c38777ed4,fe8da7fd6fa51830f1f745d7e9f3390abbb7f988d25f335a5ccf36dc8e4988eb
leave_zone_out,leave_zone_out_GEO_SW,GEO_SW,489,74,2023-11-07,2024-01-30,2024-09-03,1bca3780b4612834cb08078ab2dcc4b40cea66465ac0610c5e314284b93db6e7,4017200b140fbb9c749750f61e80e22e2f3e27c3faee5db2faaab802a800e9c3
