design,fold_id,model_id,parameter_count,feature_count,state_sha256
temporal_holdout,temporal_validation_2024,B1_persistence_last_rate,1,0,0c01b7057a5658dd00a52c8f67fd13506cc3c6b10afa7220b671050b4ce985f7
temporal_holdout,temporal_validation_2024,B3_profile_robust_trend,3,0,f734e9db4dcc821cf94797ff6de2dcea0a7c011252e80f024f6a999e20b7e7f3
temporal_holdout,temporal_validation_2024,B5_fixed_kalman,0,0,3fa3e51216dcc87157f8b00f2c6912858d23577db4709f07c0128041ff47071d
temporal_holdout,temporal_validation_2024,M1_ridge,74,73,9ba1539b6fb703181e032829605a72314fdbba6a036a3414c6e520b63ac4f4ab
temporal_holdout,temporal_validation_2024,M2_extra_trees,41944,73,ada6ff9d304b82dd5510337e2b33c3a3a586987197cb57f3138783f50d0fcafe
rolling_origin,rolling_01,B1_persistence_last_rate,1,0,e2a91e941108b1c6cdc3a54bb7a16b3dfe3424c3fa78605c739074574053b120
rolling_origin,rolling_01,B3_profile_robust_trend,3,0,56142a1c6b25a193069023df481571a469c793393a04cd129331e0b240df9a3d
rolling_origin,rolling_01,B5_fixed_kalman,0,0,8cc78dd6f31221cd1b84ff739d3308638f980520d7777db5138075111e8776a8
rolling_origin,rolling_01,M1_ridge,74,73,37fbc2e57a640496a0e7c224a120111254bdcfb99502e7bcd311d56d086351dc
rolling_origin,rolling_01,M2_extra_trees,42798,73,8b5aecbd21ac83f2665881e12291f49ef5299304c384e32640b31705ab9d9c9c
rolling_origin,rolling_02,B1_persistence_last_rate,1,0,0c01b7057a5658dd00a52c8f67fd13506cc3c6b10afa7220b671050b4ce985f7
rolling_origin,rolling_02,B3_profile_robust_trend,3,0,f734e9db4dcc821cf94797ff6de2dcea0a7c011252e80f024f6a999e20b7e7f3
rolling_origin,rolling_02,B5_fixed_kalman,0,0,3fa3e51216dcc87157f8b00f2c6912858d23577db4709f07c0128041ff47071d
rolling_origin,rolling_02,M1_ridge,74,73,9ba1539b6fb703181e032829605a72314fdbba6a036a3414c6e520b63ac4f4ab
rolling_origin,rolling_02,M2_extra_trees,41944,73,ada6ff9d304b82dd5510337e2b33c3a3a586987197cb57f3138783f50d0fcafe
rolling_origin,rolling_03,B1_persistence_last_rate,1,0,0c01b7057a5658dd00a52c8f67fd13506cc3c6b10afa7220b671050b4ce985f7
rolling_origin,rolling_03,B3_profile_robust_trend,3,0,daa1d820473102a99cda751daee69eb71a6e5caa742ec358073c0a6e95d2d50f
rolling_origin,rolling_03,B5_fixed_kalman,0,0,3fa3e51216dcc87157f8b00f2c6912858d23577db4709f07c0128041ff47071d
rolling_origin,rolling_03,M1_ridge,74,73,96a75877881bd1aacd09d53a4a3c7fd7e2d8932d4b80fc246101973fe126f8ca
rolling_origin,rolling_03,M2_extra_trees,41540,73,b6ab6e0d2ee408b69219fab8d25ddc7fdf4c776951e1da553a04e18897c3c4ae
rolling_origin,rolling_04,B1_persistence_last_rate,1,0,4f6b5f143f4e181851f5864e6ad3a83cac218d2be4c1a118d4e3032d1db8b4fd
rolling_origin,rolling_04,B3_profile_robust_trend,3,0,33b665333af9b50863bd715fba7b33ec88d9addcacf7f12b44eebe598a179b9d
rolling_origin,rolling_04,B5_fixed_kalman,0,0,ac425d4af9e6f3002f8ac0570886314c25ff6ebb7af9fdfdb59b8237604edcf6
rolling_origin,rolling_04,M1_ridge,74,73,28161bf7d4176a5f018dd00c7cb1d56a51bdca110611779867d7ec8c8be0e01b
rolling_origin,rolling_04,M2_extra_trees,42606,73,656a85f103478b573a780875c7e99b79bfe61b6dfb2c295c563d87e9663fa292
rolling_origin,rolling_05,B1_persistence_last_rate,1,0,fb352ebaf5561fd1efcaffd72780157e6d65fe5f4122be3b5e7417fae2c6142c
rolling_origin,rolling_05,B3_profile_robust_trend,3,0,74ec0ea9fd0496d8d9e5531edc8b4f611de6300a64470785ba0e45ea343d7c11
rolling_origin,rolling_05,B5_fixed_kalman,0,0,2488426042f1b8505725c799b93802209e5ab0704d328dd0078ca863f667cc09
rolling_origin,rolling_05,M1_ridge,74,73,ccd61144711ff3ccb0438d63f30b407e71fb2f8b4eada4cf2c253213e95ac2a7
rolling_origin,rolling_05,M2_extra_trees,43548,73,afed2087fc6d278bbf0246664f5a0de85901dd29d505894facd844cc63c50899
leave_profile_out,leave_profile_out_P-D01,B1_persistence_last_rate,1,0,6a5902f6cd51481a6218c271add1711dbb1f74b93acc955fb03fa701a96bab41
leave_profile_out,leave_profile_out_P-D01,B3_profile_robust_trend,3,0,85c589a4452d2b113d67108aa72636e94fc5c1458b3ecbcc5413c709a6568eb0
leave_profile_out,leave_profile_out_P-D01,B5_fixed_kalman,0,0,3404723ae826c772c67ae37da8605b6b582499f5d55bb6f8d1a240c672903b4f
leave_profile_out,leave_profile_out_P-D01,M1_ridge,74,73,0033d60884b459df3906c3020bda2c0c20beec8c7a261789ee5287908fd7131e
leave_profile_out,leave_profile_out_P-D01,M2_extra_trees,43686,73,b3c0d1ff9962b7212546ede2df21c494fb0dbf5cc72ccfd4dc14269ed1a1cdd7
leave_profile_out,leave_profile_out_P-H01,B1_persistence_last_rate,1,0,15ad0308454a1e5d0ae328c1754c4b483e6c93c17760eee0047ed906da1cb3a9
