design,fold_id,held_out_group,model_id,family,train_rows,validation_rows,selected_q_base,selected_acceleration_gain,n,mae,rmse,bias,r2
temporal_holdout,temporal_validation_2024,,B1_persistence_last_rate,persistence,911,130,,,130,7.31092175130067,11.071272766527729,-3.0461735358418554,0.9422866223175526
temporal_holdout,temporal_validation_2024,,B5_fixed_kalman,fixed_kalman,911,130,,,130,8.03603639185759,13.360073223073746,-3.484239968390165,0.9159574797457477
temporal_holdout,temporal_validation_2024,,B6_adaptive_kalman,adaptive_kalman,911,130,10.0,0.0,130,7.453611564340219,12.046557206038587,-2.894875862058721,0.9316706506420493
rolling_origin,rolling_01,,B1_persistence_last_rate,persistence,823,88,,,88,6.104172770658447,10.470596431765475,1.0242381158204608,0.9129945556349127
rolling_origin,rolling_01,,B5_fixed_kalman,fixed_kalman,823,88,,,88,7.194351417200138,12.969706758703836,-0.8303176357725094,0.8665053375669348
rolling_origin,rolling_01,,B6_adaptive_kalman,adaptive_kalman,823,88,10.0,0.0,88,6.775352131647587,12.086702282509183,-0.47352421008369594,0.8840637531114188
rolling_origin,rolling_02,,B1_persistence_last_rate,persistence,911,14,,,14,6.880727032397921,7.691310282027418,0.25760706408169626,0.9781740841782356
rolling_origin,rolling_02,,B5_fixed_kalman,fixed_kalman,911,14,,,14,5.9227762765258065,7.092047683773983,1.3564420336346317,0.9814426864481203
rolling_origin,rolling_02,,B6_adaptive_kalman,adaptive_kalman,911,14,10.0,0.0,14,5.888821132752479,6.983151033846553,1.299429151451941,0.9820081971999683
rolling_origin,rolling_03,,B1_persistence_last_rate,persistence,925,88,,,88,6.323280435240962,10.43886905509152,-3.3369073132884077,0.9256420651715099
rolling_origin,rolling_03,,B5_fixed_kalman,fixed_kalman,925,88,,,88,7.371523190947882,13.152955281342745,-3.814325897556418,0.8819496967930456
rolling_origin,rolling_03,,B6_adaptive_kalman,adaptive_kalman,925,88,400.0,0.0,88,6.303199292013772,10.269571847785253,-3.2757292959510727,0.9280343760594612
rolling_origin,rolling_04,,B1_persistence_last_rate,persistence,1013,14,,,14,10.596637402124951,13.839011882398884,-4.0937661576734925,0.9078693831980319
rolling_origin,rolling_04,,B5_fixed_kalman,fixed_kalman,1013,14,,,14,10.981743032382443,14.853741896992013,-3.45782558482865,0.89386330481993
rolling_origin,rolling_04,,B6_adaptive_kalman,adaptive_kalman,1013,14,400.0,0.0,14,10.581383129401846,13.92282239310504,-4.170161013240126,0.9067500987777233
rolling_origin,rolling_05,,B1_persistence_last_rate,persistence,1027,14,,,14,10.663431948897289,14.232002584142826,-3.4748920556982945,0.9491517627818554
rolling_origin,rolling_05,,B5_fixed_kalman,fixed_kalman,1027,14,,,14,11.380529986668392,17.293373699984627,-6.276510513502888,0.9249236195186648
